title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Dr Phil,o2zn1V7z060,investingexecutives,2022-06-23T11:00:20Z,,,22,76358444,2610729,61709,PT1M1S,hd,public
Based Man DROPS FACTS To Woke Lady Who Claims Men Can Menstruate,Xc4OvKYLSMk,Young America's Foundation,2023-06-02T17:07:40Z,A based man on the Dr. Phil show dropped the basic biological facts on sex and gender to a woke lady claiming men can menstruate.,"dr phil,dr phil debate,transgender debate,dr phil transgender debate,dr phil show,trans debate,transgenderism explained,dr phil shorts",29,64357155,2248669,219419,PT59S,hd,public
13-Year-Old Says Mom Will Do Anything to Stop Her From Having Fun | Dr. Phil,nyUFzNVolG8,Dr. Phil,2016-09-15T16:11:15Z,"A teen says her mom is â€œcrazy,â€ â€œoverbearing,â€ and â€œcontrolling,â€ and says she wants her to back off and let her live her life.

Dr. Phil tells compelling stories about real people. The Dr. Phil Show is an American daytime talk show and TV series with host and personality Dr. Phil McGraw, who offers advice from his experience as a psychologist. The show provides the most comprehensive forum on mental health issues in the history of television. For over a decade, Dr. McGraw has used the show's platform to make psychology accessible to the general public by addressing important personal and social issues. Here on the Dr. Phil YouTube channel, you will find the best moments, highlights, and segments from the TV show. We upload new videos every day, so make sure you subscribe and ring the bell for all notifications, so you don't miss a single one.

Full episodes of the Dr. Phil Show premiere every weekday on CBS, with a new season premiering every fall in 2020, 2021, 2022, and 2023. Each full episode contains an interview or multiple interviews with doctors, teens, families, parents, kids, and more. The executive producers are Phil McGraw and showrunner Oprah Winfrey of OWN. Dr. Phil is the top-rated daytime talk show attracting millions of viewers every day alongside other talk shows, including The Ellen Show with Ellen DeGeneres, The Dr. Oz Show, The Kelly Clarkson Show, and The Steve Wilkos Show. Dr. Phil makes regular appearances on The Tonight Show Starring Jimmy Fallon, Jimmy Kimmel Live, and The Late Late Show with James Corden. Dr. Phil has also done crossovers with 90 Day FiancÃ© and Inside Edition.

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://twitter.com/drphil
Instagram: https://www.instagram.com/drphil/
TikTok: https://www.tiktok.com/@drphil

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://www.twitter.com/drphil
Instagram: https://www.instagram.com/drphil
TikTok: https://www.tiktok.com/@drphil

#DrPhil #PhilMcGraw #DrPhilShow","phil,advice,family,McGraw,thirteen,catch,show,13,cash me ousside,Personality,howbow dah,cash me ousside howbow dah,out,mustache,bow,cash me outside girl,cash me outside,danielle,cash me outside remix,mental,old,series,how bout dat,psychologist,cash,interview,how bow dah,dr. phil,parenting,me,Health,year,cash me outside girl name,tv,ousside,dr.,side,outside,catch me outside,television,cash me osside meme,self,dr phil,drphil,relationship,therapy,bout",24,55883559,488737,3842,PT4M7S,hd,public
What May Be Driving a 13-Year-Oldâ€™s â€œOut-of-Controlâ€ Behavior | Dr. Phil,mNe8bDJda0A,Dr. Phil,2016-09-15T16:09:00Z,"A mom says her daughter is violent, steals, and runs away. The teen says her mom needs to back off. What may be causing the teen to act out?

Dr. Phil tells compelling stories about real people. The Dr. Phil Show is an American daytime talk show and TV series with host and personality Dr. Phil McGraw, who offers advice from his experience as a psychologist. The show provides the most comprehensive forum on mental health issues in the history of television. For over a decade, Dr. McGraw has used the show's platform to make psychology accessible to the general public by addressing important personal and social issues. Here on the Dr. Phil YouTube channel, you will find the best moments, highlights, and segments from the TV show. We upload new videos every day, so make sure you subscribe and ring the bell for all notifications, so you don't miss a single one.

Full episodes of the Dr. Phil Show premiere every weekday on CBS, with a new season premiering every fall in 2020, 2021, 2022, and 2023. Each full episode contains an interview or multiple interviews with doctors, teens, families, parents, kids, and more. The executive producers are Phil McGraw and showrunner Oprah Winfrey of OWN. Dr. Phil is the top-rated daytime talk show attracting millions of viewers every day alongside other talk shows, including The Ellen Show with Ellen DeGeneres, The Dr. Oz Show, The Kelly Clarkson Show, and The Steve Wilkos Show. Dr. Phil makes regular appearances on The Tonight Show Starring Jimmy Fallon, Jimmy Kimmel Live, and The Late Late Show with James Corden. Dr. Phil has also done crossovers with 90 Day FiancÃ© and Inside Edition.

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://twitter.com/drphil
Instagram: https://www.instagram.com/drphil/
TikTok: https://www.tiktok.com/@drphil

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://www.twitter.com/drphil
Instagram: https://www.instagram.com/drphil
TikTok: https://www.tiktok.com/@drphil

#DrPhil #PhilMcGraw #DrPhilShow","cash me outside,series,how bout dat,year,phil,cash me osside meme,parenting,psychologist,old,side,relationship,host,help,dr.,interview,cash me outside remix,13,dr phil,drphil,how bow dah,advice,self,therapy,cash,catch me outside,cash me outside girl,thirteen,cash me outside girl name,wellness,ousside,danielle,The Doctors,out,cash me ousside howbow dah,cash me ousside,mental,bow,tv,McGraw,catch,talk,television,bout,mustache,outside,dr. phil,howbow dah,me",24,51630021,418760,3370,PT4M24S,hd,public
Former Gang Member Gives 15-Year-Old Wannabe Gangster a Reality Check | Dr. Phil,QEKbDFzvP3o,Dr. Phil,2019-08-27T07:13:07Z,"A former gang member has a powerful message for a 15-year-old who is going down a criminal path of drug dealing, stealing and carrying guns.


Dr. Phil tells compelling stories about real people. The Dr. Phil Show is an American daytime talk show and TV series with host and personality Dr. Phil McGraw, who offers advice from his experience as a psychologist. The show provides the most comprehensive forum on mental health issues in the history of television. For over a decade, Dr. McGraw has used the show's platform to make psychology accessible to the general public by addressing important personal and social issues. Here on the Dr. Phil YouTube channel, you will find the best moments, highlights, and segments from the TV show. We upload new videos every day, so make sure you subscribe and ring the bell for all notifications, so you don't miss a single one.

Full episodes of the Dr. Phil Show premiere every weekday on CBS, with a new season premiering every fall in 2020, 2021, 2022, and 2023. Each full episode contains an interview or multiple interviews with doctors, teens, families, parents, kids, and more. The executive producers are Phil McGraw and showrunner Oprah Winfrey of OWN. Dr. Phil is the top-rated daytime talk show attracting millions of viewers every day alongside other talk shows, including The Ellen Show with Ellen DeGeneres, The Dr. Oz Show, The Kelly Clarkson Show, and The Steve Wilkos Show. Dr. Phil makes regular appearances on The Tonight Show Starring Jimmy Fallon, Jimmy Kimmel Live, and The Late Late Show with James Corden. Dr. Phil has also done crossovers with 90 Day FiancÃ© and Inside Edition.

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://www.twitter.com/drphil
Instagram: https://www.instagram.com/drphil
TikTok: https://www.tiktok.com/@drphil

#DrPhil #PhilMcGraw #DrPhilShow","dr.phil,Series,Phil,Show,Self,News,McGraw,Daytime,Help,drphil,Illness,Doctors,Talk,jay,Host,dr.,Psychologist,Mental,Tv,Mustache,Dr Phil Show,Dr. Phil Show,dr. phil,dr phil full episodes,Parenting,Advice",24,35777071,646777,34065,PT3M22S,hd,public
Tough-Talking Teen Danielle to Dr. Phil: 'You Were Nothinâ€™ Before I Came on This Show' | Dr. Phil,uCEPNdpJIhM,Dr. Phil,2017-02-10T22:44:56Z,"Danielle, the tough-talking teen turned internet sensation after her first Dr. Phil appearance tells him about her rise to social media fame, â€œI guess whatâ€™s good for you is â€“ I made you just like Oprah made you. You were nothinâ€™ before I came on....

Dr. Phil tells compelling stories about real people. The Dr. Phil Show is an American daytime talk show and TV series with host and personality Dr. Phil McGraw, who offers advice from his experience as a psychologist. The show provides the most comprehensive forum on mental health issues in the history of television. For over a decade, Dr. McGraw has used the show's platform to make psychology accessible to the general public by addressing important personal and social issues. Here on the Dr. Phil YouTube channel, you will find the best moments, highlights, and segments from the TV show. We upload new videos every day, so make sure you subscribe and ring the bell for all notifications, so you don't miss a single one.

Full episodes of the Dr. Phil Show premiere every weekday on CBS, with a new season premiering every fall in 2020, 2021, 2022, and 2023. Each full episode contains an interview or multiple interviews with doctors, teens, families, parents, kids, and more. The executive producers are Phil McGraw and showrunner Oprah Winfrey of OWN. Dr. Phil is the top-rated daytime talk show attracting millions of viewers every day alongside other talk shows, including The Ellen Show with Ellen DeGeneres, The Dr. Oz Show, The Kelly Clarkson Show, and The Steve Wilkos Show. Dr. Phil makes regular appearances on The Tonight Show Starring Jimmy Fallon, Jimmy Kimmel Live, and The Late Late Show with James Corden. Dr. Phil has also done crossovers with 90 Day FiancÃ© and Inside Edition.

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://www.twitter.com/drphil
Instagram: https://www.instagram.com/drphil
TikTok: https://www.tiktok.com/@drphil

#DrPhil #PhilMcGraw #DrPhilShow","13,me,McGraw,Health,show,parenting,television,psychologist,thirteen,year,dr.,self,Personality,cash me outside remix,series,therapy,cash me ousside howbow dah,cash me outside,how bow dah,dr. phil,family,cash me outside girl,cash,catch me outside,phil,mental,ousside,bow,outside,side,tv,howbow dah,catch,Dr Phil,interview,cash me outside girl name,cash me osside meme,bout,advice,danielle,cash me ousside,mustache,how bout dat,relationship,out,drphil,old",24,28622757,282146,2103,PT2M41S,hd,public
What 12-Year-Old Says Voices in Her Head Told Her to Do to Her Younger Siblings | Dr. Phil,L-f3d_2NPXw,Dr. Phil,2016-03-28T16:38:30Z,"Aneska, 12, has experienced violent fits of rage since she was 3 years old. Watch as Aneska says there was a time when voices in her head would tell her what to do


Dr. Phil tells compelling stories about real people. The Dr. Phil Show is an American daytime talk show and TV series with host and personality Dr. Phil McGraw, who offers advice from his experience as a psychologist. The show provides the most comprehensive forum on mental health issues in the history of television. For over a decade, Dr. McGraw has used the show's platform to make psychology accessible to the general public by addressing important personal and social issues. Here on the Dr. Phil YouTube channel, you will find the best moments, highlights, and segments from the TV show. We upload new videos every day, so make sure you subscribe and ring the bell for all notifications, so you don't miss a single one.

Full episodes of the Dr. Phil Show premiere every weekday on CBS, with a new season premiering every fall in 2020, 2021, 2022, and 2023. Each full episode contains an interview or multiple interviews with doctors, teens, families, parents, kids, and more. The executive producers are Phil McGraw and showrunner Oprah Winfrey of OWN. Dr. Phil is the top-rated daytime talk show attracting millions of viewers every day alongside other talk shows, including The Ellen Show with Ellen DeGeneres, The Dr. Oz Show, The Kelly Clarkson Show, and The Steve Wilkos Show. Dr. Phil makes regular appearances on The Tonight Show Starring Jimmy Fallon, Jimmy Kimmel Live, and The Late Late Show with James Corden. Dr. Phil has also done crossovers with 90 Day FiancÃ© and Inside Edition.

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://www.twitter.com/drphil
Instagram: https://www.instagram.com/drphil
TikTok: https://www.tiktok.com/@drphil

#DrPhil #PhilMcGraw #DrPhilShow","McGraw,Family,Series,Television,Parenting,Help,Mustache,Advice,Show,drphil,Relationship,TV,Therapy,Dr.,Host,Daytime,Personality,Psychologist,Mental,Talk,Wellness,Health,Interview,Self,Phil,The Doctors",24,23370162,149433,1668,PT3M17S,hd,public
"â€˜Weâ€™re Talking About Me Here; This Is My Show,â€™ 15-Year-Old Says To Dr. Phil",Im9_y6lo8m0,Dr. Phil,2018-05-01T18:51:54Z,"A teen whose allowance was lowered to $1,000 a month says her mom should be giving her more money. See what happens when Dr. Phil questions her about how she spends it.


Dr. Phil tells compelling stories about real people. The Dr. Phil Show is an American daytime talk show and TV series with host and personality Dr. Phil McGraw, who offers advice from his experience as a psychologist. The show provides the most comprehensive forum on mental health issues in the history of television. For over a decade, Dr. McGraw has used the show's platform to make psychology accessible to the general public by addressing important personal and social issues. Here on the Dr. Phil YouTube channel, you will find the best moments, highlights, and segments from the TV show. We upload new videos every day, so make sure you subscribe and ring the bell for all notifications, so you don't miss a single one.

Full episodes of the Dr. Phil Show premiere every weekday on CBS, with a new season premiering every fall in 2020, 2021, 2022, and 2023. Each full episode contains an interview or multiple interviews with doctors, teens, families, parents, kids, and more. The executive producers are Phil McGraw and showrunner Oprah Winfrey of OWN. Dr. Phil is the top-rated daytime talk show attracting millions of viewers every day alongside other talk shows, including The Ellen Show with Ellen DeGeneres, The Dr. Oz Show, The Kelly Clarkson Show, and The Steve Wilkos Show. Dr. Phil makes regular appearances on The Tonight Show Starring Jimmy Fallon, Jimmy Kimmel Live, and The Late Late Show with James Corden. Dr. Phil has also done crossovers with 90 Day FiancÃ© and Inside Edition.

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://www.twitter.com/drphil
Instagram: https://www.instagram.com/drphil
TikTok: https://www.tiktok.com/@drphil

#DrPhil #PhilMcGraw #DrPhilShow","illness,psychologist,self,series,tv,money,help,mcgraw,phil,mental,dr phil full episodes,dr.,daytime,dr phil,drphil,mustache,news,life strategies,host,show,talk,doctors,beverly hills,beverly hills brat",22,23365906,209248,9514,PT3M56S,hd,public
Why Dr. Phil Abruptly Ends Interview and Asks Guest to Leave Stage | Dr. Phil,uVPZ-V0EyyM,Dr. Phil,2018-02-01T18:07:28Z,"After speaking with a 21-year-old about her relationship with a woman she's never met, Dr. Phil says, ""I think we're just going to shut this down."" Why?


Dr. Phil tells compelling stories about real people. The Dr. Phil Show is an American daytime talk show and TV series with host and personality Dr. Phil McGraw, who offers advice from his experience as a psychologist. The show provides the most comprehensive forum on mental health issues in the history of television. For over a decade, Dr. McGraw has used the show's platform to make psychology accessible to the general public by addressing important personal and social issues. Here on the Dr. Phil YouTube channel, you will find the best moments, highlights, and segments from the TV show. We upload new videos every day, so make sure you subscribe and ring the bell for all notifications, so you don't miss a single one.

Full episodes of the Dr. Phil Show premiere every weekday on CBS, with a new season premiering every fall in 2020, 2021, 2022, and 2023. Each full episode contains an interview or multiple interviews with doctors, teens, families, parents, kids, and more. The executive producers are Phil McGraw and showrunner Oprah Winfrey of OWN. Dr. Phil is the top-rated daytime talk show attracting millions of viewers every day alongside other talk shows, including The Ellen Show with Ellen DeGeneres, The Dr. Oz Show, The Kelly Clarkson Show, and The Steve Wilkos Show. Dr. Phil makes regular appearances on The Tonight Show Starring Jimmy Fallon, Jimmy Kimmel Live, and The Late Late Show with James Corden. Dr. Phil has also done crossovers with 90 Day FiancÃ© and Inside Edition.

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://www.twitter.com/drphil
Instagram: https://www.instagram.com/drphil
TikTok: https://www.tiktok.com/@drphil

#DrPhil #PhilMcGraw #DrPhilShow","show,psychologist,host,tv,mental,daytime,mcgraw,self matters,drphil,mustache,news,help,illness,series,phil,doctors,dr phil,dr.,talk,dr phil full episodes,self,therapy",24,21513834,136096,6772,PT1M56S,hd,public
Mom Says She No Longer Wants to Raise Her 13-Year-Old Daughter,gXVAA-l8Gxs,Dr. Phil,2016-09-15T16:29:32Z,"A mom says her 13-year-old daughter is out-of-control and sheâ€™s ready to hand her over to the authorities because she doesnâ€™t â€œknow what to do with her anymore.â€


Dr. Phil tells compelling stories about real people. The Dr. Phil Show is an American daytime talk show and TV series with host and personality Dr. Phil McGraw, who offers advice from his experience as a psychologist. The show provides the most comprehensive forum on mental health issues in the history of television. For over a decade, Dr. McGraw has used the show's platform to make psychology accessible to the general public by addressing important personal and social issues. Here on the Dr. Phil YouTube channel, you will find the best moments, highlights, and segments from the TV show. We upload new videos every day, so make sure you subscribe and ring the bell for all notifications, so you don't miss a single one.

Full episodes of the Dr. Phil Show premiere every weekday on CBS, with a new season premiering every fall in 2020, 2021, 2022, and 2023. Each full episode contains an interview or multiple interviews with doctors, teens, families, parents, kids, and more. The executive producers are Phil McGraw and showrunner Oprah Winfrey of OWN. Dr. Phil is the top-rated daytime talk show attracting millions of viewers every day alongside other talk shows, including The Ellen Show with Ellen DeGeneres, The Dr. Oz Show, The Kelly Clarkson Show, and The Steve Wilkos Show. Dr. Phil makes regular appearances on The Tonight Show Starring Jimmy Fallon, Jimmy Kimmel Live, and The Late Late Show with James Corden. Dr. Phil has also done crossovers with 90 Day FiancÃ© and Inside Edition.

Do you want to be on the show? https://bit.ly/BeOnDrPhilShow

https://www.drphil.com
Facebook: https://www.facebook.com/drphilshow
Twitter: https://www.twitter.com/drphil
Instagram: https://www.instagram.com/drphil
TikTok: https://www.tiktok.com/@drphil

#DrPhil #PhilMcGraw #DrPhilShow","parenting,host,outside,out,cash me outside girl name,how bow dah,old,side,dr. phil,cash me outside,catch me outside,psychologist,how bout dat,year,television,phil,tv,ousside,show,relationship,talk,howbow dah,danielle,mental,mustache,dr.,thirteen,cash me outside remix,me,catch,bout,cash me ousside meme,dr phil,series,self,advice,McGraw,help,cash me outside girl,bow,cash me ousside,13,drphil,interview,therapy,cash me ousside howbow dah,cash,wellness",24,21364015,159524,1484,PT4M16S,hd,public
