title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
ER - The news of Dr. Greene's Death,_wiAjFNnFfw,msmcgregor,2007-07-28T16:56:35Z,Carter is reading out a letter to the ER staff from Dr Greene. They then read the note from Dr Corday telling them that Mark died in the early hours of that morning. :'(,"ER,Carter,Greene,Corday",24,2349364,11488,1262,PT4M18S,sd,public
Kerry Finds Carter and Lucy After The Stabbing | ER,VfbzuAyf-zI,ER - Emergency Room,2020-07-22T13:22:21Z,"Kerry comes in for her night shift and wraps up the Valentine's Day party before stumbling upon Carter and Lucy bleeding on the floor of an exam room having been stabbed by schizophrenic patient Paul Sobriki. The rest of the staff then scramble to help them, with Mark and Elizabeth's date being interrupted by a horrifying page.

From ""All In The Family"" (Season 6 Episode 14)
First broadcast February 17th, 2000

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,2262955,12600,1140,PT5M24S,hd,public
ER Opening Theme,TjCnHJ8wIuM,TheAileeJ,2012-10-18T13:47:50Z, ,"ER,Opening theme,urgences,tv show",22,2033668,9582,1316,PT1M26S,sd,public
ER Final Scene- Series Finale,LZ98ke7ma3s,SG1Mitchell,2009-04-03T19:59:32Z,"The docs go back to work in the final scene of the series finale. Carter evens scrubs up and in a brilliant, poignant moment asks Mark's med student daughter Rachel, ""Dr. Greene? You coming?"" 

The theme plays as they pull away from County showing Archie leading the way just as Carter had told him too. Setting the tone","ER,Series,Finale,Final,Scene,Dr,Greene,Carter,Archie",24,1479516,6692,1018,PT3M27S,sd,public
Lucy Knight Dies | ER,eGq0GAP9wXI,ER - Emergency Room,2020-07-21T22:12:06Z,"Following the stabbing attack, Lucy has successful surgery, but afterwards suffers a serious blood clot in her lung. Despite Elizabeth and Romano's best efforts, the young medical student dies on the table.

Emotional final scenes from ""All In The Family"" (Season 6 Episode 14)
First broadcast February 17th, 2000

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,1451396,8721,1042,PT5M21S,hd,public
Carter and Lucy After The Stabbing (Part 2) | ER,9x7Ik-9ihBw,ER - Emergency Room,2020-07-29T11:53:48Z,"As Benton rushes to Carter's aid, Carter regains consciousness and sees what has happened to him and Lucy, Abby finds the knife Sobriki used to stab them hidden on top of a shelving rack and Greene and Corday arrive at the hospital.

From ""All In The Family"" (Season 6 Episode 14)
First broadcast February 17th, 2000

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,1439121,8224,771,PT4M32S,hd,public
Mark Refuses To Save A Shooter's Life | ER,gHe55XbVLaE,ER - Emergency Room,2020-07-17T17:34:09Z,"Having had his son taken away by Mark and social worker Adele Newman after suspicions of abuse, Derek Fossen (Ted Marcoux) goes on a shooting spree looking for him. When he shoots Adele at her home, as well as 18 other people, Mark fears for his life as well as Elizabeth and their daughter. Derek is bought in to the hospital and while Mark takes him to surgery in the elevator, he needs defibrillation, but Mark instead chooses to watch him die.

Requested by MrCraigblaze.

From ""Rampage"" (Season 7 Episode 22)
First broadcast May 17th, 2001

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,1305997,10887,3199,PT5M31S,hd,public
Doug Punches an Abusive Father | ER,ENTTGtgNPUc,ER - Emergency Room,2020-09-19T14:00:02Z,"Doug realizes that a bootprint on the back of a young girl that fell from a second floor window matches that of her father's shoes, and suspects he kicked her out of the window.
Requested by Phillip Anguiano.

From ""The Birthday Party"" (Season 1 Episode 17)
First broadcast February 16th, 1995

Request your favorite scenes by emailing us at countygeneralchicago@gmail.com

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,1272337,15136,1595,PT4M7S,hd,public
Carter collapses (5/11),CZ_zIK6Gqe8,bemyguest29,2009-03-06T11:14:06Z,"Carter is not doing good: he checks his own pulse ox, can't focus in the trauma room, and ends up passing out after being a bit roughly pushed.","john,carter,noah,wyle,ER,15,18",24,1159387,2664,168,PT1M31S,sd,public
ER - Original Music Theme,Dp2EfS8FpUI,Joel Reis,2009-10-31T00:56:48Z,Original ER music Theme from James Newton Howard,"ER,Emergency,intro,soundtrack",10,1123770,6599,488,PT3M11S,sd,public
Bob Reveals She Is Actually A Doctor | ER,7BDAht29sUk,ER - Emergency Room,2020-06-08T14:00:02Z,"Quiet ER aide Bogdanilivetsky ""Bob"" Romansky (Malgorzata Gebel) does an operation on a patient in the ER when there are no surgeons available, revealing that she was a surgeon in her native Poland, and wants to become a doctor in America.

From ""Blizzard"" (Season 1 Episode 10)
First broadcast December 8, 1994

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,1119240,7643,1006,PT5M2S,hd,public
Day at Work: ER Nurse,3GzBKoCK3Ik,ConnectEd,2010-05-18T02:45:56Z,"Will Cristobal is an Emergency Room Nurse. As part of ConnectEd's ""Day in the Life"" series, Will discusses what it is like to be an Emergency Room Nurse and the path that got him there.


Explore more career videos at http://connectedstudios.org/life_videos

Follow us on Facebook! https://facebook.com/connectedstudios","Emergency Room Nurse,ConnectEd California,Day,in,the,Life,career connections,Male Nurse,Medical Careers,ER",27,1062828,6722,216,PT4M25S,sd,public
Beyond the Waiting Room at Penrose Hospital - Full Episode.,AD9SgjY7ooU,Penrose-St. Francis Health Services,2016-12-02T15:19:44Z,"For more than 125 years, the doctors, nurses and staff at Penrose Hospital have been caring for the people of Colorado Springs. We are going to give you a behind the scenes look at the hospital, introduce you to the people and give you a glimpse of what happensâ€¦ Beyond the Waiting Room at Penrose Hospital.

You will get to see into the hallways and treatment rooms of the Emergency Department at Penrose Hospital. People from all walks of life come through these doors every day, looking for help for anything from trauma to a heart attack. 
And those doors open for more than 50 thousand people a year who come in for emergency care at Penrose Hospital.","ER,Documentary,Real ER,Emergency Room Trauma,Hospital,Hospital Shows,Hospital Documentary,Hopsital ER",29,1057855,6390,348,PT30M2S,hd,public
The Doug & Carol Reunion | ER,NbGT_DDP86Q,ER - Emergency Room,2020-07-20T11:00:09Z,"Helping treat a family makes Carol finally realize she needs to be with Doug, so she rushes to the first flight to Seattle to reunite with him.

From ""Such Sweet Sorrow"" (Season 6 Episode 21)
First broadcast May 11th, 2000

This scene features a surprise, uncredited cameo from George Clooney as Doug Ross. He agreed to return at scale pay (minimum wage) as long as his return was not used to publicize the episode. As a result, the final scene where Carol and Doug see each other was not originally part of the episode, and was added on at the very last minute so that NBC didn't have time to realize what was happening before the episode aired.

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,1024535,8787,1046,PT5M15S,hd,public
Greg Pratt Dies | ER,KUFVSpUGbms,ER - Emergency Room,2021-02-13T17:37:30Z,"Greg succumbs to his injuries in the ambulance explosion, and with no brain activity, is pronounced dead, leaving the rest of the ER staff distraught.

From ""Life After Death"" (Season 15 Episode 1)
First broadcast September 25th, 2008

Request your favorite scenes by emailing us at countygeneralchicago@gmail.com

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,1009405,6885,880,PT5M24S,hd,public
Dennis Gant's Suicide | ER,tJRRZn0gRhc,ER - Emergency Room,2020-07-23T14:25:08Z,"Surgical intern Dennis Gant's (Omar Epps) strained relationship with Benton comes to a peak when Benton publicly shames him for a ""lazy, stupid"" mistake, pushing the already struggling Gant to suspected suicide by jumping in front of the L-Train. 
Requested by Harrison Fived and Laura Hadziuk.

From ""Night Shift"" (Season 3 Episode 11)
First broadcast January 16th, 1997

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,978142,7916,1389,PT5M39S,hd,public
Smallpox Puts The ER Into Lockdown | ER,p5h823w0rek,ER - Emergency Room,2020-06-21T11:00:28Z,"Requested by Zlatan P. Carter suspects two kids might have smallpox after having travelled abroad and so the entire ER has to be locked down and quarantined.

From ""Lockdown"" (Season 8 Episode 22)
First broadcast May 16th, 2002

Get ER on 
Google Play: http://bit.ly/ER-Google
iTunes: https://apple.co/31TcYqF
or stream the whole series 
on Hulu at www.hulu.com (US) 
or All4 at www.channel4.com/programmes/er (UK)

This is NOT an official channel and is in no way associated with any organization, individual or entity involved with the production and/or distribution of ER.",,24,955129,8379,762,PT4M40S,hd,public
When It's an Emergency: Stories from Seattle Children's ER pt 1 of 5,jW-aSgleGR0,Seattle Children's,2012-06-07T22:47:04Z,"In this TV program, we go inside to see the inner workings of the emergency room at Seattle Children's Hospital -- inside doors that never close, and never turn away a patient. To learn more about when to bring your child to the emergency room, visit: http://www.seattlechildrens.org/clinics-programs/urgent-care-clinic/emergency-or-urgent-care/.

To watch the other parts of the series, click on any one of the following links:

When It's an Emergency: Stories from Seattle Children's ER pt 2 of 5:
http://www.youtube.com/watch?v=fne5o08uE_o

When It's an Emergency: Stories from Seattle Children's ER pt 3 of 5:
http://www.youtube.com/watch?v=LO_gavKEN2Y

When It's an Emergency: Stories from Seattle Children's ER pt 4 of 5:
http://www.youtube.com/watch?v=0OKN7k23L8k

When It's an Emergency: Stories from Seattle Children's ER pt 5 of 5:
http://www.youtube.com/watch?v=3wkz9BwI5mA","Emergency Dept,Seattle Children's (Hospital),Emergency room visits with children,Emergency room,ER,ER and children,KOMO tv",29,933318,4003,69,PT14M37S,hd,public
24 Hours in the ER: Health care's front lines,I5iewcBt4RI,USA TODAY,2009-09-09T16:30:16Z,"USA TODAY chronicles 24 hours at the University of Virginia Medical Center emergency room and the health issues that confront the ER doctors, nurses and patients. These four videos, ""Quality of Care,"" ""The Uninsured,"" ""ER Overuse"" or ""Opinions on Reform,""
****************

Humankind: Amazing moments that give us hope âž¤ http://bit.ly/2MrPxvd
Humankind: Stories worth sharing âž¤ http://bit.ly/2FWYXNP
Animalkind: Cute, cuddly & curious animals âž¤ http://bit.ly/2GdNf2j
Just the FAQs: When news breaks, we break it down for you âž¤ http://bit.ly/2Dw3Wnh   
The Wall: An in-depth examination of Donald Trumpâ€™s border wall âž¤ http://bit.ly/2sksl8F","health care,health care reform,Emergency room,hospital,health insurance,usa today",25,916863,4519,469,PT13M10S,hd,public
BOY HAS AMAZING TIME AT ER (EMERGENCY ROOM)!!,xtyeHPbwvDM,Dyches Fam,2015-09-21T16:42:27Z,"Tayden had a scary bout with asthma this weekend! He developed severe asthma and could barely breathe. We rushed him to the ER early Saturday morning and he was scared to go. After getting settled in the ER, Tayden was treated extremely well by the nurses and doctor and his attitude changed about the ER. He ended up enjoying his visit a little to much. Check out his thoughts of the ER in todays vlog, its hilarious! :D

Yesterday's Vlog: https://www.youtube.com/watch?v=cqJAtCpLvLw

Highlights from 2014: https://www.youtube.com/watch?v=OOAK_UJevvU&index=152

Nikoi's Birth 2009: https://www.youtube.com/watch?v=6v3dgrE8OQc

Highlights from 2008: https://www.youtube.com/watch?v=v8kv6GT2ycg&index=12

Tayden's Birth 2007: https://www.youtube.com/watch?v=AuRA99Zkd0o

-----------CONNECT WITH US------------
Facebook | https://www.facebook.com/dychesfam
Twitter | https://twitter.com/joshdyches
Twitter | https://twitter.com/christinadyches
Instagram | http://instagram.com/dychesfam
Instagram | http://instagram.com/christinadyches

----------------------------------------Â­Â­-----------
SUBSCRIBE! â‡¨ NEW VIDEOS DAILY â‡¦
Please: Subscribe + Like + Favorite + Share = Thanks!

Also check out:
Dyches Delicacies: https://www.youtube.com/user/dychesdelicacies

Dyches Dynasty:
https://www.youtube.com/user/EverybodyLikesDYCHES
----------------------------------------Â­Â­-----------
Â© 2014 DYCHES FAM PRODUCTIONS","emergency room,er,e.r.,e r,hospital,hospital emergency room,emergency,ambulance,medical emergency,asthma,severe asthma,breathing complications,stopped breathing,trouble breathing,breath,breathe,medical equipment,breathing treatments,nebulizer,breathing machine,breathing tube,doctor,nurse,fun,hilarious,loopy,medicine,hospital visit,meds,prescription drug,funny,boy,vlog,vlogging,vloggers,daily vlog,family vloggers,dyches,dykes,Emergency Department (Hospital)",22,910766,7946,N/A,PT18M17S,hd,public
ER - Dr Romano use sign language to Reese,4uA1T-PY2Q0,wishfulwhispers88,2012-08-18T14:22:10Z,"Dr Romano use sign language to Reese
Season 8 Episode 3

All rights to Warner Bros. Entertainment,","ER,S8,D1A,Title,01,041",1,875613,4859,420,PT31S,sd,public
