title,video_id,channel_title,publish_time,description,tags,category_id, view_count ,like_count,comment_count,duration,definition,privacy_status,,UGC,16%
Real Girlfriend Vs. Online Girlfriend | Jerry Springer,S8OlIKUWL4M,The Jerry Springer Show,2018-07-12T16:55:49Z,"Alexis wants to get to the bottom of her boyfriend Brian and an apparent online love affair heâ€™s having with Dominique. Theyâ€™ve never met before and but both claim to be love each other would like to take things to the next level. What will Alexis have to say? 

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,Scrubs,ATL,The Shade Room,Kardashian,Jenner,Walmart,Migos,Cardi B",24," 43,175,970 ",661804,98709,PT12M31S,hd,public,,,
The Original Catfish | Jerry Springer,quBb0lHFk2c,The Jerry Springer Show,2018-07-20T20:38:34Z,"Nick, you played yourself! 

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,Dj Khaled,Played Yourself,Catfish,Transgender,Trans Rights,Dolly,MTV,BET,Lil Boosie,soul Food,Divine,Drag Race",24," 24,232,572 ",242680,27813,PT7M46S,hd,public,,,
Online Crush Gets Crushed! | Jerry Springer,aI3sB99Dtlk,The Jerry Springer Show,2018-04-06T00:00:00Z,"Mia is very excited to meet her online crush Austin!  The two had conversations about moving in together except for one small problemâ€¦Austin's girlfriend!

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,catfish,online crush,crush,dating,moving in,girlfriend,other woman,Mia,Austin",24," 19,469,738 ",174158,25715,PT7M58S,hd,public,,,
You're Cheating On Me With My Coworker! | Jerry Springer,yOAWxSw1LLc,The Jerry Springer Show,2018-03-22T00:00:03Z,"Serinah believes that her boyfriend Adrian hooked up with her co-worker Dee Dee and she's ready to confront them both today! 

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,CoWorker,Proposal,Will You Marry Me,Rose Petals,Break Up,Dumped,Confrontation",24," 18,638,368 ",158831,11086,PT7M8S,hd,public,,,
I'm Taking Your Man! | Jerry Springer,oXYd0e6efZk,The Jerry Springer Show,2017-10-24T11:00:08Z,"Did Preshus make an interception and steal Larissa's man? 

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,football,nfl,buffalo wild wings,wings,beer,hook up,cheater,bff,#1 Fan,Number One Fan,Fan,Angry,Tony,Larissa",24," 15,786,932 ",119907,9141,PT6M6S,hd,public,,,
I Got Your Dog And Your Man! | Jerry Springer,TIbxtxls9cY,The Jerry Springer Show,2018-02-01T02:00:04Z,"Sierra is upset that her BFF Kindall wonâ€™t allow Sierra to visit her own dog. On top of that, Kindall also has a big secret to reveal about Sierraâ€™s boyfriend David! Will Sierra leave the show without her dog and her boyfriend?

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,pink,dyed hair,dog,pets,doggo,best friend,mans best friend,slap,cheater,lesbian,girl crush,gay,tattooed girls,tattoos,ink",24," 14,396,449 ",140862,17456,PT8M33S,hd,public,,,
Torn Between Two Women! | Jerry Springer,H2mZ6qEIjhA,The Jerry Springer Show,2018-01-17T02:00:00Z,"Alivia refuses to let anyone come in between her friendship. 
Sheâ€™s good friends with a guy named Eric, but his girlfriend Bree takes exception to their relationship. Now Eric must choose which woman to be with.
 
Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,Alivia,Bree,Childhood Best Friend,Childhood Friend,Girlfriend Drama,Drama,Jealous,Social Media,Blocking,Facebook,Snapchat,Torn Between Two Women",24," 14,243,376 ",133502,12929,PT6M56S,hd,public,,,
My Stepmom Is Trying To Steal My Man! | Jerry Springer,xGiOUl6vPLA,The Jerry Springer Show,2018-04-20T00:00:01Z,"What would you do if you found out that your stepmother made sexual advances toward your boyfriend? This is a question Janae is forced to deal with in this full segment of Jerry Springer!

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,step mother,step mom,relatives,boyfriend,stealing,steal my man,janae,full segment,sexual advances,flirty,flirting",24," 14,066,102 ",148985,15341,PT9M14S,hd,public,,,
Don't Bring Miley Cyrus Into This! | Jerry Springer,Yv3hSMTUs2c,The Jerry Springer Show,2018-08-27T13:59:53Z,"This was a marriage mix up of epic proportions!

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,Miley Cyrus,Jersey Shore,Baseball,Basketball,trap music,country,jacksonville,Madden",24," 13,709,308 ",130805,19450,PT12M9S,hd,public,,,
Did You Get Her Pregnant? | Jerry Springer,4foko2K-9yk,The Jerry Springer Show,2017-09-29T03:00:00Z,"Julissa found suggestive pics of her friend Blue on her boyfriend Shaq's phone! If that wasn't enough, Blue says she's pregnant with Shaq's baby!!! 

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,Pregnant,Pregnancy,Blue,Sexting,iphone",24," 11,976,206 ",93912,6214,PT7M54S,hd,public,,,
