title,video_id,channel_title,channel_id,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Tory Lanez and T-Pain - Jerry Sprunger (Official Music Video) (Co-Directed & Edited by Tory Lanez),D9Q3ojqDsRg,Tory Lanez,UCbfUA3UGxAWL3muD004g0WQ,2019-11-08T18:00:12Z,"Official Music video for Tory Lanez and T-Pain - Jerry Sprunger
Pre-save Tory’s new upcoming 80s album, ALONE AT PROM, out December 10: https://createmusic.fm/aloneatprom.oyd

Directed by: @midjordan @torylanez
Production Company: @blanksquareproductions
EP: @edgaresteves @christhedirector
DP/ Creative Director: @christhedirector
DP: @christhedirector
Producer: @Miketheproducer
Editor: @torylanez

Follow @torylanez
http://twitter.com/torylanez
http://instagram.com/torylanez
http://www.facebook.com/torylanez

#ToryLanez #TPain #Chixtape5 #JerrySprunger","Tory Lanez,Tory Lanez Chixtape,Tory Lanez Chixtape 5,Chixtape 5,Chixtape,TPain,T Pain,Tory Lanez T Pain,Jerry Sprunger,Tory Jerry Sprunger,T Pain Jerry Sprunger,R&B,Chixtape 4,Chixtape 3,Chixtape 2,I’m Sprung,Sprung T Pain,sprunger tory,sprunger,2000s,rap,chixtape 5 snippet,tory lanez chixtape snippet,chixtape snippets,tory lanez jerry sprunger,hip hop,tory lanez reaction,jerry sprunger tory lanez,tory lanez snippets,lil baby woah,lil baby",10,84748574,652826.0,15091,PT4M45S,hd,public
Real Girlfriend Vs. Online Girlfriend | Jerry Springer,S8OlIKUWL4M,The Jerry Springer Show,UCa8lOb_-AP7ZlaAE5IGzk4g,2018-07-12T16:55:49Z,"Alexis wants to get to the bottom of her boyfriend Brian and an apparent online love affair he’s having with Dominique. They’ve never met before and but both claim to be love each other would like to take things to the next level. What will Alexis have to say? 

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,Scrubs,ATL,The Shade Room,Kardashian,Jenner,Walmart,Migos,Cardi B",24,43341372,659675.0,98297,PT12M31S,hd,public
The Original Catfish | Jerry Springer,quBb0lHFk2c,The Jerry Springer Show,UCa8lOb_-AP7ZlaAE5IGzk4g,2018-07-20T20:38:34Z,"Nick, you played yourself! 

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,Dj Khaled,Played Yourself,Catfish,Transgender,Trans Rights,Dolly,MTV,BET,Lil Boosie,soul Food,Divine,Drag Race",24,26231217,255434.0,28699,PT7M46S,hd,public
"West Virginia, Mountain Mama",0GKIxOXCjlA,The Jerry Springer Show,UCa8lOb_-AP7ZlaAE5IGzk4g,2024-01-31T20:49:08Z,,,24,19121276,532730.0,4182,PT26S,hd,public
Ranking The Best Jerry Springer Moments,4wY3CXY2hgM,The5thEmperor,UClxo0yZUvtpNjizppASXEZQ,2025-06-14T20:54:39Z,,,22,32603656,855428.0,2743,PT49S,hd,public
I Got Your Dog And Your Man! | Jerry Springer,TIbxtxls9cY,The Jerry Springer Show,UCa8lOb_-AP7ZlaAE5IGzk4g,2018-02-01T02:00:04Z,"Sierra is upset that her BFF Kindall won’t allow Sierra to visit her own dog. On top of that, Kindall also has a big secret to reveal about Sierra’s boyfriend David! Will Sierra leave the show without her dog and her boyfriend?

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,pink,dyed hair,dog,pets,doggo,best friend,mans best friend,slap,cheater,lesbian,girl crush,gay,tattooed girls,tattoos,ink",24,14590548,141163.0,17417,PT8M33S,hd,public
Don't Bring Miley Cyrus Into This! | Jerry Springer,Yv3hSMTUs2c,The Jerry Springer Show,UCa8lOb_-AP7ZlaAE5IGzk4g,2018-08-27T13:59:53Z,"This was a marriage mix up of epic proportions!

Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,Miley Cyrus,Jersey Shore,Baseball,Basketball,trap music,country,jacksonville,Madden",24,13944148,131248.0,19432,PT12M9S,hd,public
Best Jerry Springer E-V-E-R!,h1X5R0sbUOc,Patrick Thomas,UCVvynlWSGbgrV65lmIvFyOw,2010-05-16T05:11:10Z,,"joke,television show,jerry spinger,laughs,humor,funny",23,13012382,62247.0,15068,PT2M35S,sd,public
A calculated response #Jerry #Jerryspringer #Springershow #reality #tvshow #roast,NGCt1Rh2yqI,The Jerry Springer Show,UCa8lOb_-AP7ZlaAE5IGzk4g,2024-01-29T20:21:50Z,,,24,12431296,523069.0,4320,PT31S,hd,public
I Thought You Were Mr Right! | Jerry Springer,TuQVF-aFo1c,The Jerry Springer Show,UCa8lOb_-AP7ZlaAE5IGzk4g,2018-03-20T02:00:00Z,"Joanna always had the worst luck with men until she found Mr. Right in Tyler...or so she thought...could the man of her dreams be cheating on her? 
Subscribe NOW to The Jerry Springer Show: http://bit.ly/SpringerSub 

Don't miss another episode of #JerrySpringer, find out where to watch here: http://jerryspringertv.com/watch

Get social with us on:
Website: http://jerryspringertv.com/
Add us on Snapchat: JerrySpringerTV
Likes us on Facebook: https://www.facebook.com/JerrySpringer
Follow us on Twitter: https://twitter.com/SpringerTV
Follow us on Instagram: http://instagram.com/thejerryspringershow
Snag some merch at our Studio Promos Merch Store: http://www.studiopromos.com
Watch full episodes of The Jerry Springer Show on demand for free at: https://www.Nosey.com","NBC,NBCUniversal,Jerry Springer,The Jerry Springer Show,Fights,Fist fights,Fighting,Relationships,Love,Friendship,Conflict,Strippers,Music,Performers,Entertainment,Pole Dancing,Boyfriend,Girlfriend,BFF,Beads,Romance,Roast,Comedy,Burns,WTF,Audience,Q+A,Stamford CT,Connecticut,Mr Right,Joanna,Mr Wrrong,Tyler,Cheating,Love Triangle,Dumped,Break Up,Secrets",24,11007184,87178.0,9800,PT6M52S,hd,public
