imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0496424,tt1527242,1,0,S1,Unaired Pilot,Unaired Pilot,2006,,24,Comedy,7.5,162
tt0496424,tt0849809,1,1,S1,Pilot,Pilot,2006,,22,Comedy,7.2,2052
tt0496424,tt0883001,1,2,S1,The Aftermath,The Aftermath,2006,,30,Comedy,7.5,1738
tt0496424,tt0865981,1,3,S1,Blind Date,Blind Date,2006,,22,Comedy,7.8,1701
tt0496424,tt0883000,1,4,S1,Jack the Writer,Jack the Writer,2006,,22,Comedy,7.4,1556
tt0496424,tt0882999,1,5,S1,Jack-Tor,Jack-Tor,2006,,28,Comedy,8.0,1581
tt0496424,tt0910580,1,6,S1,Jack Meets Dennis,Jack Meets Dennis,2006,,22,Comedy,7.6,1460
tt0496424,tt0876931,1,7,S1,Tracy Does Conan,Tracy Does Conan,2006,,22,Comedy,8.2,1639
tt0496424,tt0905647,1,8,S1,The Break-Up,The Break-Up,2006,,22,Comedy,7.7,1402
tt0496424,tt0931394,1,9,S1,The Baby Show,The Baby Show,2007,,22,Comedy,7.8,1383
tt0496424,tt0915758,1,10,S1,The Rural Juror,The Rural Juror,2007,,22,Comedy,7.9,1429
tt0496424,tt0920916,1,11,S1,The Head and the Hair,The Head and the Hair,2007,,22,Comedy,8.1,1413
tt0496424,tt0909393,1,12,S1,Black Tie,Black Tie,2007,,22,Comedy,8.5,1720
tt0496424,tt0944245,1,13,S1,Up All Night,Up All Night,2007,,22,Comedy,7.9,1350
tt0496424,tt0892439,1,14,S1,The C Word,The C Word,2007,,22,Comedy,7.7,1314
tt0496424,tt0944244,1,15,S1,Hard Ball,Hard Ball,2007,,22,Comedy,8.3,1374
tt0496424,tt0971260,1,16,S1,The Source Awards,The Source Awards,2007,,22,Comedy,7.7,1354
tt0496424,tt0974983,1,17,S1,The Fighting Irish,The Fighting Irish,2007,,22,Comedy,7.8,1344
tt0496424,tt0971259,1,18,S1,Fireworks,Fireworks,2007,,27,Comedy,8.1,1301
tt0496424,tt1001596,1,19,S1,Corporate Crush,Corporate Crush,2007,,22,Comedy,7.7,1238
tt0496424,tt1001595,1,20,S1,Cleveland,Cleveland,2007,,22,Comedy,8.0,1295
tt0496424,tt1001571,1,21,S1,Hiatus,Hiatus,2007,,22,Comedy,8.1,1274
tt0496424,tt1001572,2,1,S2,SeinfeldVision,SeinfeldVision,2007,,22,Comedy,8.2,1433
tt0496424,tt1001584,2,2,S2,Jack Gets in the Game,Jack Gets in the Game,2007,,22,Comedy,7.9,1251
tt0496424,tt1001588,2,3,S2,The Collection,The Collection,2007,,22,Comedy,7.7,1213
tt0496424,tt1001589,2,4,S2,Rosemary's Baby,Rosemary's Baby,2007,,22,Comedy,8.1,1371
tt0496424,tt1001590,2,5,S2,Greenzo,Greenzo,2007,,21,Comedy,8.2,1353
tt0496424,tt1001591,2,6,S2,Somebody to Love,Somebody to Love,2007,,21,Comedy,8.0,1230
tt0496424,tt1001592,2,7,S2,Cougars,Cougars,2007,,21,Comedy,7.9,1219
tt0496424,tt1001593,2,8,S2,Secrets and Lies,Secrets and Lies,2007,,22,Comedy,7.7,1148
tt0496424,tt1001594,2,9,S2,Ludachristmas,Ludachristmas,2007,,30,Comedy,8.1,1243
tt0496424,tt1001574,2,10,S2,Episode 210,Episode 210,2008,,30,Comedy,7.9,1256
tt0496424,tt1001575,2,11,S2,MILF Island,MILF Island,2008,,22,Comedy,8.3,1325
tt0496424,tt1001576,2,12,S2,Subway Hero,Subway Hero,2008,,22,Comedy,7.6,1131
tt0496424,tt1001577,2,13,S2,Succession,Succession,2008,,22,Comedy,8.3,1218
tt0496424,tt1001578,2,14,S2,Sandwich Day,Sandwich Day,2008,,30,Comedy,8.0,1179
