imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0118254,tt0510330,1,1,S1,Pilot,Pilot,1997,,60,"Comedy,Drama,Romance",7.5,492
tt0118254,tt0510285,1,2,S1,Compromising Positions,Compromising Positions,1997,,60,"Comedy,Drama,Romance",7.3,366
tt0118254,tt0510353,1,3,S1,The Kiss,The Kiss,1997,,60,"Comedy,Drama,Romance",7.4,352
tt0118254,tt0510345,1,4,S1,The Affair,The Affair,1997,,60,"Comedy,Drama,Romance",7.3,332
tt0118254,tt0510326,1,5,S1,One Hundred Tears Away,One Hundred Tears Away,1997,,60,"Comedy,Drama,Romance",7.4,329
tt0118254,tt0510361,1,6,S1,The Promise,The Promise,1997,,60,"Comedy,Drama,Romance",7.4,316
tt0118254,tt0510346,1,7,S1,The Attitude,The Attitude,1997,,60,"Comedy,Drama,Romance",7.3,302
tt0118254,tt0510288,1,8,S1,Drawing the Lines,Drawing the Lines,1997,,60,"Comedy,Drama,Romance",7.2,304
tt0118254,tt0510348,1,9,S1,The Dirty Joke,The Dirty Joke,1997,,60,"Comedy,Drama,Romance",7.3,297
tt0118254,tt0510277,1,10,S1,Boy to the World,Boy to the World,1997,,60,"Comedy,Drama,Romance",7.9,366
tt0118254,tt0510343,1,11,S1,Silver Bells,Silver Bells,1997,,60,"Comedy,Drama,Romance",7.4,279
tt0118254,tt0510286,1,12,S1,Cro-Magnon,Cro-Magnon,1998,,60,"Comedy,Drama,Romance",7.5,301
tt0118254,tt0510347,1,13,S1,The Blame Game,The Blame Game,1998,,60,"Comedy,Drama,Romance",7.1,264
tt0118254,tt0510275,1,14,S1,Body Language,Body Language,1998,,60,"Comedy,Drama,Romance",7.1,271
tt0118254,tt0510324,1,15,S1,Once in a Lifetime,Once in a Lifetime,1998,,60,"Comedy,Drama,Romance",7.3,268
tt0118254,tt0510292,1,16,S1,Forbidden Fruits,Forbidden Fruits,1998,,60,"Comedy,Drama,Romance",7.5,258
tt0118254,tt0510365,1,17,S1,Theme of Life,Theme of Life,1998,,60,"Comedy,Drama,Romance",7.6,261
