imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt4803766,tt4847892,1,1,S1,And So It Begins,And So It Begins,2015,,44,"Documentary,Game-Show,Reality-TV",7.4,205
tt4803766,tt4847898,1,2,S1,Of Wolf and Man,Of Wolf and Man,2015,,43,"Documentary,Game-Show,Reality-TV",7.6,165
tt4803766,tt4847902,1,3,S1,The Talons of Fear,The Talons of Fear,2015,,43,"Documentary,Game-Show,Reality-TV",7.5,151
tt4803766,tt4847908,1,4,S1,Stalked,Stalked,2015,,44,"Documentary,Game-Show,Reality-TV",7.6,153
tt4803766,tt4865852,1,5,S1,Winds of Hell,Winds of Hell,2015,,44,"Documentary,Game-Show,Reality-TV",7.6,147
tt4803766,tt4870218,1,6,S1,Rain of Terror,Rain of Terror,2015,,44,"Documentary,Game-Show,Reality-TV",7.6,146
tt4803766,tt4922376,1,7,S1,The Hunger,The Hunger,2015,,44,"Documentary,Game-Show,Reality-TV",7.6,143
tt4803766,tt4922394,1,8,S1,The Freeze,The Freeze,2015,,44,"Documentary,Game-Show,Reality-TV",7.6,145
tt4803766,tt4944372,1,9,S1,Brokedown Palace,Brokedown Palace,2015,,44,"Documentary,Game-Show,Reality-TV",7.5,139
tt4803766,tt4944384,1,10,S1,Triumph,Triumph,2015,,44,"Documentary,Game-Show,Reality-TV",8.2,151
tt4803766,tt4944376,1,11,S1,After the Rescue,After the Rescue,2015,,41,"Documentary,Game-Show,Reality-TV",7.1,113
tt4803766,tt5640794,2,0,S2,Making the Cut,Making the Cut,2016,,41,"Documentary,Game-Show,Reality-TV",7.3,97
tt4803766,tt5640790,2,1,S2,Once More Unto the Breach,Once More Unto the Breach,2016,,43,"Documentary,Game-Show,Reality-TV",7.2,123
tt4803766,tt5714734,2,2,S2,The Knife's Edge,The Knife's Edge,2016,,42,"Documentary,Game-Show,Reality-TV",7.3,111
tt4803766,tt5714736,2,3,S2,The Beast of the Night,The Beast of the Night,2016,,42,"Documentary,Game-Show,Reality-TV",7.5,107
tt4803766,tt5861014,2,4,S2,Hunger's Grip,Hunger's Grip,2016,,42,"Documentary,Game-Show,Reality-TV",7.4,108
tt4803766,tt5775520,2,5,S2,Storm Rising,Storm Rising,2016,,42,"Documentary,Game-Show,Reality-TV",7.5,107
tt4803766,tt5775530,2,6,S2,Adrift,Adrift,2016,,43,"Documentary,Game-Show,Reality-TV",7.6,106
tt4803766,tt5816270,2,7,S2,Trial by Fire,Trial by Fire,2016,,42,"Documentary,Game-Show,Reality-TV",7.5,102
tt4803766,tt5861028,2,8,S2,The Ascent,The Ascent,2016,,43,"Documentary,Game-Show,Reality-TV",7.7,102
tt4803766,tt5861036,2,9,S2,The Madness,The Madness,2016,,43,"Documentary,Game-Show,Reality-TV",7.6,102
tt4803766,tt5861040,2,10,S2,The Gamble,The Gamble,2016,,43,"Documentary,Game-Show,Reality-TV",7.4,102
tt4803766,tt5861042,2,11,S2,Winter's Fury,Winter's Fury,2016,,43,"Documentary,Game-Show,Reality-TV",7.6,104
