imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0397306,tt0511638,1,1,S1,Pilot,Pilot,2005,,25,"Animation,Comedy",7.2,1572
tt0397306,tt0511646,1,2,S1,Threat Levels,Threat Levels,2005,,23,"Animation,Comedy",7.1,1272
tt0397306,tt0511641,1,3,S1,Stan Knows Best,Stan Knows Best,2005,,23,"Animation,Comedy",7.2,1241
tt0397306,tt0511635,1,4,S1,Francine's Flashback,Francine's Flashback,2005,,21,"Animation,Comedy",7.3,1244
tt0397306,tt0511639,1,5,S1,Roger Codger,Roger Codger,2005,,22,"Animation,Comedy",7.5,1159
tt0397306,tt0511636,1,6,S1,Homeland Insecurity,Homeland Insecurity,2005,,22,"Animation,Comedy",7.5,1203
tt0397306,tt0511633,1,7,S1,"Deacon Stan, Jesus Man","Deacon Stan, Jesus Man",2005,,22,"Animation,Comedy",7.2,1109
tt0397306,tt0511631,1,8,S1,Bullocks to Stan,Bullocks to Stan,2005,,22,"Animation,Comedy",7.8,1162
tt0397306,tt0511629,1,9,S1,A Smith in the Hand,A Smith in the Hand,2005,,21,"Animation,Comedy",7.7,1140
tt0397306,tt0511630,1,10,S1,All About Steve,All About Steve,2005,,22,"Animation,Comedy",7.3,1045
tt0397306,tt0511632,1,11,S1,Con Heir,Con Heir,2005,,22,"Animation,Comedy",7.1,1005
tt0397306,tt0511642,1,12,S1,Stan of Arabia: Part 1,Stan of Arabia: Part 1,2005,,22,"Animation,Comedy",7.7,1158
tt0397306,tt0511643,1,13,S1,Stan of Arabia: Part 2,Stan of Arabia: Part 2,2005,,22,"Animation,Comedy",7.7,1129
tt0397306,tt0511644,1,14,S1,Stannie Get Your Gun,Stannie Get Your Gun,2005,,22,"Animation,Comedy",7.4,1012
tt0397306,tt0511645,1,15,S1,Star Trek,Star Trek,2005,,21,"Animation,Comedy",7.3,993
tt0397306,tt0511637,1,16,S1,Not Particularly Desperate Housewife,Not Particularly Desperate Housewife,2005,,22,"Animation,Comedy",7.2,1047
tt0397306,tt0511640,1,17,S1,Rough Trade,Rough Trade,2006,,21,"Animation,Comedy",7.6,1032
tt0397306,tt0511634,1,18,S1,Finances with Wolves,Finances with Wolves,2006,,21,"Animation,Comedy",7.5,968
tt0397306,tt0760002,1,19,S1,It's Good to Be the Queen,It's Good to Be the Queen,2006,,22,"Animation,Comedy",7.1,1012
tt0397306,tt0786031,1,20,S1,Roger 'n' Me,Roger 'n' Me,2006,,22,"Animation,Comedy",7.6,965
tt0397306,tt0788315,1,21,S1,Helping Handis,Helping Handis,2006,,22,"Animation,Comedy",7.2,941
tt0397306,tt0795057,1,22,S1,With Friends Like Steve's,With Friends Like Steve's,2006,,22,"Animation,Comedy",7.8,1031
tt0397306,tt0796020,1,23,S1,Tears of a Clooney,Tears of a Clooney,2006,,22,"Animation,Comedy",7.6,1056
tt0397306,tt0818273,2,1,S2,Camp Refoogee,Camp Refoogee,2006,,21,"Animation,Comedy",7.7,1080
