imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt1596786,tt1619346,1,1,S1,Big Bear,Big Bear,2010,,44,"Documentary,Reality-TV",7.3,81
tt1596786,tt1619350,1,2,S1,Super Scooter,Super Scooter,2010,,42,"Documentary,Reality-TV",7.5,62
tt1596786,tt1619351,1,3,S1,White Castle on the Farm,White Castle on the Farm,2010,,43,"Documentary,Reality-TV",7.4,62
tt1596786,tt1619348,1,4,S1,Invisible Pump,Invisible Pump,2010,,43,"Documentary,Reality-TV",7.6,63
tt1596786,tt1619345,1,5,S1,Back Breaker,Back Breaker,2010,,43,"Documentary,Reality-TV",7.2,57
tt1596786,tt1619349,1,6,S1,Mole Man,Mole Man,2010,,43,"Documentary,Reality-TV",7.7,56
tt1596786,tt1619347,1,7,S1,Frank's Gamble,Frank's Gamble,2010,,44,"Documentary,Reality-TV",7.6,56
tt1596786,tt1619344,1,8,S1,5 Acres of Junk,5 Acres of Junk,2010,,44,"Documentary,Reality-TV",7.3,57
tt1596786,tt1635554,1,9,S1,Bigfoot in Alabama,Bigfoot in Alabama,2010,,22,"Documentary,Reality-TV",7.3,43
tt1596786,tt1635556,1,10,S1,Know When to Fold,Know When to Fold,2010,,22,"Documentary,Reality-TV",7.3,44
tt1596786,tt1635555,1,11,S1,Fill'er Up,Fill'er Up,2010,,22,"Documentary,Reality-TV",7.5,46
tt1596786,tt1635557,1,12,S1,Leland's Cafe,Leland's Cafe,2010,,22,"Documentary,Reality-TV",7.6,45
tt1596786,tt1685056,2,1,S2,Art of the Deal,Art of the Deal,2010,,44,"Documentary,Reality-TV",7.5,47
tt1596786,tt1685057,2,2,S2,Buddy's Booby Trap,Buddy's Booby Trap,2010,,44,"Documentary,Reality-TV",7.4,45
tt1596786,tt1669876,2,3,S2,Gordon's Gold Mine,Gordon's Gold Mine,2010,,44,"Documentary,Reality-TV",7.7,42
