imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0094415,tt1841002,1,1,S1,Episode #1.1,Episode #1.1,1988,,60,"Crime,Documentary",9.0,13
tt0094415,tt1841003,1,2,S1,Episode #1.2,Episode #1.2,1988,,60,"Crime,Documentary",,
tt0094415,tt1841004,1,3,S1,Episode #1.3,Episode #1.3,1988,,60,"Crime,Documentary",,
tt0094415,tt1841005,1,4,S1,Episode #1.4,Episode #1.4,1988,,60,"Crime,Documentary",,
tt0094415,tt1430849,1,5,S1,Gregory Scarpa/Curtis Ray Morgan/Dapper Bandit,Gregory Scarpa/Curtis Ray Morgan/Dapper Bandit,1988,,60,"Crime,Documentary",,
tt0094415,tt1430845,1,6,S1,Dunstrom/McMillian/Bruce/Donald Adams/William 'Pops' Pegram,Dunstrom/McMillian/Bruce/Donald Adams/William 'Pops' Pegram,1988,,60,"Crime,Documentary",,
tt0094415,tt1442693,1,7,S1,Paul Steven Mack/Steven Kurt Baughman,Paul Steven Mack/Steven Kurt Baughman,1988,,60,"Crime,Documentary",,
tt0094415,tt1430848,1,8,S1,Glen Stewart Godwin/Shelly Rose Godwin,Glen Stewart Godwin/Shelly Rose Godwin,1988,,60,"Crime,Documentary",,
tt0094415,tt1430851,1,9,S1,John Edward Stevens/Leroy Carter/James Clark,John Edward Stevens/Leroy Carter/James Clark,1988,,60,"Crime,Documentary",,
tt0094415,tt1430861,1,10,S1,Stacy/Williams/Mollohan/Patrick Menillo/William Fischer,Stacy/Williams/Mollohan/Patrick Menillo/William Fischer,1988,,60,"Crime,Documentary",,
tt0094415,tt1430853,1,11,S1,Joseph Kindler/Alex Kelly,Joseph Kindler/Alex Kelly,1988,,60,"Crime,Documentary",,
tt0094415,tt1430860,1,12,S1,Samuel Burchard/Heriberto Zepeda,Samuel Burchard/Heriberto Zepeda,1988,,60,"Crime,Documentary",,
tt0094415,tt1474498,1,13,S1,James Charles Starck/Tripp,James Charles Starck/Tripp,1988,,60,"Crime,Documentary",,
tt0094415,tt1430862,1,14,S1,Stephen Randall Dye/Charles & Maria Fox/Michelle Lee Dorr,Stephen Randall Dye/Charles & Maria Fox/Michelle Lee Dorr,1988,,60,"Crime,Documentary",,
