imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt2845786,tt2849368,1,1,S1,Myanmar,Myanmar,2013,,43,"Adventure,Documentary",7.9,342
tt2845786,tt2849378,1,2,S1,Los Angeles,Los Angeles,2013,,43,"Adventure,Documentary",7.6,269
tt2845786,tt2849394,1,3,S1,Colombia,Colombia,2013,,43,"Adventure,Documentary",7.5,235
tt2845786,tt2849364,1,4,S1,Canada,Canada,2013,,43,"Adventure,Documentary",8.4,277
tt2845786,tt2849380,1,5,S1,Morocco (Tangier),Morocco (Tangier),2013,,43,"Adventure,Documentary",7.8,213
tt2845786,tt2849400,1,6,S1,Libya,Libya,2013,,43,"Adventure,Documentary",7.6,224
tt2845786,tt2849408,1,7,S1,Peru,Peru,2013,,43,"Adventure,Documentary",7.5,182
tt2845786,tt2849384,1,8,S1,Congo,Congo,2013,,43,"Adventure,Documentary",7.9,217
tt2845786,tt3426786,1,9,S1,Prime Cuts: Season 1,Prime Cuts: Season 1,2013,,,"Adventure,Documentary",6.9,38
tt2845786,tt3285356,2,1,S2,Jerusalem,Jerusalem,2013,,43,"Adventure,Documentary",8.1,209
tt2845786,tt3280212,2,2,S2,Spain,Spain,2013,,43,"Adventure,Documentary",7.7,186
tt2845786,tt3302926,2,3,S2,New Mexico,New Mexico,2013,,43,"Adventure,Documentary",7.2,155
tt2845786,tt3267020,2,4,S2,Copenhagen,Copenhagen,2013,,43,"Adventure,Documentary",8.3,193
tt2845786,tt3284978,2,5,S2,Sicily,Sicily,2013,,43,"Adventure,Documentary",7.7,173
tt2845786,tt3284720,2,6,S2,South Africa,South Africa,2013,,43,"Adventure,Documentary",7.3,136
tt2845786,tt3344306,2,7,S2,Tokyo,Tokyo,2013,,43,"Adventure,Documentary",8.2,197
tt2845786,tt3332446,2,8,S2,Detroit,Detroit,2013,,43,"Adventure,Documentary",8.2,172
tt2845786,tt3768398,2,9,S2,Prime Cuts: Season 2,Prime Cuts: Season 2,2014,,,"Adventure,Documentary",7.1,36
tt2845786,tt3635798,3,1,S3,"Punjab, India","Punjab, India",2014,,43,"Adventure,Documentary",8.0,169
tt2845786,tt3712958,3,2,S3,Las Vegas,Las Vegas,2014,,43,"Adventure,Documentary",7.2,148
tt2845786,tt3717664,3,3,S3,Lyon,Lyon,2014,,43,"Adventure,Documentary",8.8,203
tt2845786,tt3729160,3,4,S3,Mexico City,Mexico City,2014,,42,"Adventure,Documentary",7.8,138
tt2845786,tt3736790,3,5,S3,Russia,Russia,2014,,43,"Adventure,Documentary",7.9,160
tt2845786,tt3729162,3,6,S3,Mississippi Delta,Mississippi Delta,2014,,43,"Adventure,Documentary",7.6,134
tt2845786,tt3729182,3,7,S3,Thailand,Thailand,2014,,43,"Adventure,Documentary",8.4,183
tt2845786,tt3729184,3,8,S3,"Bahia, Brazil","Bahia, Brazil",2014,,43,"Adventure,Documentary",7.6,121
