imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt2342499,tt3149230,1,1,S1,Cool Your Jets,Cool Your Jets,2013,,22,Reality-TV,6.6,121
tt2342499,tt6840422,1,2,S1,It's Not Easy Being Green,It's Not Easy Being Green,2013,,42,Reality-TV,6.9,89
tt2342499,tt6843196,1,3,S1,"Dude, That's a Dude, Dude","Dude, That's a Dude, Dude",2013,,42,Reality-TV,6.6,66
tt2342499,tt3156844,1,4,S1,"Luggage, Luggage Everywhere","Luggage, Luggage Everywhere",2013,,43,Reality-TV,7.0,82
tt2342499,tt6843200,1,5,S1,I'm Living with the Devil,I'm Living with the Devil,2013,,38,Reality-TV,7.1,78
tt2342499,tt4310696,1,6,S1,Sleeping with the Enemy,Sleeping with the Enemy,2013,,43,Reality-TV,7.1,77
tt2342499,tt6843206,1,7,S1,Naughty Yachties,Naughty Yachties,2013,,42,Reality-TV,7.1,74
tt2342499,tt6843204,1,8,S1,There's a New Captain in Town,There's a New Captain in Town,2013,,42,Reality-TV,7.0,75
tt2342499,tt3105012,1,9,S1,Land Ahoy... Finally,Land Ahoy... Finally,2013,,44,Reality-TV,7.0,75
tt2342499,tt6843202,1,10,S1,Reunion,Reunion,2013,,43,Reality-TV,6.9,62
tt2342499,tt9722658,1,11,S1,The Crew Tells All,The Crew Tells All,2013,,43,Reality-TV,6.1,53
tt2342499,tt4006618,2,1,S2,Shut Your Porthole,Shut Your Porthole,2014,,44,Reality-TV,7.1,89
tt2342499,tt4006630,2,2,S2,Hex on the Beach,Hex on the Beach,2014,,44,Reality-TV,7.1,76
tt2342499,tt4006634,2,3,S2,"Mojitos, Mo' Problems","Mojitos, Mo' Problems",2014,,44,Reality-TV,7.3,71
tt2342499,tt4007530,2,4,S2,Charter Guest Soulmate,Charter Guest Soulmate,2014,,44,Reality-TV,7.6,74
tt2342499,tt4291326,2,5,S2,Bitchy Resting Face,Bitchy Resting Face,2014,,44,Reality-TV,7.6,75
tt2342499,tt4025868,2,6,S2,"Strains, Stains and a Big Pain","Strains, Stains and a Big Pain",2014,,44,Reality-TV,7.4,70
tt2342499,tt4025870,2,7,S2,She'd Better Not Be Staying,She'd Better Not Be Staying,2014,,44,Reality-TV,7.5,71
tt2342499,tt4166668,2,8,S2,New Kid on the Dock,New Kid on the Dock,2014,,44,Reality-TV,7.3,67
tt2342499,tt4166672,2,9,S2,You're Grounded,You're Grounded,2014,,44,Reality-TV,7.2,66
tt2342499,tt4166674,2,10,S2,Premature Corkulation,Premature Corkulation,2014,,44,Reality-TV,7.3,65
tt2342499,tt4166676,2,11,S2,"Dry Land, Damp Eyes","Dry Land, Damp Eyes",2014,,43,Reality-TV,7.3,65
tt2342499,tt4166684,2,12,S2,Crew Tells All,Crew Tells All,2014,,44,Reality-TV,6.9,49
tt2342499,tt4166682,2,13,S2,Reunion,Reunion,2014,,65,Reality-TV,6.4,53
tt2342499,tt4971742,3,1,S3,"More Foam, Bosun!","More Foam, Bosun!",2015,,44,Reality-TV,7.0,79
tt2342499,tt4971746,3,2,S3,Off the Radar,Off the Radar,2015,,44,Reality-TV,7.1,62
tt2342499,tt5095760,3,3,S3,Pretty Cheeks,Pretty Cheeks,2015,,43,Reality-TV,7.3,59
tt2342499,tt4919210,3,4,S3,"I Don't Date, I Mate","I Don't Date, I Mate",2015,,43,Reality-TV,7.3,61
tt2342499,tt5091036,3,5,S3,I'm Ironing the Captain's Shorts,I'm Ironing the Captain's Shorts,2015,,43,Reality-TV,6.9,60
tt2342499,tt5091032,3,6,S3,My Dearest Emile,My Dearest Emile,2015,,43,Reality-TV,7.2,58
tt2342499,tt5091044,3,7,S3,Storm's a Comin',Storm's a Comin',2015,,44,Reality-TV,7.2,58
tt2342499,tt5095762,3,8,S3,Boom Boom in the Laundry Room,Boom Boom in the Laundry Room,2015,,44,Reality-TV,7.2,60
tt2342499,tt5015846,3,9,S3,Fire!,Fire!,2015,,43,Reality-TV,7.3,59
tt2342499,tt4817946,3,10,S3,What Took You So Long?,What Took You So Long?,2015,,54,Reality-TV,7.8,70
tt2342499,tt5002084,3,11,S3,The Real Housewives of Atlanta,The Real Housewives of Atlanta,2015,,43,Reality-TV,7.0,60
tt2342499,tt5002088,3,12,S3,Dirty Laundry,Dirty Laundry,2015,,43,Reality-TV,7.1,57
tt2342499,tt5002094,3,13,S3,Loose Lips Sink Ships,Loose Lips Sink Ships,2015,,43,Reality-TV,7.2,58
tt2342499,tt5665396,3,14,S3,Reunion Part 1,Reunion Part 1,2015,,43,Reality-TV,7.5,47
tt2342499,tt5665398,3,15,S3,Reunion 2,Reunion 2,2015,,43,Reality-TV,7.1,52
tt2342499,tt6130940,4,1,S4,No One Said This Job Was Easy,No One Said This Job Was Easy,2016,,43,Reality-TV,7.4,77
tt2342499,tt6130954,4,2,S4,What Happens in the Hot Tub Stays in the Hot Tub,What Happens in the Hot Tub Stays in the Hot Tub,2016,,43,Reality-TV,7.5,60
tt2342499,tt6130964,4,3,S4,Hair Models and Filthy Martinis,Hair Models and Filthy Martinis,2016,,43,Reality-TV,7.6,60
tt2342499,tt6130972,4,4,S4,That Tuna Is F@#!Ed,That Tuna Is F@#!Ed,2016,,43,Reality-TV,7.3,57
tt2342499,tt6130974,4,5,S4,The Freak Comes Out at Night,The Freak Comes Out at Night,2016,,43,Reality-TV,7.3,56
tt2342499,tt6130978,4,6,S4,The One Where the Charter Guests Almost Die,The One Where the Charter Guests Almost Die,2016,,43,Reality-TV,7.3,58
tt2342499,tt6221850,4,7,S4,Decent Proposal,Decent Proposal,2016,,43,Reality-TV,7.7,55
tt2342499,tt6221852,4,8,S4,One Less Fish in the Sea,One Less Fish in the Sea,2016,,43,Reality-TV,7.4,52
tt2342499,tt6221854,4,9,S4,The Sea Was Angry,The Sea Was Angry,2016,,54,Reality-TV,7.0,50
tt2342499,tt6233586,4,10,S4,Bombed by a Care Bear,Bombed by a Care Bear,2016,,43,Reality-TV,7.4,58
tt2342499,tt6663756,4,11,S4,Bosun Blues,Bosun Blues,2016,,43,Reality-TV,7.3,49
tt2342499,tt6663760,4,12,S4,Bemily,Bemily,2016,,43,Reality-TV,7.8,51
tt2342499,tt6663762,4,13,S4,Waking the Resting Bitch Face,Waking the Resting Bitch Face,2016,,43,Reality-TV,7.4,47
tt2342499,tt6663764,4,14,S4,50 Shades of Ben,50 Shades of Ben,2016,,43,Reality-TV,7.7,63
tt2342499,tt7822832,5,1,S5,The 1 Percenters,The 1 Percenters,2017,,43,Reality-TV,6.9,59
tt2342499,tt7822852,5,2,S5,It Ain't Easy Being Green,It Ain't Easy Being Green,2017,,43,Reality-TV,7.1,47
tt2342499,tt7822856,5,3,S5,Jesus Saves,Jesus Saves,2017,,43,Reality-TV,7.2,45
tt2342499,tt7822858,5,4,S5,Kate Goes to Church,Kate Goes to Church,2017,,54,Reality-TV,7.3,44
tt2342499,tt7822862,5,5,S5,Cool Beans,Cool Beans,2017,,43,Reality-TV,6.9,44
tt2342499,tt7822882,5,6,S5,100 Feet From Catastrophe,100 Feet From Catastrophe,2017,,43,Reality-TV,7.2,45
tt2342499,tt7822890,5,7,S5,Blindsided,Blindsided,2017,,43,Reality-TV,7.2,44
tt2342499,tt7822894,5,8,S5,Under Cover Boss,Under Cover Boss,2017,,43,Reality-TV,7.1,42
tt2342499,tt7822896,5,9,S5,Hot Mess Express,Hot Mess Express,2017,,43,Reality-TV,7.4,41
tt2342499,tt7822900,5,10,S5,King Come-On-I-Wanna-Lay-Ya,King Come-On-I-Wanna-Lay-Ya,2017,,43,Reality-TV,7.6,44
tt2342499,tt7822904,5,11,S5,Only Doing It For The Money,Only Doing It For The Money,2017,,43,Reality-TV,7.0,39
tt2342499,tt7822906,5,12,S5,You Don't Mess with the Primary,You Don't Mess with the Primary,2017,,43,Reality-TV,7.6,39
tt2342499,tt7822908,5,13,S5,The One Where Jen Loses Her Mind,The One Where Jen Loses Her Mind,2017,,43,Reality-TV,7.1,39
tt2342499,tt7822912,5,14,S5,The Champagne Campaign,The Champagne Campaign,2017,,43,Reality-TV,7.3,43
tt2342499,tt9436450,5,15,S5,Reunion,Reunion,2017,,43,Reality-TV,6.3,30
tt2342499,tt8861816,6,0,S6,Captain Lee's Yachtrageous Moments,Captain Lee's Yachtrageous Moments,2018,,30,Reality-TV,6.7,30
tt2342499,tt8883554,6,1,S6,We're Not in the Caribbean Anymore,We're Not in the Caribbean Anymore,2018,,43,Reality-TV,7.1,59
tt2342499,tt8883574,6,2,S6,"Foam, Party of One","Foam, Party of One",2018,,43,Reality-TV,7.2,48
