imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0098749,tt0125674,1,1,S1,Class of Beverly Hills,Class of Beverly Hills,1990,,94,"Drama,Romance",7.1,1117
tt0098749,tt0522954,1,2,S1,The Green Room,The Green Room,1990,,46,"Drama,Romance",7.0,465
tt0098749,tt0522794,1,3,S1,Every Dream Has Its Price (Tag),Every Dream Has Its Price (Tag),1990,,46,"Drama,Romance",6.7,416
tt0098749,tt0522947,1,4,S1,The First Time,The First Time,1990,,47,"Drama,Romance",7.1,389
tt0098749,tt0522880,1,5,S1,One on One,One on One,1990,,46,"Drama,Romance",6.7,349
tt0098749,tt0522824,1,6,S1,Higher Education,Higher Education,1990,,47,"Drama,Romance",7.2,351
tt0098749,tt0522886,1,7,S1,Perfect Mom,Perfect Mom,1990,,45,"Drama,Romance",7.4,373
tt0098749,tt0522938,1,8,S1,The 17 Year Itch,The 17 Year Itch,1990,,47,"Drama,Romance",6.3,345
tt0098749,tt0522951,1,9,S1,The Gentle Art of Listening,The Gentle Art of Listening,1990,,47,"Drama,Romance",7.3,365
tt0098749,tt0522843,1,10,S1,Isn't It Romantic?,Isn't It Romantic?,1991,,47,"Drama,Romance",7.6,389
tt0098749,tt0522745,1,11,S1,B.Y.O.B.,B.Y.O.B.,1991,,47,"Drama,Romance",7.4,341
tt0098749,tt0522878,1,12,S1,One Man and a Baby,One Man and a Baby,1991,,46,"Drama,Romance",6.5,322
tt0098749,tt0522914,1,13,S1,Slumber Party,Slumber Party,1991,,45,"Drama,Romance",7.6,394
tt0098749,tt0522790,1,14,S1,East Side Story,East Side Story,1991,,47,"Drama,Romance",6.2,340
tt0098749,tt0522720,1,15,S1,A Fling in Palm Springs,A Fling in Palm Springs,1991,,47,"Drama,Romance",7.2,328
tt0098749,tt0522799,1,16,S1,Fame Is Where You Find It,Fame Is Where You Find It,1991,,45,"Drama,Romance",6.9,328
tt0098749,tt0522926,1,17,S1,Stand (Up) and Deliver,Stand (Up) and Deliver,1991,,47,"Drama,Romance",6.4,309
tt0098749,tt0522844,1,18,S1,It's Only a Test,It's Only a Test,1991,,47,"Drama,Romance",7.2,317
tt0098749,tt0522742,1,19,S1,April Is the Cruelest Month,April Is the Cruelest Month,1991,,47,"Drama,Romance",6.8,332
tt0098749,tt0522924,1,20,S1,Spring Training,Spring Training,1991,,45,"Drama,Romance",6.3,282
tt0098749,tt0522922,1,21,S1,Spring Dance,Spring Dance,1991,,46,"Drama,Romance",7.7,369
tt0098749,tt0522826,1,22,S1,Home Again,Home Again,1991,,46,"Drama,Romance",7.4,315
tt0098749,tt0522749,2,1,S2,Beach Blanket Brandon,Beach Blanket Brandon,1991,,45,"Drama,Romance",7.1,299
tt0098749,tt0522964,2,2,S2,The Party Fish,The Party Fish,1991,,46,"Drama,Romance",6.5,289
tt0098749,tt0522932,2,3,S2,Summer Storm,Summer Storm,1991,,46,"Drama,Romance",7.1,293
tt0098749,tt0522738,2,4,S2,Anaconda,Anaconda,1991,,45,"Drama,Romance",6.9,278
tt0098749,tt0522889,2,5,S2,"Play It Again, David","Play It Again, David",1991,,46,"Drama,Romance",6.7,271
