imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0460627,tt0529893,1,1,S1,Pilot,Pilot,2005,,42,"Crime,Drama,Mystery",7.6,2307
tt0460627,tt0529897,1,2,S1,The Man in the SUV,The Man in the SUV,2005,,42,"Crime,Drama,Mystery",7.3,1792
tt0460627,tt0529892,1,3,S1,A Boy in a Tree,A Boy in a Tree,2005,,42,"Crime,Drama,Mystery",7.5,1688
tt0460627,tt0529895,1,4,S1,The Man in the Bear,The Man in the Bear,2005,,42,"Crime,Drama,Mystery",7.8,1691
tt0460627,tt0529891,1,5,S1,A Boy in a Bush,A Boy in a Bush,2005,,43,"Crime,Drama,Mystery",7.8,1644
tt0460627,tt0529898,1,6,S1,The Man in the Wall,The Man in the Wall,2005,,42,"Crime,Drama,Mystery",7.3,1546
tt0460627,tt0529899,1,7,S1,The Man on Death Row,The Man on Death Row,2005,,43,"Crime,Drama,Mystery",8.1,1637
tt0460627,tt0529894,1,8,S1,The Girl in the Fridge,The Girl in the Fridge,2005,,43,"Crime,Drama,Mystery",7.9,1574
tt0460627,tt0529896,1,9,S1,The Man in the Fallout Shelter,The Man in the Fallout Shelter,2005,,43,"Crime,Drama,Mystery",8.7,2059
tt0460627,tt0529901,1,10,S1,The Woman at the Airport,The Woman at the Airport,2006,,42,"Crime,Drama,Mystery",7.5,1473
tt0460627,tt0758574,1,11,S1,The Woman in the Car,The Woman in the Car,2006,,43,"Crime,Drama,Mystery",7.7,1448
tt0460627,tt0529900,1,12,S1,The Superhero in the Alley,The Superhero in the Alley,2006,,41,"Crime,Drama,Mystery",7.7,1625
tt0460627,tt0529902,1,13,S1,The Woman in the Garden,The Woman in the Garden,2006,,42,"Crime,Drama,Mystery",7.5,1383
tt0460627,tt0760338,1,14,S1,The Man on the Fairway,The Man on the Fairway,2006,,42,"Crime,Drama,Mystery",7.5,1352
tt0460627,tt0768979,1,15,S1,Two Bodies in the Lab,Two Bodies in the Lab,2006,,43,"Crime,Drama,Mystery",8.4,1750
tt0460627,tt0529903,1,16,S1,The Woman in the Tunnel,The Woman in the Tunnel,2006,,43,"Crime,Drama,Mystery",7.6,1364
tt0460627,tt0775946,1,17,S1,The Skull in the Desert,The Skull in the Desert,2006,,43,"Crime,Drama,Mystery",7.6,1445
tt0460627,tt0776221,1,18,S1,The Man with the Bone,The Man with the Bone,2006,,42,"Crime,Drama,Mystery",7.5,1371
tt0460627,tt0793707,1,19,S1,The Man in the Morgue,The Man in the Morgue,2006,,42,"Crime,Drama,Mystery",8.0,1547
tt0460627,tt0793706,1,20,S1,The Graft in the Girl,The Graft in the Girl,2006,,42,"Crime,Drama,Mystery",8.2,1504
tt0460627,tt0795800,1,21,S1,The Soldier on the Grave,The Soldier on the Grave,2006,,43,"Crime,Drama,Mystery",7.6,1413
tt0460627,tt0793708,1,22,S1,The Woman in Limbo,The Woman in Limbo,2006,,42,"Crime,Drama,Mystery",8.7,1678
tt0460627,tt0849846,2,1,S2,The Titan on the Track,The Titan on the Track,2006,,42,"Crime,Drama,Mystery",7.5,1350
tt0460627,tt0849845,2,2,S2,Mother and Child in the Bay,Mother and Child in the Bay,2006,,42,"Crime,Drama,Mystery",7.7,1314
tt0460627,tt0838473,2,3,S2,The Boy in the Shroud,The Boy in the Shroud,2006,,42,"Crime,Drama,Mystery",7.7,1355
tt0460627,tt0838474,2,4,S2,The Blonde in the Game,The Blonde in the Game,2006,,42,"Crime,Drama,Mystery",8.1,1375
tt0460627,tt0847233,2,5,S2,The Truth in the Lye,The Truth in the Lye,2006,,42,"Crime,Drama,Mystery",7.6,1284
tt0460627,tt0849844,2,6,S2,The Girl in Suite 2103,The Girl in Suite 2103,2006,,42,"Crime,Drama,Mystery",7.5,1235
tt0460627,tt0861893,2,7,S2,The Girl with the Curl,The Girl with the Curl,2006,,42,"Crime,Drama,Mystery",7.7,1351
tt0460627,tt0869544,2,8,S2,The Woman in the Sand,The Woman in the Sand,2006,,42,"Crime,Drama,Mystery",7.9,1396
tt0460627,tt0879450,2,9,S2,Aliens in a Spaceship,Aliens in a Spaceship,2006,,42,"Crime,Drama,Mystery",9.3,2631
tt0460627,tt0901048,2,10,S2,The Headless Witch in the Woods,The Headless Witch in the Woods,2006,,42,"Crime,Drama,Mystery",7.7,1345
tt0460627,tt0915947,2,11,S2,Judas on a Pole,Judas on a Pole,2006,,42,"Crime,Drama,Mystery",8.6,1595
tt0460627,tt0913487,2,12,S2,The Man in the Cell,The Man in the Cell,2007,,42,"Crime,Drama,Mystery",8.6,1487
tt0460627,tt0924531,2,13,S2,The Girl in the Gator,The Girl in the Gator,2007,,42,"Crime,Drama,Mystery",7.7,1302
tt0460627,tt0934031,2,14,S2,The Man in the Mansion,The Man in the Mansion,2007,,42,"Crime,Drama,Mystery",7.7,1272
tt0460627,tt0934029,2,15,S2,The Bodies in the Book,The Bodies in the Book,2007,,42,"Crime,Drama,Mystery",8.0,1266
tt0460627,tt0934030,2,16,S2,The Boneless Bride in the River,The Boneless Bride in the River,2007,,42,"Crime,Drama,Mystery",7.3,1218
tt0460627,tt0988238,2,17,S2,The Priest in the Churchyard,The Priest in the Churchyard,2007,,42,"Crime,Drama,Mystery",7.7,1245
tt0460627,tt0961763,2,18,S2,The Killer in the Concrete,The Killer in the Concrete,2007,,42,"Crime,Drama,Mystery",7.9,1265
tt0460627,tt0970986,2,19,S2,Spaceman in a Crater,Spaceman in a Crater,2007,,41,"Crime,Drama,Mystery",7.6,1182
tt0460627,tt0988236,2,20,S2,The Glowing Bones in 'The Old Stone House',The Glowing Bones in 'The Old Stone House',2007,,42,"Crime,Drama,Mystery",7.7,1225
tt0460627,tt0988237,2,21,S2,Stargazer in a Puddle,Stargazer in a Puddle,2007,,42,"Crime,Drama,Mystery",8.1,1348
tt0460627,tt1111136,3,1,S3,The Widow's Son in the Windshield,The Widow's Son in the Windshield,2007,,42,"Crime,Drama,Mystery",7.9,1311
tt0460627,tt1112968,3,2,S3,Soccer Mom in the Mini-Van,Soccer Mom in the Mini-Van,2007,,42,"Crime,Drama,Mystery",7.5,1235
tt0460627,tt1119864,3,3,S3,Death in the Saddle,Death in the Saddle,2007,,42,"Crime,Drama,Mystery",7.2,1218
tt0460627,tt1119865,3,4,S3,The Secret in the Soil,The Secret in the Soil,2007,,42,"Crime,Drama,Mystery",7.5,1184
tt0460627,tt1117421,3,5,S3,Mummy in the Maze,Mummy in the Maze,2007,,42,"Crime,Drama,Mystery",8.2,1419
tt0460627,tt1121255,3,6,S3,Intern in the Incinerator,Intern in the Incinerator,2007,,42,"Crime,Drama,Mystery",7.7,1165
tt0460627,tt1116231,3,7,S3,Boy in the Time Capsule,Boy in the Time Capsule,2007,,42,"Crime,Drama,Mystery",7.7,1185
tt0460627,tt1129501,3,8,S3,The Knight on the Grid,The Knight on the Grid,2007,,42,"Crime,Drama,Mystery",8.2,1256
tt0460627,tt1143231,3,9,S3,The Santa in the Slush,The Santa in the Slush,2007,,42,"Crime,Drama,Mystery",8.4,1513
tt0460627,tt1145324,3,10,S3,The Man in the Mud,The Man in the Mud,2008,,42,"Crime,Drama,Mystery",7.5,1147
tt0460627,tt0960237,3,11,S3,Player Under Pressure,Player Under Pressure,2008,,42,"Crime,Drama,Mystery",7.5,1181
tt0460627,tt1136080,3,12,S3,The Baby in the Bough,The Baby in the Bough,2008,,42,"Crime,Drama,Mystery",8.0,1304
tt0460627,tt1219423,3,13,S3,The Verdict in the Story,The Verdict in the Story,2008,,42,"Crime,Drama,Mystery",8.5,1424
