imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt3781836,tt3829210,1,1,S1,Human Dolls,Human Dolls,2014,,42,Reality-TV,7.3,46
tt3781836,tt3838556,1,2,S1,Janice Dickinson Knows Breast,Janice Dickinson Knows Breast,2014,,42,Reality-TV,7.5,37
tt3781836,tt3854316,1,3,S1,Vagina Bomb!,Vagina Bomb!,2014,,42,Reality-TV,7.1,35
tt3781836,tt3854452,1,4,S1,Making of a Belieber,Making of a Belieber,2014,,40,Reality-TV,6.3,25
tt3781836,tt3887090,1,5,S1,Like a Surgeon,Like a Surgeon,2014,,41,Reality-TV,7.1,29
tt3781836,tt3896094,1,6,S1,Boob Freak!,Boob Freak!,2014,,41,Reality-TV,7.2,30
tt3781836,tt3953410,1,7,S1,Girls Gone Wildd,Girls Gone Wildd,2014,,41,Reality-TV,7.3,32
tt3781836,tt3967170,1,8,S1,Silicone Valley,Silicone Valley,2014,,42,Reality-TV,7.4,30
tt3781836,tt4170120,1,9,S1,Reunion: Show & Tell - Part 1,Reunion: Show & Tell - Part 1,2014,,43,Reality-TV,6.9,25
tt3781836,tt4170144,1,10,S1,Reunion: Show & Tell - Part 2,Reunion: Show & Tell - Part 2,2014,,40,Reality-TV,6.5,26
tt3781836,tt4619140,2,1,S2,I Love New York,I Love New York,2015,,43,Reality-TV,6.8,26
tt3781836,tt4619142,2,2,S2,Boob-Watch,Boob-Watch,2015,,44,Reality-TV,7.0,22
tt3781836,tt4619144,2,3,S2,The Bacon Bra,The Bacon Bra,2015,,43,Reality-TV,6.7,24
tt3781836,tt4354680,2,4,S2,Four Leeches and a Funeral,Four Leeches and a Funeral,2015,,44,Reality-TV,7.3,21
tt3781836,tt5013298,2,5,S2,Mo' Steroids Mo' Problems,Mo' Steroids Mo' Problems,2015,,43,Reality-TV,7.6,19
tt3781836,tt5013282,2,6,S2,Dolly'D Up,Dolly'D Up,2015,,43,Reality-TV,7.2,19
tt3781836,tt5013286,2,7,S2,House of Horrors,House of Horrors,2015,,43,Reality-TV,7.0,17
tt3781836,tt4777698,2,8,S2,Knuckles and Knockers,Knuckles and Knockers,2015,,43,Reality-TV,7.3,18
tt3781836,tt5013290,2,9,S2,The Pec Whisperer,The Pec Whisperer,2015,,44,Reality-TV,7.6,18
tt3781836,tt5013288,2,10,S2,"Attack of the 3,000cc Implants","Attack of the 3,000cc Implants",2015,,43,Reality-TV,7.8,22
tt3781836,tt4834154,2,11,S2,Say Yes to the Breasts,Say Yes to the Breasts,2015,,43,Reality-TV,7.8,19
tt3781836,tt5013292,2,12,S2,The Serial Filler,The Serial Filler,2015,,43,Reality-TV,7.0,19
tt3781836,tt5119980,2,13,S2,Double Trouble,Double Trouble,2015,,44,Reality-TV,7.6,15
tt3781836,tt5119986,2,14,S2,Dr. Nassif Saved My Life,Dr. Nassif Saved My Life,2015,,44,Reality-TV,7.7,17
tt3781836,tt5175416,2,15,S2,Boner-Free Zone,Boner-Free Zone,2015,,43,Reality-TV,7.8,16
tt3781836,tt5231450,2,16,S2,Breast Greedy,Breast Greedy,2015,,43,Reality-TV,7.1,19
tt3781836,tt5231452,2,17,S2,The Wizard of Schnoz,The Wizard of Schnoz,2015,,43,Reality-TV,7.4,18
tt3781836,tt5231456,2,18,S2,Where the Wildd Things Are,Where the Wildd Things Are,2015,,43,Reality-TV,7.5,17
tt3781836,tt5231458,2,19,S2,The Living Doll,The Living Doll,2015,,43,Reality-TV,7.3,17
tt3781836,tt5231460,2,20,S2,Stitched Up Sisters,Stitched Up Sisters,2015,,43,Reality-TV,7.7,17
tt3781836,tt6337870,3,0,S3,Most Outrageous Patients,Most Outrageous Patients,2016,,,Reality-TV,5.9,11
tt3781836,tt5794132,3,1,S3,Foreign Bodies,Foreign Bodies,2016,,43,Reality-TV,7.4,19
tt3781836,tt6337896,3,2,S3,Man Boobs,Man Boobs,2016,,43,Reality-TV,7.2,19
tt3781836,tt5800352,3,3,S3,Pinched Perfect,Pinched Perfect,2016,,43,Reality-TV,7.4,16
tt3781836,tt6453690,3,4,S3,Double D-isaster,Double D-isaster,2016,,43,Reality-TV,7.3,21
tt3781836,tt6453696,3,5,S3,Supa Fupa,Supa Fupa,2016,,43,Reality-TV,7.3,20
tt3781836,tt6338166,3,6,S3,Plastic Fantastic,Plastic Fantastic,2016,,43,Reality-TV,7.2,22
tt3781836,tt6338020,3,7,S3,Seeing Double,Seeing Double,2016,,43,Reality-TV,7.7,21
tt3781836,tt6337966,3,8,S3,Totally Waist-ed,Totally Waist-ed,2016,,43,Reality-TV,7.6,19
tt3781836,tt6337722,3,9,S3,Short Changed at the Nipple Bank,Short Changed at the Nipple Bank,2016,,43,Reality-TV,7.5,17
tt3781836,tt6337708,3,10,S3,Went to Mexico and Got Terrible Rhinorrhea,Went to Mexico and Got Terrible Rhinorrhea,2016,,43,Reality-TV,7.3,18
tt3781836,tt6337728,3,11,S3,Blowfish Lips and Crab Claw Bits,Blowfish Lips and Crab Claw Bits,2016,,43,Reality-TV,7.1,19
tt3781836,tt6337732,3,12,S3,J-Cup Juggernaut,J-Cup Juggernaut,2016,,43,Reality-TV,7.4,20
tt3781836,tt6337736,3,13,S3,Here Comes Tummy Boo Hoo,Here Comes Tummy Boo Hoo,2016,,43,Reality-TV,6.8,20
tt3781836,tt7350160,3,16,S3,Most Outrageous Celebrity Patients,Most Outrageous Celebrity Patients,2016,,,Reality-TV,7.6,12
tt3781836,tt7350198,3,17,S3,Most Outrageous Before & Afters,Most Outrageous Before & Afters,2016,,18,Reality-TV,7.6,9
tt3781836,tt6337764,3,21,S3,Most Outrageous Rejects,Most Outrageous Rejects,2016,,,Reality-TV,6.5,9
tt3781836,tt6718762,4,1,S4,The Boob Fountain of Youth,The Boob Fountain of Youth,2017,,43,Reality-TV,7.5,19
tt3781836,tt7089806,4,2,S4,Comic Proportions,Comic Proportions,2017,,43,Reality-TV,7.5,17
tt3781836,tt7089808,4,3,S4,All Twerk and No Pay,All Twerk and No Pay,2017,,43,Reality-TV,7.8,21
tt3781836,tt7089814,4,4,S4,To Implant or Not to Implant,To Implant or Not to Implant,2017,,43,Reality-TV,7.5,19
tt3781836,tt7172890,4,5,S4,Twin Terrors,Twin Terrors,2017,,43,Reality-TV,7.7,17
tt3781836,tt7172894,4,6,S4,4000cc's and Counting,4000cc's and Counting,2017,,43,Reality-TV,7.5,17
tt3781836,tt7172932,4,7,S4,Lady Lumps,Lady Lumps,2017,,43,Reality-TV,7.4,16
tt3781836,tt7314566,4,8,S4,Sticky Nipples and Paparazzi Nightmares,Sticky Nipples and Paparazzi Nightmares,2017,,43,Reality-TV,7.6,17
