imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt1444382,tt1491120,1,1,S1,"A Bride, a Boat & Bamboozled","A Bride, a Boat & Bamboozled",2009,,22,"Family,Reality-TV",8.2,32
tt1444382,tt1491119,1,2,S1,"A Fire, a Fashionista & Family","A Fire, a Fashionista & Family",2009,,22,"Family,Reality-TV",7.7,19
tt1444382,tt1491122,1,3,S1,"Bunny, Birthday & Burnt Food","Bunny, Birthday & Burnt Food",2009,,22,"Family,Reality-TV",7.2,19
tt1444382,tt1491130,1,4,S1,"Weddings, Water & Whacked!","Weddings, Water & Whacked!",2009,,22,"Family,Reality-TV",7.3,19
tt1444382,tt1491121,1,5,S1,"Biplane, Bridezella & Busting Buddy","Biplane, Bridezella & Busting Buddy",2009,,22,"Family,Reality-TV",7.9,25
tt1444382,tt1491129,1,6,S1,"Undead, Unclothed & Unhappy Mama","Undead, Unclothed & Unhappy Mama",2009,,22,"Family,Reality-TV",7.2,21
tt1444382,tt1491124,1,7,S1,"Doves, Ducks & Delicacies","Doves, Ducks & Delicacies",2009,,22,"Family,Reality-TV",6.9,17
tt1444382,tt1491127,1,8,S1,"Museum, Mistakes & Mother Mary","Museum, Mistakes & Mother Mary",2009,,22,"Family,Reality-TV",6.8,20
tt1444382,tt1491128,1,9,S1,"Soldier, Sand & Salads","Soldier, Sand & Salads",2009,,22,"Family,Reality-TV",8.2,16
tt1444382,tt1491123,1,10,S1,"Chinese, Culture & Cannolis","Chinese, Culture & Cannolis",2009,,22,"Family,Reality-TV",7.3,15
tt1444382,tt1491118,1,11,S1,"A Blindfold, a Bikini & Breathing Fire","A Blindfold, a Bikini & Breathing Fire",2009,,22,"Family,Reality-TV",7.1,15
tt1444382,tt1491126,1,12,S1,"Leaning, Lobsters & Lectures","Leaning, Lobsters & Lectures",2009,,22,"Family,Reality-TV",7.2,16
tt1444382,tt1491125,1,13,S1,"Fireworks, Falling Fondant & Fathers","Fireworks, Falling Fondant & Fathers",2009,,22,"Family,Reality-TV",6.6,15
tt1444382,tt1574500,2,1,S2,"Plants, Pranks & A Proposal","Plants, Pranks & A Proposal",2009,,22,"Family,Reality-TV",7.8,14
tt1444382,tt1574491,2,2,S2,"Candy, Crash & Crisis","Candy, Crash & Crisis",2009,,22,"Family,Reality-TV",7.0,12
tt1444382,tt1574498,2,3,S2,"Painters, Pool & Pink","Painters, Pool & Pink",2009,,22,"Family,Reality-TV",7.3,10
tt1444382,tt1572516,2,4,S2,"Robots, Rollerskates and Relatives","Robots, Rollerskates and Relatives",2009,,22,"Family,Reality-TV",6.6,9
tt1444382,tt1574489,2,5,S2,"A Battleship, Ballet & Burning!","A Battleship, Ballet & Burning!",2009,,22,"Family,Reality-TV",7.7,8
tt1444382,tt1574492,2,6,S2,"Children, a Cage and a Challenge","Children, a Cage and a Challenge",2009,,22,"Family,Reality-TV",6.3,9
tt1444382,tt1574499,2,7,S2,"Pizza, Poochies & Pop-in-Law","Pizza, Poochies & Pop-in-Law",2009,,21,"Family,Reality-TV",6.7,8
tt1444382,tt1574496,2,8,S2,Golf Greens & Gravity,Golf Greens & Gravity,2009,,22,"Family,Reality-TV",6.4,9
tt1444382,tt1574495,2,9,S2,"Freaks, Fast Food & Frightened Frankie","Freaks, Fast Food & Frightened Frankie",2009,,22,"Family,Reality-TV",6.1,9
tt1444382,tt1574493,2,10,S2,Colorful Characters & Christmas Costumes,Colorful Characters & Christmas Costumes,2009,,22,"Family,Reality-TV",7.6,9
tt1444382,tt1574497,2,11,S2,"Motorcycles, Manhattanites & Misbehaving","Motorcycles, Manhattanites & Misbehaving",2009,,22,"Family,Reality-TV",5.4,7
tt1444382,tt1574490,2,12,S2,Blushing Brides & Busy Bakers,Blushing Brides & Busy Bakers,2009,,22,"Family,Reality-TV",7.3,8
tt1444382,tt1609228,2,13,S2,"Apples, Arguments and Animal Prints","Apples, Arguments and Animal Prints",2010,,22,"Family,Reality-TV",6.7,9
tt1444382,tt1609233,2,14,S2,"Sizing, Sleeping Stretch and Sesame Street","Sizing, Sleeping Stretch and Sesame Street",2010,,22,"Family,Reality-TV",7.2,7
tt1444382,tt1609232,2,15,S2,"Chimps, Cinema and Crumb Cake","Chimps, Cinema and Crumb Cake",2010,,22,"Family,Reality-TV",7.9,10
tt1444382,tt1609230,2,16,S2,"Cars, Collapse & Couture","Cars, Collapse & Couture",2010,,44,"Family,Reality-TV",7.3,9
tt1444382,tt1609229,2,17,S2,Aquarium Adventures & an Announcement,Aquarium Adventures & an Announcement,2010,,22,"Family,Reality-TV",6.8,7
tt1444382,tt1609231,2,18,S2,"Castles, Cannolis & Cartoon Characters","Castles, Cannolis & Cartoon Characters",2010,,22,"Family,Reality-TV",7.0,7
tt1444382,tt1660431,2,19,S2,Best of Cake Boss,Best of Cake Boss,2010,,21,"Family,Reality-TV",7.0,7
tt1444382,tt1664113,3,1,S3,"Governor, Giant Lisa & Good-bye Mama","Governor, Giant Lisa & Good-bye Mama",2010,,44,"Family,Reality-TV",6.8,7
tt1444382,tt1664116,3,2,S3,Peppermint & a Polar Bear Plunge,Peppermint & a Polar Bear Plunge,2010,,22,"Family,Reality-TV",7.0,7
tt1444382,tt1664117,3,3,S3,"Roses, Romance & a Romeo","Roses, Romance & a Romeo",2010,,22,"Family,Reality-TV",7.6,7
tt1444382,tt1664118,3,4,S3,Tournament of Knights & a Tasty Tiramisu,Tournament of Knights & a Tasty Tiramisu,2010,,22,"Family,Reality-TV",6.8,7
tt1444382,tt1664114,3,5,S3,"Hieroglyphics, Hearse & Happy Parents","Hieroglyphics, Hearse & Happy Parents",2010,,22,"Family,Reality-TV",6.6,7
tt1444382,tt1664112,3,6,S3,Chopped Head & a Crazy Cravings Cake,Chopped Head & a Crazy Cravings Cake,2010,,21,"Family,Reality-TV",,
tt1444382,tt1664115,3,7,S3,"Magazines, a Mega Screen & Maurizio","Magazines, a Mega Screen & Maurizio",2010,,22,"Family,Reality-TV",6.6,7
tt1444382,tt1684388,3,8,S3,"A Princess, a Pirate and a Perplexing Arch","A Princess, a Pirate and a Perplexing Arch",2010,,22,"Family,Reality-TV",6.8,7
tt1444382,tt1684239,3,9,S3,"6-foot Sub Sandwich, Zeppoles and a Sick Mauro","6-foot Sub Sandwich, Zeppoles and a Sick Mauro",2010,,22,"Family,Reality-TV",,
tt1444382,tt1684240,3,10,S3,"Color, Camouflage and Cupcake Day","Color, Camouflage and Cupcake Day",2010,,22,"Family,Reality-TV",6.6,7
tt1444382,tt1684241,3,11,S3,Key to the City and a Key-tar Cake,Key to the City and a Key-tar Cake,2010,,22,"Family,Reality-TV",6.4,7
tt1444382,tt1684243,3,12,S3,Barbers & Bulls,Barbers & Bulls,2010,,22,"Family,Reality-TV",6.8,7
tt1444382,tt1717260,3,13,S3,"Mother's Day, Mama and Mom-to-Be","Mother's Day, Mama and Mom-to-Be",2010,,21,"Family,Reality-TV",,
tt1444382,tt1684386,3,14,S3,"Helmet Cake, Healthy Mauro, & Huge Train Cake","Helmet Cake, Healthy Mauro, & Huge Train Cake",2010,,22,"Family,Reality-TV",,
tt1444382,tt1684242,3,15,S3,"Strawberries, Sinatra, and Sick Ovens","Strawberries, Sinatra, and Sick Ovens",2010,,22,"Family,Reality-TV",7.2,8
tt1444382,tt1726314,3,16,S3,"Famiglia, Fishing, & Family History","Famiglia, Fishing, & Family History",2010,,21,"Family,Reality-TV",7.6,9
tt1444382,tt1684244,3,17,S3,"Frescos, Fountains & Family Wishes","Frescos, Fountains & Family Wishes",2010,,22,"Family,Reality-TV",6.8,8
tt1444382,tt1684704,3,18,S3,"Cassata, Cheesecakes & Crates of Wine","Cassata, Cheesecakes & Crates of Wine",2010,,22,"Family,Reality-TV",6.8,7
tt1444382,tt1684387,3,19,S3,"Sandals, Sandwiches, & Shelves","Sandals, Sandwiches, & Shelves",2010,,22,"Family,Reality-TV",,
tt1444382,tt1748869,3,20,S3,"Pipes, a Phoenix, & a Problematic Kitchen","Pipes, a Phoenix, & a Problematic Kitchen",2010,,22,"Family,Reality-TV",6.7,8
tt1444382,tt1757022,3,21,S3,"Snooki, Super Anthony & a Ship","Snooki, Super Anthony & a Ship",2010,,22,"Family,Reality-TV",6.6,7
tt1444382,tt1763406,3,22,S3,"Sweet Sixteen, Stars & a Saber Sword","Sweet Sixteen, Stars & a Saber Sword",2010,,22,"Family,Reality-TV",6.6,7
