imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt6459472,tt6360172,1,1,S1,Little Girl Lost,Little Girl Lost,2017,,42,"Crime,Documentary",7.6,198
tt6459472,tt6553124,1,2,S1,Killings on Christmas Eve,Killings on Christmas Eve,2017,,42,"Crime,Documentary",7.5,150
tt6459472,tt6553142,1,3,S1,She Never Came Home,She Never Came Home,2017,,42,"Crime,Documentary",7.7,151
tt6459472,tt1097050,1,4,S1,"Sweethearts, Silenced","Sweethearts, Silenced",2017,,43,"Crime,Documentary",7.8,140
tt6459472,tt1919563,1,5,S1,The Night Shift,The Night Shift,2017,,43,"Crime,Documentary",7.3,123
tt6459472,tt3662106,1,6,S1,Officer Down,Officer Down,2017,,42,"Crime,Documentary",7.2,120
tt6459472,tt7003466,1,7,S1,Circle of Friends,Circle of Friends,2017,,42,"Crime,Documentary",7.5,115
tt6459472,tt7027140,1,8,S1,A Family Secret,A Family Secret,2017,,42,"Crime,Documentary",8.0,120
tt6459472,tt6649634,1,9,S1,A Family Cursed,A Family Cursed,2017,,42,"Crime,Documentary",7.0,114
tt6459472,tt6953872,1,10,S1,A Killer Slips Away,A Killer Slips Away,2017,,42,"Crime,Documentary",7.3,104
tt6459472,tt15380166,2,1,S2,The Voice in the Lake,The Voice in the Lake,2021,,43,"Crime,Documentary",7.3,77
tt6459472,tt15385162,2,2,S2,Devil at the Door,Devil at the Door,2021,,43,"Crime,Documentary",6.9,63
tt6459472,tt15385852,2,3,S2,Missing in Altoona,Missing in Altoona,2021,,,"Crime,Documentary",6.9,67
tt6459472,tt15385912,2,4,S2,The School Teacher,The School Teacher,2021,,,"Crime,Documentary",7.1,58
tt6459472,tt15494204,2,5,S2,The Heartland Killer,The Heartland Killer,2021,,,"Crime,Documentary",7.1,50
tt6459472,tt15494240,2,6,S2,The Devil in Disguise,The Devil in Disguise,2021,,,"Crime,Documentary",7.2,57
tt6459472,tt16985704,2,7,S2,Love and Hate,Love and Hate,2022,,,"Crime,Documentary",7.2,55
tt6459472,tt16985712,2,8,S2,Ice Cold in Denver,Ice Cold in Denver,2022,,,"Crime,Documentary",7.2,54
tt6459472,tt17066236,2,9,S2,Murder by Moonlight,Murder by Moonlight,2022,,,"Crime,Documentary",6.9,53
tt6459472,tt17066240,2,10,S2,Suspicious Minds,Suspicious Minds,2022,,,"Crime,Documentary",7.0,53
tt6459472,tt17319628,2,11,S2,A Lesson in Homicide,A Lesson in Homicide,2022,,,"Crime,Documentary",7.2,46
tt6459472,tt17320268,2,12,S2,Woman in the Woods,Woman in the Woods,2022,,,"Crime,Documentary",7.0,49
tt6459472,tt17320312,2,13,S2,Eyes of a Killer,Eyes of a Killer,2022,,,"Crime,Documentary",6.7,50
tt6459472,tt18230738,2,14,S2,Dark Angel,Dark Angel,2022,,,"Crime,Documentary",6.9,47
tt6459472,tt18413114,2,15,S2,Friday Night Ghosts,Friday Night Ghosts,2022,,,"Crime,Documentary",6.7,42
