imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt2338096,tt2366018,1,1,S1,McQueen for a Day,McQueen for a Day,2012,,22,"Documentary,Reality-TV",7.2,26
tt2338096,tt2354888,1,2,S1,Buggin' Out,Buggin' Out,2012,,22,"Documentary,Reality-TV",7.2,30
tt2338096,tt2354892,1,3,S1,G-T-Whoa!,G-T-Whoa!,2012,,22,"Documentary,Reality-TV",7.9,34
tt2338096,tt2354894,1,4,S1,Buyer's Remorse,Buyer's Remorse,2012,,22,"Documentary,Reality-TV",7.4,26
tt2338096,tt2354898,1,5,S1,Back in the Wind,Back in the Wind,2012,,21,"Documentary,Reality-TV",7.4,28
tt2338096,tt2354900,1,6,S1,Deep Trouble,Deep Trouble,2012,,21,"Documentary,Reality-TV",6.6,27
tt2338096,tt2354902,1,7,S1,Satanic Mechanic,Satanic Mechanic,2012,,22,"Documentary,Reality-TV",8.0,39
tt2338096,tt2354906,1,8,S1,Boiling Point,Boiling Point,2012,,22,"Documentary,Reality-TV",7.3,27
tt2338096,tt2354910,1,9,S1,Politically Correct,Politically Correct,2012,,21,"Documentary,Reality-TV",7.3,27
tt2338096,tt2381332,1,10,S1,Maxed Out,Maxed Out,2012,,22,"Documentary,Reality-TV",7.3,25
tt2338096,tt2381340,1,11,S1,Ultimate Challange,Ultimate Challange,2012,,22,"Documentary,Reality-TV",7.4,27
tt2338096,tt2381346,1,12,S1,Framed,Framed,2012,,21,"Documentary,Reality-TV",7.0,27
tt2338096,tt2381344,1,13,S1,Searching for Soul,Searching for Soul,2012,,22,"Documentary,Reality-TV",7.3,25
tt2338096,tt2900114,2,1,S2,You Talkin' to Me?,You Talkin' to Me?,2013,,22,"Documentary,Reality-TV",8.1,25
tt2338096,tt2900116,2,2,S2,Size Matters,Size Matters,2013,,22,"Documentary,Reality-TV",8.1,24
tt2338096,tt2880212,2,3,S2,Soap Box,Soap Box,2013,,22,"Documentary,Reality-TV",7.8,23
tt2338096,tt2900130,2,4,S2,Really Sweet 16,Really Sweet 16,2013,,22,"Documentary,Reality-TV",7.8,26
tt2338096,tt2871166,2,5,S2,Rockabilly Roadster,Rockabilly Roadster,2013,,22,"Documentary,Reality-TV",7.7,23
tt2338096,tt2900144,2,6,S2,Dream On,Dream On,2013,,21,"Documentary,Reality-TV",7.9,24
tt2338096,tt2892374,2,7,S2,To Die For,To Die For,2013,,22,"Documentary,Reality-TV",7.7,22
tt2338096,tt2900158,2,8,S2,Old School,Old School,2013,,22,"Documentary,Reality-TV",8.0,19
tt2338096,tt2914360,2,9,S2,Count's Cryptonite,Count's Cryptonite,2013,,22,"Documentary,Reality-TV",8.2,23
tt2338096,tt2914506,2,10,S2,Muscle Memory,Muscle Memory,2013,,22,"Documentary,Reality-TV",7.9,21
tt2338096,tt2960226,2,11,S2,Not So Pretty in Pink,Not So Pretty in Pink,2013,,22,"Documentary,Reality-TV",8.0,26
tt2338096,tt2960228,2,12,S2,Chumlee's Challenge,Chumlee's Challenge,2013,,21,"Documentary,Reality-TV",7.5,25
tt2338096,tt2960138,2,13,S2,Psychedelic Cycle,Psychedelic Cycle,2013,,21,"Documentary,Reality-TV",6.9,18
tt2338096,tt2960166,2,14,S2,Day of Judgment,Day of Judgment,2013,,21,"Documentary,Reality-TV",7.6,20
tt2338096,tt2993596,2,15,S2,Change of Heart,Change of Heart,2013,,22,"Documentary,Reality-TV",7.6,20
tt2338096,tt2979550,2,16,S2,Super Nova,Super Nova,2013,,22,"Documentary,Reality-TV",7.8,20
tt2338096,tt2993602,2,17,S2,The Marleymobile,The Marleymobile,2013,,21,"Documentary,Reality-TV",7.6,22
tt2338096,tt2993600,2,18,S2,"One Love, One Car","One Love, One Car",2013,,22,"Documentary,Reality-TV",7.7,20
tt2338096,tt3043154,2,19,S2,Floodpocalypse Now,Floodpocalypse Now,2013,,22,"Documentary,Reality-TV",7.8,21
tt2338096,tt3043156,2,20,S2,The Horn Ultimatum,The Horn Ultimatum,2013,,22,"Documentary,Reality-TV",7.1,19
tt2338096,tt3064514,2,21,S2,Zombie Truck,Zombie Truck,2013,,22,"Documentary,Reality-TV",6.9,23
tt2338096,tt3064530,2,22,S2,Haunted Hog,Haunted Hog,2013,,22,"Documentary,Reality-TV",7.9,17
