imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0446809,tt0786090,1,1,S1,Greenhorns,Greenhorns,2005,,44,"Adventure,Documentary,Reality-TV",7.7,101
tt0446809,tt0786094,1,2,S1,Long Sleepless Nights,Long Sleepless Nights,2005,,44,"Adventure,Documentary,Reality-TV",7.5,77
tt0446809,tt0786093,1,3,S1,Lady Luck,Lady Luck,2005,,44,"Adventure,Documentary,Reality-TV",7.6,70
tt0446809,tt0786086,1,4,S1,Beat the Clock,Beat the Clock,2005,,44,"Adventure,Documentary,Reality-TV",7.9,71
tt0446809,tt0786087,1,5,S1,Dead of Winter,Dead of Winter,2005,,44,"Adventure,Documentary,Reality-TV",7.9,67
tt0446809,tt0786095,1,6,S1,Man Overboard,Man Overboard,2005,,44,"Adventure,Documentary,Reality-TV",7.9,66
tt0446809,tt0786092,1,7,S1,High Hopes,High Hopes,2005,,44,"Adventure,Documentary,Reality-TV",7.9,65
tt0446809,tt0786089,1,8,S1,Good Fishing,Good Fishing,2005,,44,"Adventure,Documentary,Reality-TV",7.8,65
tt0446809,tt0786097,1,9,S1,The Clock's Ticking,The Clock's Ticking,2005,,44,"Adventure,Documentary,Reality-TV",8.0,64
tt0446809,tt0786098,1,10,S1,The Final Run,The Final Run,2005,,44,"Adventure,Documentary,Reality-TV",7.9,60
tt0446809,tt0786091,2,1,S2,Heading Out to Sea,Heading Out to Sea,2006,,44,"Adventure,Documentary,Reality-TV",7.8,58
tt0446809,tt0786085,2,2,S2,Batten Down the Hatches,Batten Down the Hatches,2006,,44,"Adventure,Documentary,Reality-TV",7.7,54
tt0446809,tt0786096,2,3,S2,On the Crab,On the Crab,2006,,44,"Adventure,Documentary,Reality-TV",7.7,52
tt0446809,tt0786099,2,4,S2,The Finish Line,The Finish Line,2006,,44,"Adventure,Documentary,Reality-TV",7.7,51
tt0446809,tt0786088,2,5,S2,Friends and Rivals,Friends and Rivals,2006,,44,"Adventure,Documentary,Reality-TV",7.9,55
tt0446809,tt0792527,2,6,S2,A New Hunt Begins,A New Hunt Begins,2006,,44,"Adventure,Documentary,Reality-TV",7.7,53
tt0446809,tt0793732,2,7,S2,Smoke on the Water,Smoke on the Water,2006,,44,"Adventure,Documentary,Reality-TV",8.0,54
tt0446809,tt0793731,2,8,S2,Man vs. Ice,Man vs. Ice,2006,,44,"Adventure,Documentary,Reality-TV",8.0,56
tt0446809,tt0817338,2,9,S2,On the Edge,On the Edge,2006,,44,"Adventure,Documentary,Reality-TV",8.1,53
tt0446809,tt0792528,2,10,S2,Pribilof Stare,Pribilof Stare,2006,,44,"Adventure,Documentary,Reality-TV",8.0,53
tt0446809,tt0817339,2,11,S2,Race Against the Ice,Race Against the Ice,2006,,44,"Adventure,Documentary,Reality-TV",8.0,52
tt0446809,tt0805822,2,12,S2,Cashing In,Cashing In,2006,,44,"Adventure,Documentary,Reality-TV",8.0,50
tt0446809,tt0998223,3,1,S3,A Tragic Beginning,A Tragic Beginning,2007,,44,"Adventure,Documentary,Reality-TV",7.9,64
tt0446809,tt1004136,3,2,S3,The Unforgiving Sea,The Unforgiving Sea,2007,,44,"Adventure,Documentary,Reality-TV",8.0,57
tt0446809,tt1014236,3,3,S3,Pain and Paybacks,Pain and Paybacks,2007,,43,"Adventure,Documentary,Reality-TV",7.7,50
tt0446809,tt1019007,3,4,S3,Cheating Death,Cheating Death,2007,,43,"Adventure,Documentary,Reality-TV",8.0,52
