imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0410975,tt0558720,1,1,S1,Pilot,Pilot,2004,,43,"Comedy,Drama,Mystery",8.5,1762
tt0410975,tt0558699,1,2,S1,"Ah, But Underneath","Ah, But Underneath",2004,,43,"Comedy,Drama,Mystery",7.9,1210
tt0410975,tt0558721,1,3,S1,Pretty Little Picture,Pretty Little Picture,2004,,43,"Comedy,Drama,Mystery",7.9,1150
tt0410975,tt0558734,1,4,S1,Who's That Woman?,Who's That Woman?,2004,,43,"Comedy,Drama,Mystery",7.9,1077
tt0410975,tt0558705,1,5,S1,"Come in, Stranger","Come in, Stranger",2004,,43,"Comedy,Drama,Mystery",7.7,1020
tt0410975,tt0558722,1,6,S1,Running to Stand Still,Running to Stand Still,2004,,43,"Comedy,Drama,Mystery",7.8,995
tt0410975,tt0558701,1,7,S1,Anything You Can Do,Anything You Can Do,2004,,43,"Comedy,Drama,Mystery",8.1,991
tt0410975,tt0558710,1,8,S1,Guilty,Guilty,2004,,41,"Comedy,Drama,Mystery",8.4,1024
tt0410975,tt0558725,1,9,S1,Suspicious Minds,Suspicious Minds,2004,,43,"Comedy,Drama,Mystery",8.0,938
tt0410975,tt0558704,1,10,S1,Come Back to Me,Come Back to Me,2004,,43,"Comedy,Drama,Mystery",8.0,925
tt0410975,tt0558715,1,11,S1,Move On,Move On,2005,,43,"Comedy,Drama,Mystery",7.9,911
tt0410975,tt0558707,1,12,S1,Every Day a Little Death,Every Day a Little Death,2005,,43,"Comedy,Drama,Mystery",7.9,912
tt0410975,tt0558737,1,13,S1,Your Fault,Your Fault,2005,,43,"Comedy,Drama,Mystery",7.7,890
tt0410975,tt0558714,1,14,S1,Love Is in the Air,Love Is in the Air,2005,,43,"Comedy,Drama,Mystery",8.0,892
tt0410975,tt0558712,1,15,S1,Impossible,Impossible,2005,,43,"Comedy,Drama,Mystery",8.0,884
tt0410975,tt0558727,1,16,S1,The Ladies Who Lunch,The Ladies Who Lunch,2005,,43,"Comedy,Drama,Mystery",7.9,881
tt0410975,tt0558729,1,17,S1,There Won't Be Trumpets,There Won't Be Trumpets,2005,,43,"Comedy,Drama,Mystery",7.8,913
tt0410975,tt0558702,1,18,S1,Children Will Listen,Children Will Listen,2005,,43,"Comedy,Drama,Mystery",7.8,880
tt0410975,tt0558713,1,19,S1,Live Alone and Like It,Live Alone and Like It,2005,,43,"Comedy,Drama,Mystery",7.7,872
tt0410975,tt0558708,1,20,S1,Fear No More,Fear No More,2005,,43,"Comedy,Drama,Mystery",7.9,856
tt0410975,tt0558724,1,21,S1,Sunday in the Park with George,Sunday in the Park with George,2005,,43,"Comedy,Drama,Mystery",7.7,857
tt0410975,tt0558709,1,22,S1,Goodbye for Now,Goodbye for Now,2005,,43,"Comedy,Drama,Mystery",8.1,871
tt0410975,tt0558719,1,23,S1,One Wonderful Day,One Wonderful Day,2005,,43,"Comedy,Drama,Mystery",8.8,1044
tt0410975,tt0558717,2,1,S2,Next,Next,2005,,43,"Comedy,Drama,Mystery",8.0,876
tt0410975,tt0558735,2,2,S2,You Could Drive a Person Crazy,You Could Drive a Person Crazy,2005,,43,"Comedy,Drama,Mystery",7.7,807
tt0410975,tt0558736,2,3,S2,You'll Never Get Away from Me,You'll Never Get Away from Me,2005,,43,"Comedy,Drama,Mystery",7.6,781
tt0410975,tt0558716,2,4,S2,My Heart Belongs to Daddy,My Heart Belongs to Daddy,2005,,43,"Comedy,Drama,Mystery",7.6,782
tt0410975,tt0558731,2,5,S2,They Asked Me Why I Believe in You,They Asked Me Why I Believe in You,2005,,43,"Comedy,Drama,Mystery",7.6,776
tt0410975,tt0558711,2,6,S2,I Wish I Could Forget You,I Wish I Could Forget You,2005,,43,"Comedy,Drama,Mystery",7.7,784
tt0410975,tt0558703,2,7,S2,Color and Light,Color and Light,2005,,42,"Comedy,Drama,Mystery",7.8,777
tt0410975,tt0558728,2,8,S2,The Sun Won't Set,The Sun Won't Set,2005,,43,"Comedy,Drama,Mystery",7.8,779
tt0410975,tt0558726,2,9,S2,"That's Good, That's Bad","That's Good, That's Bad",2005,,43,"Comedy,Drama,Mystery",8.3,801
tt0410975,tt0558706,2,10,S2,Coming Home,Coming Home,2005,,43,"Comedy,Drama,Mystery",7.6,767
tt0410975,tt0558718,2,11,S2,One More Kiss,One More Kiss,2006,,43,"Comedy,Drama,Mystery",8.1,780
tt0410975,tt0558733,2,12,S2,We're Gonna Be All Right,We're Gonna Be All Right,2006,,43,"Comedy,Drama,Mystery",7.6,757
tt0410975,tt0558730,2,13,S2,There's Something About a War,There's Something About a War,2006,,43,"Comedy,Drama,Mystery",8.0,764
tt0410975,tt0558723,2,14,S2,Silly People,Silly People,2006,,43,"Comedy,Drama,Mystery",7.8,762
tt0410975,tt0558698,2,15,S2,Thank You So Much,Thank You So Much,2006,,43,"Comedy,Drama,Mystery",7.7,746
tt0410975,tt0759815,2,16,S2,There Is No Other Way,There Is No Other Way,2006,,43,"Comedy,Drama,Mystery",7.8,738
tt0410975,tt0763246,2,17,S2,Could I Leave You?,Could I Leave You?,2006,,43,"Comedy,Drama,Mystery",7.7,747
tt0410975,tt0765587,2,18,S2,Everybody Says Don't,Everybody Says Don't,2006,,43,"Comedy,Drama,Mystery",7.7,743
tt0410975,tt0776336,2,19,S2,Don't Look at Me,Don't Look at Me,2006,,43,"Comedy,Drama,Mystery",7.9,746
tt0410975,tt0789918,2,20,S2,It Wasn't Meant to Happen,It Wasn't Meant to Happen,2006,,43,"Comedy,Drama,Mystery",8.1,810
