imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt6045142,tt8565024,1,1,S1,The Lipoma Whisperer,The Lipoma Whisperer,2018,,43,Reality-TV,7.7,68
tt6045142,tt8565026,1,2,S1,The World's Largest Lump,The World's Largest Lump,2018,,42,Reality-TV,7.9,56
tt6045142,tt8565032,1,3,S1,This Cyst Persists,This Cyst Persists,2018,,44,Reality-TV,7.8,55
tt6045142,tt8565038,1,4,S1,The Curious Case of the Pooting Cyst,The Curious Case of the Pooting Cyst,2018,,42,Reality-TV,7.8,52
tt6045142,tt8565040,1,5,S1,A Lipoma Jackpot,A Lipoma Jackpot,2018,,44,Reality-TV,7.6,48
tt6045142,tt8565044,1,6,S1,An American Tail,An American Tail,2018,,42,Reality-TV,7.7,46
tt6045142,tt8850522,2,1,S2,Nose No Bounds,Nose No Bounds,2019,,42,Reality-TV,8.0,42
tt6045142,tt8850544,2,2,S2,Tumor Takeover,Tumor Takeover,2019,,42,Reality-TV,7.7,37
tt6045142,tt8850548,2,3,S2,The Last Unicorn,The Last Unicorn,2019,,41,Reality-TV,7.7,43
tt6045142,tt8850558,2,4,S2,Sisters Lumpity Lump Lump,Sisters Lumpity Lump Lump,2019,,43,Reality-TV,7.4,39
tt6045142,tt8850560,2,5,S2,Every Rosacea Has Its Thorn,Every Rosacea Has Its Thorn,2019,,43,Reality-TV,7.7,42
tt6045142,tt8850562,2,6,S2,Popping Popeye,Popping Popeye,2019,,42,Reality-TV,7.5,39
tt6045142,tt8955794,2,7,S2,Scared Cyst-Less,Scared Cyst-Less,2019,,42,Reality-TV,7.9,38
tt6045142,tt9753246,2,8,S2,A Lipoma is Born,A Lipoma is Born,2019,,42,Reality-TV,7.7,34
tt6045142,tt9863888,2,9,S2,Mic Drop Pop!,Mic Drop Pop!,2019,,42,Reality-TV,8.0,37
tt6045142,tt10218146,2,10,S2,"Runaway Bump, Never Coming Back?","Runaway Bump, Never Coming Back?",2019,,42,Reality-TV,8.0,35
