imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt2229907,tt2317669,1,1,S1,Family Funny Business,Family Funny Business,2012,,22,"Comedy,Reality-TV",6.9,177
tt2229907,tt2317671,1,2,S1,CEO for a Day,CEO for a Day,2012,,22,"Comedy,Reality-TV",6.9,146
tt2229907,tt2317673,1,3,S1,High Tech Redneck,High Tech Redneck,2012,,22,"Comedy,Reality-TV",7.0,128
tt2229907,tt2317675,1,4,S1,Frog in One,Frog in One,2012,,22,"Comedy,Reality-TV",7.3,143
tt2229907,tt2362001,1,5,S1,Redneck Logic,Redneck Logic,2012,,22,"Comedy,Reality-TV",6.9,95
tt2229907,tt2362003,1,6,S1,Too Close for Comfort,Too Close for Comfort,2012,,22,"Comedy,Reality-TV",6.8,103
tt2229907,tt2361999,1,7,S1,Leave it to Beavers,Leave it to Beavers,2012,,22,"Comedy,Reality-TV",7.2,107
tt2229907,tt2361997,1,8,S1,A Big Duck-ing Call,A Big Duck-ing Call,2012,,22,"Comedy,Reality-TV",6.8,96
tt2229907,tt2366903,1,9,S1,Sauvignon Beard,Sauvignon Beard,2012,,22,"Comedy,Reality-TV",7.1,110
tt2229907,tt2231394,1,10,S1,Plan Bee,Plan Bee,2012,,22,"Comedy,Reality-TV",7.0,101
tt2229907,tt2549882,1,11,S1,Daddy's Got a Gun,Daddy's Got a Gun,2012,,22,"Comedy,Reality-TV",6.9,97
tt2229907,tt2231408,1,12,S1,Fishin' for Business,Fishin' for Business,2012,,22,"Comedy,Reality-TV",6.5,79
tt2229907,tt2231412,1,13,S1,Redneck Road Trip,Redneck Road Trip,2012,,22,"Comedy,Reality-TV",7.4,103
tt2229907,tt2231442,1,14,S1,"Winner, Winner, Turkey Dinner!","Winner, Winner, Turkey Dinner!",2012,,22,"Comedy,Reality-TV",6.8,94
tt2229907,tt2231456,1,15,S1,Willie Stay or Willie Go,Willie Stay or Willie Go,2012,,22,"Comedy,Reality-TV",6.9,87
tt2229907,tt2561606,2,1,S2,The Grass and the Furious,The Grass and the Furious,2012,,21,"Comedy,Reality-TV",6.8,93
tt2229907,tt2561582,2,2,S2,Driving Miss Sadie,Driving Miss Sadie,2012,,22,"Comedy,Reality-TV",7.0,97
tt2229907,tt2561624,2,3,S2,Truck Commander,Truck Commander,2012,,22,"Comedy,Reality-TV",6.9,88
tt2229907,tt2561598,2,4,S2,Si-Yonara,Si-Yonara,2012,,22,"Comedy,Reality-TV",6.8,89
tt2229907,tt2561616,2,5,S2,Fowl Play,Fowl Play,2012,,22,"Comedy,Reality-TV",6.6,78
tt2229907,tt2558582,2,6,S2,Sweatin' Bullets,Sweatin' Bullets,2012,,22,"Comedy,Reality-TV",7.2,95
tt2229907,tt2788784,2,7,S2,Spring Pong Cleaning,Spring Pong Cleaning,2012,,22,"Comedy,Reality-TV",6.4,67
tt2229907,tt2558590,2,8,S2,"Good Morning, West Monroe","Good Morning, West Monroe",2012,,22,"Comedy,Reality-TV",6.8,87
tt2229907,tt2571700,2,9,S2,Samurai Si,Samurai Si,2012,,22,"Comedy,Reality-TV",7.3,94
tt2229907,tt3138652,2,10,S2,Of Mattresses and Men,Of Mattresses and Men,2012,,21,"Comedy,Reality-TV",6.7,63
tt2229907,tt2561630,2,11,S2,"Duck No, We Won't Go","Duck No, We Won't Go",2012,,22,"Comedy,Reality-TV",6.9,91
tt2229907,tt2558534,2,12,S2,Drag Me to Glory,Drag Me to Glory,2012,,22,"Comedy,Reality-TV",6.8,81
tt2229907,tt2603144,2,13,S2,I'm Dreaming of a Redneck Christmas,I'm Dreaming of a Redneck Christmas,2012,,60,"Comedy,Reality-TV",6.5,126
tt2229907,tt2739094,3,1,S3,Duck Season Eve,Duck Season Eve,2013,,22,"Comedy,Reality-TV",7.1,94
tt2229907,tt2739098,3,2,S3,Can't Hardly Weight,Can't Hardly Weight,2013,,22,"Comedy,Reality-TV",7.2,98
tt2229907,tt2739110,3,3,S3,Shot Thru the Heart,Shot Thru the Heart,2013,,22,"Comedy,Reality-TV",6.8,90
tt2229907,tt2739112,3,4,S3,"Here Lizard, Lizard","Here Lizard, Lizard",2013,,22,"Comedy,Reality-TV",6.9,86
tt2229907,tt2783710,3,5,S3,Hallu-Si-Nations,Hallu-Si-Nations,2013,,22,"Comedy,Reality-TV",6.8,88
tt2229907,tt2802630,3,6,S3,"Let's Go Hunting, Deer","Let's Go Hunting, Deer",2013,,22,"Comedy,Reality-TV",6.7,77
tt2229907,tt2802620,3,7,S3,Tickets to the Fun Show,Tickets to the Fun Show,2013,,21,"Comedy,Reality-TV",6.6,80
tt2229907,tt2802636,3,8,S3,Duck Be a Lady,Duck Be a Lady,2013,,22,"Comedy,Reality-TV",6.9,85
tt2229907,tt2802638,3,9,S3,Ring Around the Redneck,Ring Around the Redneck,2013,,22,"Comedy,Reality-TV",6.4,77
tt2229907,tt2802640,3,10,S3,Bass Man Standing,Bass Man Standing,2013,,21,"Comedy,Reality-TV",6.9,80
tt2229907,tt2802644,3,11,S3,Si-amese Twins,Si-amese Twins,2013,,21,"Comedy,Reality-TV",7.2,94
tt2229907,tt2884436,3,12,S3,Battle of the Brothers,Battle of the Brothers,2013,,22,"Comedy,Reality-TV",6.5,73
tt2229907,tt2884438,3,13,S3,"Aloha, Robertsons!","Aloha, Robertsons!",2013,,43,"Comedy,Reality-TV",7.4,103
tt2229907,tt3022616,4,1,S4,Till Duck Do Us Part,Till Duck Do Us Part,2013,,44,"Comedy,Reality-TV",7.7,119
tt2229907,tt3119450,4,2,S4,So You Think You Can Date?,So You Think You Can Date?,2013,,22,"Comedy,Reality-TV",7.1,82
tt2229907,tt3119454,4,3,S4,Hot Tub Grime Machine,Hot Tub Grime Machine,2013,,22,"Comedy,Reality-TV",6.9,80
tt2229907,tt3169212,4,4,S4,A-Jase-ent Living,A-Jase-ent Living,2013,,22,"Comedy,Reality-TV",6.8,64
tt2229907,tt3169218,4,5,S4,Termite Be a Problem,Termite Be a Problem,2013,,22,"Comedy,Reality-TV",6.4,68
tt2229907,tt3169222,4,6,S4,John Luke After Dentist,John Luke After Dentist,2013,,22,"Comedy,Reality-TV",7.2,91
tt2229907,tt3209614,4,7,S4,Scoot Along Si,Scoot Along Si,2013,,22,"Comedy,Reality-TV",6.4,68
tt2229907,tt3233298,4,8,S4,Jerky Boys,Jerky Boys,2013,,22,"Comedy,Reality-TV",6.5,66
tt2229907,tt3242966,4,9,S4,Going Si-ral,Going Si-ral,2013,,22,"Comedy,Reality-TV",6.2,77
tt2229907,tt3262744,4,10,S4,Quack O'Lanterns,Quack O'Lanterns,2013,,22,"Comedy,Reality-TV",6.5,73
tt2229907,tt3375672,4,11,S4,O Little Town of West Monroe,O Little Town of West Monroe,2013,,44,"Comedy,Reality-TV",7.0,74
tt2229907,tt3448016,5,1,S5,Boomerang Becca,Boomerang Becca,2014,,22,"Comedy,Reality-TV",5.8,47
tt2229907,tt3448020,5,2,S5,Willie's Number Two,Willie's Number Two,2014,,22,"Comedy,Reality-TV",5.5,49
tt2229907,tt3472092,5,3,S5,Life of Si,Life of Si,2014,,22,"Comedy,Reality-TV",5.8,45
tt2229907,tt3487436,5,4,S5,From Duck 'til Dawn,From Duck 'til Dawn,2014,,22,"Comedy,Reality-TV",5.5,40
tt2229907,tt3495810,5,5,S5,Burger Commander,Burger Commander,2014,,22,"Comedy,Reality-TV",5.6,42
tt2229907,tt3532816,5,6,S5,G.I. Si,G.I. Si,2014,,22,"Comedy,Reality-TV",5.6,42
tt2229907,tt3548300,5,7,S5,Jase and the Argonauts,Jase and the Argonauts,2014,,22,"Comedy,Reality-TV",5.4,40
tt2229907,tt3548294,5,8,S5,Foul Playhouse,Foul Playhouse,2014,,22,"Comedy,Reality-TV",5.2,41
tt2229907,tt3548298,5,9,S5,The Big LeCOWsk,The Big LeCOWsk,2014,,22,"Comedy,Reality-TV",5.6,41
tt2229907,tt3616074,5,10,S5,Stand by Mia,Stand by Mia,2014,,42,"Comedy,Reality-TV",6.3,45
tt2229907,tt3784014,6,1,S6,Governor's Travels,Governor's Travels,2014,,23,"Comedy,Reality-TV",5.4,43
tt2229907,tt3784016,6,2,S6,Quack and Gown,Quack and Gown,2014,,23,"Comedy,Reality-TV",5.6,36
tt2229907,tt3784022,6,3,S6,Hands on a Woodchipper,Hands on a Woodchipper,2014,,22,"Comedy,Reality-TV",5.8,37
tt2229907,tt3836388,6,4,S6,Quackdraft,Quackdraft,2014,,22,"Comedy,Reality-TV",5.4,34
tt2229907,tt3849442,6,5,S6,Brand of Brothers,Brand of Brothers,2014,,22,"Comedy,Reality-TV",5.5,34
tt2229907,tt3859048,6,6,S6,De-Bug Life,De-Bug Life,2014,,22,"Comedy,Reality-TV",5.5,34
tt2229907,tt3859046,6,7,S6,Men vs. Wild,Men vs. Wild,2014,,22,"Comedy,Reality-TV",6.1,35
tt2229907,tt3882066,6,8,S6,Return of the Beavers,Return of the Beavers,2014,,23,"Comedy,Reality-TV",5.9,35
tt2229907,tt3882068,6,9,S6,Lake Boss,Lake Boss,2014,,44,"Comedy,Reality-TV",6.0,36
tt2229907,tt4212226,7,1,S7,Glory Is the Reward of Mallard,Glory Is the Reward of Mallard,2014,,43,"Comedy,Reality-TV",6.0,37
tt2229907,tt4212232,7,2,S7,Good Night and Good Duck,Good Night and Good Duck,2014,,22,"Comedy,Reality-TV",6.6,35
tt2229907,tt4212238,7,3,S7,Quack in the Saddle,Quack in the Saddle,2014,,22,"Comedy,Reality-TV",5.7,30
tt2229907,tt4212246,7,4,S7,A Home for the Holidays,A Home for the Holidays,2014,,22,"Comedy,Reality-TV",5.9,31
tt2229907,tt4289030,7,5,S7,The Cannonball Runs,The Cannonball Runs,2015,,22,"Comedy,Reality-TV",5.7,27
tt2229907,tt4289038,7,6,S7,"Mo Math, Mo Problems","Mo Math, Mo Problems",2015,,22,"Comedy,Reality-TV",5.5,27
tt2229907,tt4289046,7,7,S7,Coop! There Is Is!,Coop! There Is Is!,2015,,22,"Comedy,Reality-TV",5.2,28
tt2229907,tt4413200,7,8,S7,Friday Afternoon Lights,Friday Afternoon Lights,2015,,22,"Comedy,Reality-TV",5.8,28
tt2229907,tt4413208,7,9,S7,Master and Duck Commander,Master and Duck Commander,2015,,22,"Comedy,Reality-TV",6.0,28
tt2229907,tt4413214,7,10,S7,Sweet Home Louisiana,Sweet Home Louisiana,2015,,22,"Comedy,Reality-TV",5.4,27
tt2229907,tt4808742,8,1,S8,Grooming the Groom,Grooming the Groom,2015,,22,"Comedy,Reality-TV",5.8,29
tt2229907,tt4824042,8,2,S8,Induckpendence Day,Induckpendence Day,2015,,22,"Comedy,Reality-TV",6.2,31
tt2229907,tt4824046,8,3,S8,Search N' Decoy,Search N' Decoy,2015,,22,"Comedy,Reality-TV",6.2,29
tt2229907,tt4840308,8,4,S8,Wild Wild Pest,Wild Wild Pest,2015,,22,"Comedy,Reality-TV",5.5,29
tt2229907,tt4857350,8,5,S8,Pranks for Everything,Pranks for Everything,2015,,22,"Comedy,Reality-TV",5.8,25
tt2229907,tt4877498,8,6,S8,Bachelor Party Blowout,Bachelor Party Blowout,2015,,22,"Comedy,Reality-TV",5.7,26
tt2229907,tt4898822,8,7,S8,The Ducket List,The Ducket List,2015,,22,"Comedy,Reality-TV",5.3,27
tt2229907,tt4898828,8,8,S8,Pit Perfect,Pit Perfect,2015,,22,"Comedy,Reality-TV",5.7,26
tt2229907,tt4938636,8,9,S8,John Luke Gets Hitched,John Luke Gets Hitched,2015,,44,"Comedy,Reality-TV",7.2,31
tt2229907,tt5312172,9,1,S9,Inlawful Entry,Inlawful Entry,2016,,21,"Comedy,Reality-TV",5.9,23
tt2229907,tt5312180,9,2,S9,Flock and Key,Flock and Key,2016,,21,"Comedy,Reality-TV",6.2,22
tt2229907,tt5337476,9,3,S9,Ball in the Family,Ball in the Family,2016,,21,"Comedy,Reality-TV",6.9,24
tt2229907,tt5342808,9,4,S9,Drone Survivor,Drone Survivor,2016,,21,"Comedy,Reality-TV",6.6,20
tt2229907,tt5358168,9,5,S9,Alan in Charge,Alan in Charge,2016,,21,"Comedy,Reality-TV",5.9,22
tt2229907,tt5377544,9,6,S9,Renaissance Men,Renaissance Men,2016,,21,"Comedy,Reality-TV",5.4,24
tt2229907,tt5448618,9,7,S9,Heroes Welcome,Heroes Welcome,2016,,21,"Comedy,Reality-TV",6.8,24
tt2229907,tt5448622,9,8,S9,Pie Hard,Pie Hard,2016,,21,"Comedy,Reality-TV",5.7,19
tt2229907,tt5448624,9,9,S9,Toad to Perdition,Toad to Perdition,2016,,21,"Comedy,Reality-TV",5.8,20
tt2229907,tt5448626,9,10,S9,Van He'llsing,Van He'llsing,2016,,21,"Comedy,Reality-TV",5.9,21
tt2229907,tt5448630,9,11,S9,RV There Yet?,RV There Yet?,2016,,43,"Comedy,Reality-TV",6.2,21
tt2229907,tt5892274,10,1,S10,Willie & Korie's Anniversorry,Willie & Korie's Anniversorry,2016,,21,"Comedy,Reality-TV",7.3,24
tt2229907,tt5892276,10,2,S10,Statue of Imitations,Statue of Imitations,2016,,21,"Comedy,Reality-TV",6.8,22
tt2229907,tt5892278,10,3,S10,A Decent Proposal,A Decent Proposal,2016,,20,"Comedy,Reality-TV",6.9,22
