imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0108757,tt0295222,1,1,S1,24 Hours,24 Hours,1994,,88,"Drama,Romance",8.6,2725
tt0108757,tt0567951,1,2,S1,Day One,Day One,1994,,60,"Drama,Romance",8.0,1048
tt0108757,tt0567992,1,3,S1,Going Home,Going Home,1994,,48,"Drama,Romance",8.0,867
tt0108757,tt0568004,1,4,S1,Hit and Run,Hit and Run,1994,,47,"Drama,Romance",7.9,774
tt0108757,tt0568018,1,5,S1,Into That Good Night,Into That Good Night,1994,,60,"Drama,Romance",7.9,773
tt0108757,tt0567947,1,6,S1,Chicago Heat,Chicago Heat,1994,,45,"Drama,Romance",7.9,735
tt0108757,tt0567926,1,7,S1,Another Perfect Day,Another Perfect Day,1994,,45,"Drama,Romance",7.7,703
tt0108757,tt0567906,1,8,S1,9 1/2 Hours,9 1/2 Hours,1994,,60,"Drama,Romance",7.6,697
tt0108757,tt0567965,1,9,S1,ER Confidential,ER Confidential,1994,,45,"Drama,Romance",7.9,721
tt0108757,tt0567936,1,10,S1,Blizzard,Blizzard,1994,,60,"Drama,Romance",8.7,1025
tt0108757,tt0568115,1,11,S1,The Gift,The Gift,1994,,60,"Drama,Romance",7.9,723
tt0108757,tt0567999,1,12,S1,Happy New Year,Happy New Year,1995,,45,"Drama,Romance",7.8,629
tt0108757,tt0568034,1,13,S1,Luck of the Draw,Luck of the Draw,1995,,60,"Drama,Romance",7.7,630
tt0108757,tt0568030,1,14,S1,Long Day's Journey,Long Day's Journey,1995,,46,"Drama,Romance",7.9,684
tt0108757,tt0567975,1,15,S1,"Feb 5, '95","Feb 5, '95",1995,,45,"Drama,Romance",7.9,629
tt0108757,tt0568036,1,16,S1,Make of Two Hearts,Make of Two Hearts,1995,,44,"Drama,Romance",7.9,623
tt0108757,tt0568110,1,17,S1,The Birthday Party,The Birthday Party,1995,,46,"Drama,Romance",7.7,608
tt0108757,tt0568094,1,18,S1,Sleepless in Chicago,Sleepless in Chicago,1995,,47,"Drama,Romance",8.0,649
tt0108757,tt0568033,1,19,S1,Love's Labor Lost,Love's Labor Lost,1995,,46,"Drama,Romance",9.3,1720
tt0108757,tt0567988,1,20,S1,"Full Moon, Saturday Night","Full Moon, Saturday Night",1995,,46,"Drama,Romance",8.0,741
tt0108757,tt0568008,1,21,S1,House of Cards,House of Cards,1995,,45,"Drama,Romance",7.7,588
tt0108757,tt0568043,1,22,S1,"Men Plan, God Laughs","Men Plan, God Laughs",1995,,60,"Drama,Romance",7.7,582
tt0108757,tt0568032,1,23,S1,Love Among the Ruins,Love Among the Ruins,1995,,46,"Drama,Romance",7.8,638
tt0108757,tt0568048,1,24,S1,Motherhood,Motherhood,1995,,48,"Drama,Romance",7.8,873
tt0108757,tt0567966,1,25,S1,Everything Old Is New Again,Everything Old Is New Again,1995,,46,"Drama,Romance",8.3,667
tt0108757,tt0568154,2,1,S2,Welcome Back Carter!,Welcome Back Carter!,1995,,44,"Drama,Romance",7.8,623
tt0108757,tt0568103,2,2,S2,Summer Run,Summer Run,1995,,46,"Drama,Romance",7.6,564
tt0108757,tt0567958,2,3,S2,"Do One, Teach One, Kill One","Do One, Teach One, Kill One",1995,,45,"Drama,Romance",7.8,583
tt0108757,tt0568155,2,4,S2,What Life?,What Life?,1995,,45,"Drama,Romance",7.8,545
tt0108757,tt0567925,2,5,S2,And Baby Makes Two,And Baby Makes Two,1995,,45,"Drama,Romance",7.9,558
tt0108757,tt0567953,2,6,S2,Days Like This,Days Like This,1995,,60,"Drama,Romance",7.8,551
tt0108757,tt0568001,2,7,S2,Hell and High Water,Hell and High Water,1995,,60,"Drama,Romance",9.1,1364
tt0108757,tt0568130,2,8,S2,The Secret Sharer,The Secret Sharer,1995,,47,"Drama,Romance",7.8,549
tt0108757,tt0568005,2,9,S2,Home,Home,1995,,45,"Drama,Romance",7.7,554
tt0108757,tt0567912,2,10,S2,A Miracle Happens Here,A Miracle Happens Here,1995,,46,"Drama,Romance",8.0,570
tt0108757,tt0567955,2,11,S2,Dead of Winter,Dead of Winter,1996,,46,"Drama,Romance",7.7,537
tt0108757,tt0568143,2,12,S2,True Lies,True Lies,1996,,46,"Drama,Romance",7.5,535
tt0108757,tt0568020,2,13,S2,It's Not Easy Being Greene,It's Not Easy Being Greene,1996,,45,"Drama,Romance",7.7,531
tt0108757,tt0568129,2,14,S2,The Right Thing,The Right Thing,1996,,45,"Drama,Romance",7.8,531
