imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0182576,tt0576927,1,1,S1,Death Has a Shadow,Death Has a Shadow,1999,,30,"Animation,Comedy",7.6,5202
tt0182576,tt0576942,1,2,S1,I Never Met the Dead Man,I Never Met the Dead Man,1999,,23,"Animation,Comedy",7.4,4012
tt0182576,tt0576924,1,3,S1,Chitty Chitty Death Bang,Chitty Chitty Death Bang,1999,,30,"Animation,Comedy",7.5,3765
tt0182576,tt0576948,1,4,S1,Mind Over Murder,Mind Over Murder,1999,,23,"Animation,Comedy",7.4,3539
tt0182576,tt0576911,1,5,S1,A Hero Sits Next Door,A Hero Sits Next Door,1999,,30,"Animation,Comedy",7.4,3435
tt0182576,tt0576972,1,6,S1,The Son Also Draws,The Son Also Draws,1999,,22,"Animation,Comedy",7.1,3298
tt0182576,tt0576923,1,7,S1,Brian: Portrait of a Dog,Brian: Portrait of a Dog,1999,,22,"Animation,Comedy",7.4,3334
tt0182576,tt0576959,2,1,S2,"Peter, Peter, Caviar Eater","Peter, Peter, Caviar Eater",1999,,23,"Animation,Comedy",7.5,3181
tt0182576,tt0576940,2,2,S2,Holy Crap,Holy Crap,1999,,23,"Animation,Comedy",7.3,2994
tt0182576,tt0576925,2,3,S2,Da Boom,Da Boom,1999,,23,"Animation,Comedy",8.1,3605
tt0182576,tt0576921,2,4,S2,Brian in Love,Brian in Love,2000,,23,"Animation,Comedy",7.4,2910
tt0182576,tt0576947,2,5,S2,Love Thy Trophy,Love Thy Trophy,2000,,30,"Animation,Comedy",7.7,2896
tt0182576,tt0576928,2,6,S2,Death Is a Bitch,Death Is a Bitch,2000,,23,"Animation,Comedy",8.2,3323
tt0182576,tt0576969,2,7,S2,The King Is Dead,The King Is Dead,2000,,23,"Animation,Comedy",7.2,2734
