imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0476041,tt1040524,1,1,S1,We Don't Need No Stinkin' Permits,We Don't Need No Stinkin' Permits,2005,,,Reality-TV,9.3,18
tt0476041,tt1040521,1,2,S1,The Stakeout,The Stakeout,2005,,,Reality-TV,9.8,8
tt0476041,tt1025462,1,3,S1,What the Heck: Write a Check,What the Heck: Write a Check,2005,,44,Reality-TV,9.3,8
tt0476041,tt1040520,1,4,S1,Ginger's Revenge,Ginger's Revenge,2005,,,Reality-TV,9.8,9
tt0476041,tt1040522,1,5,S1,The Trouble with Gus,The Trouble with Gus,2005,,44,Reality-TV,8.5,12
tt0476041,tt1040523,1,6,S1,Too Good to Be True,Too Good to Be True,2005,,,Reality-TV,9.8,9
tt0476041,tt1040519,1,7,S1,Attack of the Garden Gnomes,Attack of the Garden Gnomes,2005,,44,Reality-TV,9.8,8
tt0476041,tt1044317,1,8,S1,It's a Rat Race,It's a Rat Race,2005,,,Reality-TV,,
tt0476041,tt1044318,1,9,S1,The College Special,The College Special,2005,,,Reality-TV,9.8,9
tt0476041,tt1077626,1,10,S1,Location Location Location,Location Location Location,2005,,,Reality-TV,,
tt0476041,tt1044319,1,11,S1,The Haunted House,The Haunted House,2005,,,Reality-TV,9.8,10
tt0476041,tt1029819,1,12,S1,Between a Rock and a Hard Place,Between a Rock and a Hard Place,2006,,,Reality-TV,9.8,9
tt0476041,tt1057056,1,13,S1,The Restaurant Special,The Restaurant Special,2006,,,Reality-TV,9.2,6
tt0476041,tt0963463,2,1,S2,The Movie Star House,The Movie Star House,2006,,,Reality-TV,5.1,8
tt0476041,tt0963462,2,2,S2,"Baby Budget, Baby Work","Baby Budget, Baby Work",2006,,,Reality-TV,,
tt0476041,tt1040518,2,3,S2,All's Fair in Love and War,All's Fair in Love and War,2006,,,Reality-TV,,
tt0476041,tt1097090,2,4,S2,History Lesson,History Lesson,2006,,,Reality-TV,,
tt0476041,tt1008210,2,5,S2,Rancho Montelongo,Rancho Montelongo,2006,,,Reality-TV,,
tt0476041,tt1042680,2,6,S2,Intern Affairs,Intern Affairs,2006,,,Reality-TV,,
