imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt4680444,tt4796538,1,1,S1,Japanese Katana,Japanese Katana,2015,,43,"Game-Show,Reality-TV",8.0,83
tt4680444,tt4828658,1,2,S1,Chakram,Chakram,2015,,43,"Game-Show,Reality-TV",8.0,66
tt4680444,tt4837374,1,3,S1,Viking Battle Axe,Viking Battle Axe,2015,,43,"Game-Show,Reality-TV",7.8,59
tt4680444,tt4857176,1,4,S1,Katar,Katar,2015,,43,"Game-Show,Reality-TV",7.8,58
tt4680444,tt4876558,1,5,S1,Crusader Sword,Crusader Sword,2015,,43,"Game-Show,Reality-TV",7.8,60
tt4680444,tt4897734,1,6,S1,Rapier,Rapier,2015,,43,"Game-Show,Reality-TV",7.7,53
tt4680444,tt4913646,1,7,S1,The Roman Gladius,The Roman Gladius,2015,,43,"Game-Show,Reality-TV",7.4,50
tt4680444,tt4937050,1,8,S1,The Moro Kris,The Moro Kris,2015,,43,"Game-Show,Reality-TV",7.7,52
tt4680444,tt5352594,2,1,S2,The War Hammer,The War Hammer,2016,,42,"Game-Show,Reality-TV",7.6,52
tt4680444,tt5543194,2,2,S2,Khopesh,Khopesh,2016,,42,"Game-Show,Reality-TV",7.5,48
tt4680444,tt5543204,2,3,S2,The Scottish Claymore,The Scottish Claymore,2016,,42,"Game-Show,Reality-TV",7.6,52
tt4680444,tt5543210,2,4,S2,Spiked Shield,Spiked Shield,2016,,41,"Game-Show,Reality-TV",7.3,50
tt4680444,tt5557986,2,5,S2,Viking Sword,Viking Sword,2016,,42,"Game-Show,Reality-TV",8.0,53
tt4680444,tt5717094,2,6,S2,Nepalese Kukri,Nepalese Kukri,2016,,42,"Game-Show,Reality-TV",7.5,43
tt4680444,tt5717096,2,7,S2,The Shotel,The Shotel,2016,,42,"Game-Show,Reality-TV",7.5,36
tt4680444,tt5717100,2,8,S2,The Cutlass,The Cutlass,2016,,42,"Game-Show,Reality-TV",7.6,38
tt4680444,tt5717104,2,9,S2,The Khanda,The Khanda,2016,,42,"Game-Show,Reality-TV",8.2,39
tt4680444,tt5717106,2,10,S2,The Tabar,The Tabar,2016,,42,"Game-Show,Reality-TV",7.5,37
tt4680444,tt5963484,3,1,S3,Champions Edition - Scottish Claymore,Champions Edition - Scottish Claymore,2016,,42,"Game-Show,Reality-TV",8.1,48
tt4680444,tt6501902,3,2,S3,Fan Favorites,Fan Favorites,2016,,41,"Game-Show,Reality-TV",7.7,35
tt4680444,tt6501904,3,3,S3,Butterfly Swords,Butterfly Swords,2016,,42,"Game-Show,Reality-TV",8.0,36
tt4680444,tt6501906,3,4,S3,The Falcata,The Falcata,2016,,42,"Game-Show,Reality-TV",7.8,34
tt4680444,tt6501912,3,5,S3,Kora Sword,Kora Sword,2016,,42,"Game-Show,Reality-TV",8.1,32
tt4680444,tt6067904,3,6,S3,Hunga Munga,Hunga Munga,2016,,42,"Game-Show,Reality-TV",7.6,36
tt4680444,tt6126036,3,7,S3,The Boar Spear,The Boar Spear,2016,,42,"Game-Show,Reality-TV",7.7,31
tt4680444,tt6418598,3,8,S3,Xiphos Sword,Xiphos Sword,2016,,42,"Game-Show,Reality-TV",7.7,28
tt4680444,tt6167924,3,9,S3,The Pandat,The Pandat,2016,,42,"Game-Show,Reality-TV",7.7,32
tt4680444,tt6501920,3,10,S3,Zulu Iklwa,Zulu Iklwa,2016,,42,"Game-Show,Reality-TV",8.3,27
tt4680444,tt6501922,3,11,S3,The Pata,The Pata,2017,,42,"Game-Show,Reality-TV",8.2,31
tt4680444,tt6501924,3,12,S3,The Zweihander,The Zweihander,2017,,42,"Game-Show,Reality-TV",8.0,33
tt4680444,tt6501926,3,13,S3,Cavalry Saber,Cavalry Saber,2017,,41,"Game-Show,Reality-TV",7.9,29
tt4680444,tt6501930,3,14,S3,The Naginata,The Naginata,2017,,41,"Game-Show,Reality-TV",7.8,30
tt4680444,tt6577218,3,15,S3,The Haladie,The Haladie,2017,,42,"Game-Show,Reality-TV",7.7,32
tt4680444,tt6577224,3,16,S3,Redemption,Redemption,2017,,42,"Game-Show,Reality-TV",7.8,29
tt4680444,tt6599630,4,1,S4,Judges Pick,Judges Pick,2017,,41,"Game-Show,Reality-TV",7.6,32
tt4680444,tt6862788,4,2,S4,Deer Horn Knives,Deer Horn Knives,2017,,42,"Game-Show,Reality-TV",8.1,31
tt4680444,tt6956454,4,3,S4,The Katzbalger,The Katzbalger,2017,,42,"Game-Show,Reality-TV",7.8,27
tt4680444,tt6956452,4,4,S4,Makraka,Makraka,2017,,42,"Game-Show,Reality-TV",8.2,29
tt4680444,tt6956464,4,5,S4,Fan's Choice,Fan's Choice,2017,,42,"Game-Show,Reality-TV",8.1,29
tt4680444,tt6956448,4,6,S4,Akrafena,Akrafena,2017,,42,"Game-Show,Reality-TV",7.6,26
tt4680444,tt6956468,4,7,S4,Talwar,Talwar,2017,,42,"Game-Show,Reality-TV",7.8,26
tt4680444,tt6956458,4,8,S4,The Cinquedea,The Cinquedea,2017,,42,"Game-Show,Reality-TV",7.7,32
tt4680444,tt6971766,4,9,S4,The Charay,The Charay,2017,,42,"Game-Show,Reality-TV",7.7,29
tt4680444,tt6971774,4,10,S4,Sword Breaker Redemption,Sword Breaker Redemption,2017,,42,"Game-Show,Reality-TV",7.7,35
tt4680444,tt7301686,4,11,S4,Master & Apprentice,Master & Apprentice,2017,,42,"Game-Show,Reality-TV",8.0,29
tt4680444,tt7301690,4,12,S4,Ngombe Ngulu,Ngombe Ngulu,2017,,42,"Game-Show,Reality-TV",8.1,29
tt4680444,tt7301692,4,13,S4,The Shamshir,The Shamshir,2017,,41,"Game-Show,Reality-TV",7.5,27
tt4680444,tt7301694,4,14,S4,The Kachin Dao,The Kachin Dao,2017,,42,"Game-Show,Reality-TV",7.4,28
tt4680444,tt7301696,4,15,S4,The Gladiators' Scissor,The Gladiators' Scissor,2017,,42,"Game-Show,Reality-TV",7.5,31
tt4680444,tt7301698,4,16,S4,The Kampilan,The Kampilan,2017,,42,"Game-Show,Reality-TV",7.8,27
tt4680444,tt7362494,4,17,S4,The Kpinga,The Kpinga,2017,,41,"Game-Show,Reality-TV",7.7,27
tt4680444,tt7366294,4,18,S4,The Yatagan,The Yatagan,2017,,42,"Game-Show,Reality-TV",7.8,27
tt4680444,tt7541638,4,19,S4,International Championship,International Championship,2017,,42,"Game-Show,Reality-TV",8.7,29
tt4680444,tt7541642,4,20,S4,Tabar-Shishpar,Tabar-Shishpar,2017,,41,"Game-Show,Reality-TV",8.5,29
tt4680444,tt7541664,4,21,S4,Ultimate Champions Edition,Ultimate Champions Edition,2017,,42,"Game-Show,Reality-TV",8.1,27
tt4680444,tt7541668,4,22,S4,Knights Templar,Knights Templar,2017,,42,"Game-Show,Reality-TV",8.7,28
tt4680444,tt8862226,4,23,S4,Viking Edition,Viking Edition,2017,,42,"Game-Show,Reality-TV",8.7,25
tt4680444,tt9103594,5,0,S5,The Rhomphaia,The Rhomphaia,2018,,42,"Game-Show,Reality-TV",8.2,21
tt4680444,tt8246484,5,1,S5,Rookies Edition,Rookies Edition,2018,,42,"Game-Show,Reality-TV",7.7,25
tt4680444,tt8246490,5,2,S5,The Schiavona,The Schiavona,2018,,42,"Game-Show,Reality-TV",7.8,22
tt4680444,tt8246502,5,3,S5,Sica Sword,Sica Sword,2018,,42,"Game-Show,Reality-TV",8.6,22
