imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt1800864,tt1819924,1,1,S1,"No Guts, No Glory","No Guts, No Glory",2010,,44,Reality-TV,7.0,99
tt1800864,tt1819923,1,2,S1,"Gold, Guns and Bears","Gold, Guns and Bears",2010,,44,Reality-TV,6.8,83
tt1800864,tt1819925,1,3,S1,Running Dirt,Running Dirt,2010,,44,Reality-TV,6.8,77
tt1800864,tt1819927,1,4,S1,The Ultimate Price,The Ultimate Price,2011,,44,Reality-TV,6.6,78
tt1800864,tt1819926,1,5,S1,The Pain Barrier,The Pain Barrier,2011,,44,Reality-TV,6.6,76
tt1800864,tt1820935,1,6,S1,Gold Fever,Gold Fever,2011,,44,Reality-TV,6.7,70
tt1800864,tt1820936,1,7,S1,Going for Broke,Going for Broke,2011,,44,Reality-TV,6.6,71
tt1800864,tt1820937,1,8,S1,Bad Blood,Bad Blood,2011,,44,Reality-TV,6.8,71
tt1800864,tt1807280,1,9,S1,Bedrock or Bust,Bedrock or Bust,2011,,44,Reality-TV,6.9,72
tt1800864,tt1846089,1,10,S1,Never Say Die,Never Say Die,2011,,44,Reality-TV,6.7,69
tt1800864,tt1853762,1,11,S1,Gold Rush: Full Disclosure,Gold Rush: Full Disclosure,2011,,44,Reality-TV,6.8,61
tt1800864,tt2160821,1,12,S1,Gold Rush Aftershow Special,Gold Rush Aftershow Special,2011,,46,Reality-TV,6.3,47
tt1800864,tt2094351,2,1,S2,The Off-Season,The Off-Season,2011,,46,Reality-TV,6.7,62
tt1800864,tt2088252,2,2,S2,Twist of Fate,Twist of Fate,2011,,46,Reality-TV,7.2,68
tt1800864,tt2104397,2,3,S2,Virgin Ground,Virgin Ground,2011,,46,Reality-TV,6.9,66
tt1800864,tt2108747,2,4,S2,Family Feud,Family Feud,2011,,46,Reality-TV,6.5,67
tt1800864,tt2114748,2,5,S2,Slippery Slope,Slippery Slope,2011,,46,Reality-TV,7.0,62
tt1800864,tt2120955,2,6,S2,Drill or Die,Drill or Die,2011,,46,Reality-TV,7.0,62
tt1800864,tt2125863,2,7,S2,Lovestruck,Lovestruck,2011,,46,Reality-TV,6.6,62
