imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0413573,tt0592902,1,1,S1,A Hard Day's Night,A Hard Day's Night,2005,,44,"Drama,Romance",8.3,3452
tt0413573,tt0592923,1,2,S1,The First Cut Is the Deepest,The First Cut Is the Deepest,2005,,44,"Drama,Romance",8.1,2404
tt0413573,tt0592926,1,3,S1,"Winning a Battle, Losing the War","Winning a Battle, Losing the War",2005,,43,"Drama,Romance",8.0,2227
tt0413573,tt0592915,1,4,S1,No Man's Land,No Man's Land,2005,,43,"Drama,Romance",8.0,2101
tt0413573,tt0592919,1,5,S1,Shake Your Groove Thing,Shake Your Groove Thing,2005,,43,"Drama,Romance",8.0,2027
tt0413573,tt0592909,1,6,S1,If Tomorrow Never Comes,If Tomorrow Never Comes,2005,,60,"Drama,Romance",8.1,1955
tt0413573,tt0592924,1,7,S1,The Self-Destruct Button,The Self-Destruct Button,2005,,41,"Drama,Romance",8.1,1925
tt0413573,tt0592918,1,8,S1,Save Me,Save Me,2005,,43,"Drama,Romance",7.9,1902
tt0413573,tt0592925,1,9,S1,Who's Zoomin' Who?,Who's Zoomin' Who?,2005,,43,"Drama,Romance",8.6,2151
tt0413573,tt0592917,2,1,S2,Raindrops Keep Falling on My Head,Raindrops Keep Falling on My Head,2005,,43,"Drama,Romance",8.3,1934
tt0413573,tt0592907,2,2,S2,Enough Is Enough,Enough Is Enough,2005,,43,"Drama,Romance",8.1,1784
tt0413573,tt0592913,2,3,S2,Make Me Lose Control,Make Me Lose Control,2005,,43,"Drama,Romance",8.6,1960
tt0413573,tt0592906,2,4,S2,"Deny, Deny, Deny","Deny, Deny, Deny",2005,,43,"Drama,Romance",8.3,1832
tt0413573,tt0592905,2,5,S2,Bring the Pain,Bring the Pain,2005,,60,"Drama,Romance",8.5,1861
tt0413573,tt0592910,2,6,S2,Into You Like a Train,Into You Like a Train,2005,,43,"Drama,Romance",9.0,2474
tt0413573,tt0592920,2,7,S2,Something to Talk About,Something to Talk About,2005,,60,"Drama,Romance",8.1,1667
