imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0437005,tt0803656,1,1,S1,Day 1,Day 1,2005,,39,"Game-Show,Reality-TV",7.1,305
tt0437005,tt0803659,1,2,S1,Day 2,Day 2,2005,,39,"Game-Show,Reality-TV",7.0,245
tt0437005,tt0803660,1,3,S1,Day 3,Day 3,2005,,39,"Game-Show,Reality-TV",6.9,228
tt0437005,tt0803661,1,4,S1,Day 4,Day 4,2005,,38,"Game-Show,Reality-TV",6.9,222
tt0437005,tt0803662,1,5,S1,Day 5,Day 5,2005,,39,"Game-Show,Reality-TV",7.1,217
tt0437005,tt0803663,1,6,S1,Day 6,Day 6,2005,,40,"Game-Show,Reality-TV",7.0,215
tt0437005,tt0599439,1,7,S1,Day 7,Day 7,2005,,40,"Game-Show,Reality-TV",6.9,213
tt0437005,tt0803664,1,8,S1,Day 8,Day 8,2005,,40,"Game-Show,Reality-TV",7.0,208
tt0437005,tt0803665,1,9,S1,Day 9,Day 9,2005,,40,"Game-Show,Reality-TV",7.0,209
tt0437005,tt0803658,1,10,S1,Day 10,Day 10,2005,,81,"Game-Show,Reality-TV",7.2,200
tt0437005,tt0599438,1,11,S1,Day 11,Day 11,2005,,,"Game-Show,Reality-TV",7.4,200
tt0437005,tt0803657,2,1,S2,Day 1,Day 1,2006,,39,"Game-Show,Reality-TV",7.0,183
tt0437005,tt0910670,2,2,S2,Day 2,Day 2,2006,,39,"Game-Show,Reality-TV",6.9,168
tt0437005,tt0910671,2,3,S2,Day 3,Day 3,2006,,42,"Game-Show,Reality-TV",7.0,164
tt0437005,tt0910672,2,4,S2,Day 4,Day 4,2006,,40,"Game-Show,Reality-TV",7.1,162
tt0437005,tt0910673,2,5,S2,Day 5,Day 5,2006,,41,"Game-Show,Reality-TV",7.0,161
tt0437005,tt0910674,2,6,S2,Day 6,Day 6,2006,,40,"Game-Show,Reality-TV",7.0,161
tt0437005,tt0910675,2,7,S2,Day 7,Day 7,2006,,40,"Game-Show,Reality-TV",7.0,157
tt0437005,tt0910676,2,8,S2,Day 8,Day 8,2006,,40,"Game-Show,Reality-TV",7.2,156
tt0437005,tt0910677,2,9,S2,Day 9,Day 9,2006,,16,"Game-Show,Reality-TV",7.1,159
tt0437005,tt0844785,2,10,S2,Day 10,Day 10,2006,,77,"Game-Show,Reality-TV",7.3,163
tt0437005,tt1046037,3,1,S3,Day One,Day One,2007,,41,"Game-Show,Reality-TV",7.0,166
tt0437005,tt1046042,3,2,S3,Day Two,Day Two,2007,,41,"Game-Show,Reality-TV",7.0,155
tt0437005,tt1046041,3,3,S3,Day Three,Day Three,2007,,42,"Game-Show,Reality-TV",6.9,150
tt0437005,tt1046035,3,4,S3,Day Four,Day Four,2007,,41,"Game-Show,Reality-TV",6.9,144
tt0437005,tt1046034,3,5,S3,Day Five,Day Five,2007,,41,"Game-Show,Reality-TV",6.9,144
tt0437005,tt1046039,3,6,S3,Day Six,Day Six,2007,,41,"Game-Show,Reality-TV",6.8,147
tt0437005,tt1046038,3,7,S3,Day Seven,Day Seven,2007,,41,"Game-Show,Reality-TV",6.8,141
tt0437005,tt1046033,3,8,S3,Day Eight,Day Eight,2007,,41,"Game-Show,Reality-TV",6.9,140
tt0437005,tt1046036,3,9,S3,Day Nine,Day Nine,2007,,41,"Game-Show,Reality-TV",6.8,136
tt0437005,tt1046040,3,10,S3,Day Ten,Day Ten,2007,,41,"Game-Show,Reality-TV",6.8,135
tt0437005,tt1084843,3,11,S3,Day 10: Part 2,Day 10: Part 2,2007,,41,"Game-Show,Reality-TV",7.1,142
tt0437005,tt1083911,4,1,S4,15 Chefs Compete,15 Chefs Compete,2008,,43,"Game-Show,Reality-TV",6.9,154
tt0437005,tt1083914,4,2,S4,14 Chefs Compete,14 Chefs Compete,2008,,41,"Game-Show,Reality-TV",6.9,137
tt0437005,tt1083915,4,3,S4,13 Chefs Compete,13 Chefs Compete,2008,,43,"Game-Show,Reality-TV",6.9,137
tt0437005,tt1083916,4,4,S4,12 Chefs Compete,12 Chefs Compete,2008,,40,"Game-Show,Reality-TV",6.8,137
tt0437005,tt1083917,4,5,S4,11 Chefs Compete,11 Chefs Compete,2008,,42,"Game-Show,Reality-TV",6.8,137
tt0437005,tt1083918,4,6,S4,10 Chefs Compete,10 Chefs Compete,2008,,43,"Game-Show,Reality-TV",6.8,140
tt0437005,tt1083919,4,7,S4,9 Chefs Compete,9 Chefs Compete,2008,,43,"Game-Show,Reality-TV",7.0,137
tt0437005,tt1083920,4,8,S4,8 Chefs Compete,8 Chefs Compete,2008,,43,"Game-Show,Reality-TV",6.8,132
tt0437005,tt1083921,4,9,S4,7 Chefs Compete,7 Chefs Compete,2008,,41,"Game-Show,Reality-TV",6.7,134
tt0437005,tt1083912,4,10,S4,6 Chefs Compete,6 Chefs Compete,2008,,41,"Game-Show,Reality-TV",6.9,133
