imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt1497563,tt1503678,1,1,S1,Jennifer & Ron/Jill,Jennifer & Ron/Jill,2009,,45,"Documentary,Reality-TV",7.0,67
tt1497563,tt1503680,1,2,S1,Linda/Steven,Linda/Steven,2009,,45,"Documentary,Reality-TV",6.3,48
tt1497563,tt1503683,1,3,S1,Tara/Betty,Tara/Betty,2009,,45,"Documentary,Reality-TV",6.5,38
tt1497563,tt1503677,1,4,S1,Jake/Shirley,Jake/Shirley,2009,,45,"Documentary,Reality-TV",6.7,47
tt1497563,tt1503679,1,5,S1,Kerrylea/Lauren,Kerrylea/Lauren,2009,,44,"Documentary,Reality-TV",6.2,39
tt1497563,tt1503681,1,6,S1,Patty/Bill,Patty/Bill,2009,,45,"Documentary,Reality-TV",7.0,40
tt1497563,tt1503682,1,7,S1,Paul/Missy and Alex,Paul/Missy and Alex,2009,,45,"Documentary,Reality-TV",6.9,39
tt1497563,tt1598254,2,1,S2,Augustine,Augustine,2009,,45,"Documentary,Reality-TV",7.3,32
tt1497563,tt1594723,2,2,S2,Judi/Gail,Judi/Gail,2009,,45,"Documentary,Reality-TV",6.7,29
tt1497563,tt1598256,2,3,S2,Chris/Dale,Chris/Dale,2009,,45,"Documentary,Reality-TV",6.3,23
tt1497563,tt1598255,2,4,S2,Bob/Richard,Bob/Richard,2009,,45,"Documentary,Reality-TV",6.7,27
tt1497563,tt1582296,2,5,S2,Julie/Shannon,Julie/Shannon,2009,,45,"Documentary,Reality-TV",6.5,30
tt1497563,tt1582295,2,6,S2,Deborah/Jim,Deborah/Jim,2010,,45,"Documentary,Reality-TV",6.7,29
tt1497563,tt1601028,2,7,S2,Linda/Todd,Linda/Todd,2010,,45,"Documentary,Reality-TV",6.3,26
tt1497563,tt1601026,2,8,S2,Janet/Christina,Janet/Christina,2010,,45,"Documentary,Reality-TV",6.5,26
tt1497563,tt1601025,2,9,S2,Gail/Warren,Gail/Warren,2010,,44,"Documentary,Reality-TV",6.7,26
tt1497563,tt1601029,2,10,S2,Tra/Jill,Tra/Jill,2010,,45,"Documentary,Reality-TV",6.3,29
tt1497563,tt1601027,2,11,S2,June/Doug,June/Doug,2010,,45,"Documentary,Reality-TV",6.5,25
tt1497563,tt1601349,2,12,S2,Dennis & Nadene/Erin & Malinda,Dennis & Nadene/Erin & Malinda,2010,,45,"Documentary,Reality-TV",6.5,26
tt1497563,tt1680881,2,13,S2,Claudie,Claudie,2010,,45,"Documentary,Reality-TV",7.1,27
tt1497563,tt1680882,2,14,S2,Michelle/Kim,Michelle/Kim,2010,,45,"Documentary,Reality-TV",6.8,22
tt1497563,tt1680880,2,15,S2,"Betty, Jill, Jake, Bill & Paul Update","Betty, Jill, Jake, Bill & Paul Update",2010,,45,"Documentary,Reality-TV",7.1,23
tt1497563,tt1721949,3,1,S3,Adella/Teri,Adella/Teri,2010,,45,"Documentary,Reality-TV",7.1,22
tt1497563,tt1721951,3,2,S3,Gordon & Gaye/Sir Patrick,Gordon & Gaye/Sir Patrick,2010,,45,"Documentary,Reality-TV",8.2,13
tt1497563,tt1721950,3,3,S3,Carolyn/Jo,Carolyn/Jo,2010,,45,"Documentary,Reality-TV",7.2,18
tt1497563,tt1721952,3,4,S3,Robin/Ken,Robin/Ken,2010,,45,"Documentary,Reality-TV",6.9,27
tt1497563,tt1762703,3,5,S3,Laura/Penny,Laura/Penny,2010,,45,"Documentary,Reality-TV",7.2,18
tt1497563,tt1749939,3,6,S3,Vula/Lisa,Vula/Lisa,2010,,44,"Documentary,Reality-TV",7.6,21
tt1497563,tt1763582,3,7,S3,Kathleen/Margree,Kathleen/Margree,2010,,43,"Documentary,Reality-TV",6.6,15
tt1497563,tt1814060,3,8,S3,Dawn/Linda,Dawn/Linda,2010,,54,"Documentary,Reality-TV",6.8,17
tt1497563,tt1825335,3,9,S3,Tami/George,Tami/George,2010,,45,"Documentary,Reality-TV",6.9,20
tt1497563,tt1747089,3,10,S3,Mary Lynn/Ingrid,Mary Lynn/Ingrid,2010,,44,"Documentary,Reality-TV",6.5,17
tt1497563,tt1749938,3,11,S3,Theresa/Karen,Theresa/Karen,2010,,44,"Documentary,Reality-TV",7.2,19
tt1497563,tt1757153,3,12,S3,Al/Julie,Al/Julie,2010,,44,"Documentary,Reality-TV",7.1,20
tt1497563,tt1763583,3,13,S3,Lloyd/Carol,Lloyd/Carol,2010,,44,"Documentary,Reality-TV",6.9,16
tt1497563,tt1814059,3,14,S3,Arline/Carolyn,Arline/Carolyn,2010,,44,"Documentary,Reality-TV",7.3,20
tt1497563,tt1825333,3,15,S3,Jim/Susan,Jim/Susan,2010,,44,"Documentary,Reality-TV",6.9,18
tt1497563,tt1825330,3,16,S3,Andrew/Shania,Andrew/Shania,2010,,44,"Documentary,Reality-TV",6.7,17
tt1497563,tt1825329,3,17,S3,Andrew/Lydia,Andrew/Lydia,2010,,44,"Documentary,Reality-TV",7.1,18
tt1497563,tt1825334,3,18,S3,Mary/Mary Ann,Mary/Mary Ann,2010,,44,"Documentary,Reality-TV",6.8,13
tt1497563,tt1825332,3,19,S3,Hanna/Kathy & Gary,Hanna/Kathy & Gary,2011,,44,"Documentary,Reality-TV",7.9,24
tt1497563,tt1825331,3,20,S3,Glen/Lisa,Glen/Lisa,2011,,44,"Documentary,Reality-TV",7.2,19
tt1497563,tt1958692,4,1,S4,Phyllis/Janet,Phyllis/Janet,2011,,44,"Documentary,Reality-TV",7.1,26
tt1497563,tt1965757,4,2,S4,Billy Bob/Jean,Billy Bob/Jean,2011,,44,"Documentary,Reality-TV",6.2,22
tt1497563,tt2043145,4,3,S4,"Season #2 Follow-Up: Augustine, Judi, Dennis/Nadene, Bob & Deborah","Season #2 Follow-Up: Augustine, Judi, Dennis/Nadene, Bob & Deborah",2011,,44,"Documentary,Reality-TV",6.9,17
tt1497563,tt1979739,4,4,S4,Roy/Loretta,Roy/Loretta,2011,,44,"Documentary,Reality-TV",6.9,18
tt1497563,tt2039764,4,5,S4,Randy/Vicki,Randy/Vicki,2011,,44,"Documentary,Reality-TV",6.7,16
tt1497563,tt1990577,4,6,S4,Ron/Carol,Ron/Carol,2011,,44,"Documentary,Reality-TV",6.7,20
tt1497563,tt1997773,4,7,S4,Beverly/Megan,Beverly/Megan,2011,,43,"Documentary,Reality-TV",6.3,17
tt1497563,tt2005641,4,8,S4,Becky/Clare,Becky/Clare,2011,,44,"Documentary,Reality-TV",6.2,21
tt1497563,tt2010004,4,9,S4,Stacey/Roi,Stacey/Roi,2011,,44,"Documentary,Reality-TV",6.7,18
tt1497563,tt2016492,4,10,S4,Lisa/Bertha,Lisa/Bertha,2011,,44,"Documentary,Reality-TV",6.6,15
tt1497563,tt2043146,4,11,S4,"Season #3 Follow-Up: Vula, Al, Jim, Arline & Glen","Season #3 Follow-Up: Vula, Al, Jim, Arline & Glen",2011,,44,"Documentary,Reality-TV",6.7,16
tt1497563,tt2195077,4,12,S4,Kevin/Mary,Kevin/Mary,2011,,43,"Documentary,Reality-TV",6.8,19
tt1497563,tt2083540,4,13,S4,John/Vivian,John/Vivian,2011,,43,"Documentary,Reality-TV",6.5,18
