imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0460649,tt0606110,1,1,S1,Pilot,Pilot,2005,,22,"Comedy,Drama,Romance",8.4,8081
tt0460649,tt0606111,1,2,S1,Purple Giraffe,Purple Giraffe,2005,,22,"Comedy,Drama,Romance",8.0,6268
tt0460649,tt0606117,1,3,S1,The Sweet Taste of Liberty,The Sweet Taste of Liberty,2005,,22,"Comedy,Drama,Romance",8.0,5951
tt0460649,tt0606112,1,4,S1,Return of the Shirt,Return of the Shirt,2005,,22,"Comedy,Drama,Romance",7.8,5584
tt0460649,tt0606109,1,5,S1,Okay Awesome,Okay Awesome,2005,,22,"Comedy,Drama,Romance",8.1,5710
tt0460649,tt0606116,1,6,S1,The Slutty Pumpkin,The Slutty Pumpkin,2005,,23,"Comedy,Drama,Romance",7.9,5531
tt0460649,tt0606108,1,7,S1,Matchmaker,Matchmaker,2005,,23,"Comedy,Drama,Romance",7.5,5217
tt0460649,tt0606113,1,8,S1,The Duel,The Duel,2005,,22,"Comedy,Drama,Romance",8.0,5186
tt0460649,tt0606104,1,9,S1,Belly Full of Turkey,Belly Full of Turkey,2005,,22,"Comedy,Drama,Romance",7.9,5163
tt0460649,tt0606115,1,10,S1,The Pineapple Incident,The Pineapple Incident,2005,,23,"Comedy,Drama,Romance",9.1,7719
tt0460649,tt0606114,1,11,S1,The Limo,The Limo,2005,,23,"Comedy,Drama,Romance",8.2,5454
tt0460649,tt0606118,1,12,S1,The Wedding,The Wedding,2006,,23,"Comedy,Drama,Romance",8.0,5059
tt0460649,tt0606106,1,13,S1,"Drumroll, Please","Drumroll, Please",2006,,23,"Comedy,Drama,Romance",8.7,5777
tt0460649,tt0606119,1,14,S1,"Zip, Zip, Zip","Zip, Zip, Zip",2006,,23,"Comedy,Drama,Romance",8.1,4960
tt0460649,tt0606107,1,15,S1,Game Night,Game Night,2006,,23,"Comedy,Drama,Romance",9.0,6434
tt0460649,tt0606105,1,16,S1,Cupcake,Cupcake,2006,,22,"Comedy,Drama,Romance",7.7,4724
tt0460649,tt0756504,1,17,S1,Life Among the Gorillas,Life Among the Gorillas,2006,,23,"Comedy,Drama,Romance",7.5,4683
tt0460649,tt0606103,1,18,S1,Nothing Good Happens After 2 AM,Nothing Good Happens After 2 AM,2006,,22,"Comedy,Drama,Romance",8.3,5204
tt0460649,tt0788623,1,19,S1,Mary the Paralegal,Mary the Paralegal,2006,,23,"Comedy,Drama,Romance",8.7,5519
tt0460649,tt0760776,1,20,S1,Best Prom Ever,Best Prom Ever,2006,,22,"Comedy,Drama,Romance",7.7,4655
tt0460649,tt0801608,1,21,S1,Milk,Milk,2006,,23,"Comedy,Drama,Romance",7.9,4707
tt0460649,tt0774239,1,22,S1,Come On,Come On,2006,,23,"Comedy,Drama,Romance",8.7,5724
tt0460649,tt0863640,2,1,S2,Where Were We?,Where Were We?,2006,,22,"Comedy,Drama,Romance",8.0,4655
tt0460649,tt0869673,2,2,S2,The Scorpion and the Toad,The Scorpion and the Toad,2006,,22,"Comedy,Drama,Romance",8.1,4540
tt0460649,tt0873024,2,3,S2,Brunch,Brunch,2006,,22,"Comedy,Drama,Romance",8.4,4745
tt0460649,tt0858000,2,4,S2,"Ted Mosby, Architect","Ted Mosby, Architect",2006,,22,"Comedy,Drama,Romance",8.7,5256
tt0460649,tt0866188,2,5,S2,World's Greatest Couple,World's Greatest Couple,2006,,23,"Comedy,Drama,Romance",8.7,5070
tt0460649,tt0865115,2,6,S2,Aldrin Justice,Aldrin Justice,2006,,23,"Comedy,Drama,Romance",8.0,4532
tt0460649,tt0875360,2,7,S2,Swarley,Swarley,2006,,23,"Comedy,Drama,Romance",8.9,6114
tt0460649,tt0885871,2,8,S2,Atlantic City,Atlantic City,2006,,23,"Comedy,Drama,Romance",7.8,4509
tt0460649,tt0885872,2,9,S2,Slap Bet,Slap Bet,2006,,23,"Comedy,Drama,Romance",9.4,8947
tt0460649,tt0892578,2,10,S2,Single Stamina,Single Stamina,2006,,23,"Comedy,Drama,Romance",8.0,4513
tt0460649,tt0904645,2,11,S2,How Lily Stole Christmas,How Lily Stole Christmas,2006,,23,"Comedy,Drama,Romance",7.9,4492
tt0460649,tt0897111,2,12,S2,First Time in New York,First Time in New York,2007,,23,"Comedy,Drama,Romance",8.0,4556
tt0460649,tt0924673,2,13,S2,Columns,Columns,2007,,23,"Comedy,Drama,Romance",7.7,4222
tt0460649,tt0933496,2,14,S2,Monday Night Football,Monday Night Football,2007,,22,"Comedy,Drama,Romance",8.3,4550
tt0460649,tt0946316,2,15,S2,Lucky Penny,Lucky Penny,2007,,30,"Comedy,Drama,Romance",8.2,4462
tt0460649,tt0943657,2,16,S2,Stuff,Stuff,2007,,23,"Comedy,Drama,Romance",8.3,4663
tt0460649,tt0969965,2,17,S2,"Arrivederci, Fiero","Arrivederci, Fiero",2007,,22,"Comedy,Drama,Romance",8.1,4496
tt0460649,tt0978049,2,18,S2,Moving Day,Moving Day,2007,,23,"Comedy,Drama,Romance",7.9,4196
tt0460649,tt0966112,2,19,S2,Bachelor Party,Bachelor Party,2007,,23,"Comedy,Drama,Romance",8.3,4458
tt0460649,tt0994245,2,20,S2,Showdown,Showdown,2007,,30,"Comedy,Drama,Romance",8.8,4897
tt0460649,tt0982196,2,21,S2,Something Borrowed,Something Borrowed,2007,,22,"Comedy,Drama,Romance",8.7,4652
tt0460649,tt1017766,2,22,S2,Something Blue,Something Blue,2007,,23,"Comedy,Drama,Romance",8.7,4749
tt0460649,tt1084790,3,1,S3,Wait for It,Wait for It,2007,,22,"Comedy,Drama,Romance",8.1,4567
tt0460649,tt1115217,3,2,S3,We're Not from Here,We're Not from Here,2007,,22,"Comedy,Drama,Romance",7.5,4120
tt0460649,tt1097293,3,3,S3,Third Wheel,Third Wheel,2007,,22,"Comedy,Drama,Romance",8.0,4327
tt0460649,tt1094834,3,4,S3,Little Boys,Little Boys,2007,,22,"Comedy,Drama,Romance",7.5,4094
tt0460649,tt1121411,3,5,S3,How I Met Everyone Else,How I Met Everyone Else,2007,,22,"Comedy,Drama,Romance",8.9,5620
tt0460649,tt1117436,3,6,S3,I'm Not That Guy,I'm Not That Guy,2007,,22,"Comedy,Drama,Romance",7.9,4064
tt0460649,tt1120228,3,7,S3,Dowisetrepla,Dowisetrepla,2007,,22,"Comedy,Drama,Romance",7.8,4108
tt0460649,tt1140904,3,8,S3,Spoiler Alert,Spoiler Alert,2007,,22,"Comedy,Drama,Romance",9.0,5727
tt0460649,tt1142665,3,9,S3,Slapsgiving,Slapsgiving,2007,,22,"Comedy,Drama,Romance",8.9,5385
tt0460649,tt1155839,3,10,S3,The Yips,The Yips,2007,,21,"Comedy,Drama,Romance",7.8,4158
tt0460649,tt1154186,3,11,S3,The Platinum Rule,The Platinum Rule,2007,,22,"Comedy,Drama,Romance",8.4,4360
tt0460649,tt1203040,3,12,S3,No Tomorrow,No Tomorrow,2008,,22,"Comedy,Drama,Romance",8.0,4192
tt0460649,tt1204516,3,13,S3,Ten Sessions,Ten Sessions,2008,,22,"Comedy,Drama,Romance",8.7,4951
tt0460649,tt1206872,3,14,S3,The Bracket,The Bracket,2008,,21,"Comedy,Drama,Romance",8.6,4448
tt0460649,tt1206866,3,15,S3,The Chain of Screaming,The Chain of Screaming,2008,,22,"Comedy,Drama,Romance",7.8,4010
tt0460649,tt1206867,3,16,S3,Sandcastles in the Sand,Sandcastles in the Sand,2008,,22,"Comedy,Drama,Romance",8.1,4403
tt0460649,tt1206868,3,17,S3,The Goat,The Goat,2008,,22,"Comedy,Drama,Romance",8.1,4089
tt0460649,tt1206869,3,18,S3,Rebound Bro,Rebound Bro,2008,,22,"Comedy,Drama,Romance",7.9,3986
tt0460649,tt1206870,3,19,S3,Everything Must Go,Everything Must Go,2008,,22,"Comedy,Drama,Romance",7.5,3955
tt0460649,tt1206871,3,20,S3,Miracles,Miracles,2008,,22,"Comedy,Drama,Romance",8.5,4396
tt0460649,tt1256606,4,1,S4,Do I Know You?,Do I Know You?,2008,,22,"Comedy,Drama,Romance",8.5,4529
tt0460649,tt1256181,4,2,S4,The Best Burger in New York,The Best Burger in New York,2008,,30,"Comedy,Drama,Romance",8.4,4844
tt0460649,tt1256185,4,3,S4,I Heart NJ,I Heart NJ,2008,,22,"Comedy,Drama,Romance",7.5,3976
tt0460649,tt1256186,4,4,S4,Intervention,Intervention,2008,,30,"Comedy,Drama,Romance",8.7,4747
tt0460649,tt1256187,4,5,S4,Shelter Island,Shelter Island,2008,,22,"Comedy,Drama,Romance",8.2,4214
tt0460649,tt1256188,4,6,S4,Happily Ever After,Happily Ever After,2008,,21,"Comedy,Drama,Romance",7.9,4005
tt0460649,tt1256189,4,7,S4,Not a Father's Day,Not a Father's Day,2008,,30,"Comedy,Drama,Romance",7.6,3889
tt0460649,tt1256190,4,8,S4,Woooo!,Woooo!,2008,,22,"Comedy,Drama,Romance",7.9,4133
tt0460649,tt1256191,4,9,S4,The Naked Man,The Naked Man,2008,,30,"Comedy,Drama,Romance",9.1,6434
tt0460649,tt1256171,4,10,S4,The Fight,The Fight,2008,,22,"Comedy,Drama,Romance",8.2,4145
tt0460649,tt1256172,4,11,S4,Little Minnesota,Little Minnesota,2008,,30,"Comedy,Drama,Romance",8.0,4073
tt0460649,tt1256173,4,12,S4,Benefits,Benefits,2009,,30,"Comedy,Drama,Romance",8.5,4386
tt0460649,tt1256174,4,13,S4,Three Days of Snow,Three Days of Snow,2009,,30,"Comedy,Drama,Romance",8.4,4341
tt0460649,tt1256175,4,14,S4,The Possimpible,The Possimpible,2009,,30,"Comedy,Drama,Romance",8.2,4124
tt0460649,tt1256176,4,15,S4,The Stinsons,The Stinsons,2009,,30,"Comedy,Drama,Romance",8.2,4228
tt0460649,tt1256177,4,16,S4,"Sorry, Bro","Sorry, Bro",2009,,30,"Comedy,Drama,Romance",7.6,3997
tt0460649,tt1256178,4,17,S4,The Front Porch,The Front Porch,2009,,30,"Comedy,Drama,Romance",8.2,4196
tt0460649,tt1256179,4,18,S4,Old King Clancy,Old King Clancy,2009,,30,"Comedy,Drama,Romance",7.4,3813
tt0460649,tt1256180,4,19,S4,Murtaugh,Murtaugh,2009,,30,"Comedy,Drama,Romance",8.3,4145
tt0460649,tt1256182,4,20,S4,Mosbius Designs,Mosbius Designs,2009,,30,"Comedy,Drama,Romance",7.4,3857
tt0460649,tt1256184,4,21,S4,The Three Days Rule,The Three Days Rule,2009,,30,"Comedy,Drama,Romance",8.6,4340
tt0460649,tt1256183,4,22,S4,Right Place Right Time,Right Place Right Time,2009,,30,"Comedy,Drama,Romance",8.1,4001
tt0460649,tt1410619,4,23,S4,As Fast as She Can,As Fast as She Can,2009,,30,"Comedy,Drama,Romance",7.5,3887
tt0460649,tt1425523,4,24,S4,The Leap,The Leap,2009,,30,"Comedy,Drama,Romance",8.6,4526
tt0460649,tt1491272,5,1,S5,Definitions,Definitions,2009,,30,"Comedy,Drama,Romance",8.4,4314
tt0460649,tt1510422,5,2,S5,Double Date,Double Date,2009,,30,"Comedy,Drama,Romance",8.0,3937
tt0460649,tt1520584,5,3,S5,Robin 101,Robin 101,2009,,22,"Comedy,Drama,Romance",8.2,4096
tt0460649,tt1523038,5,4,S5,The Sexless Innkeeper,The Sexless Innkeeper,2009,,22,"Comedy,Drama,Romance",7.8,4124
tt0460649,tt1523745,5,5,S5,Duel Citizenship,Duel Citizenship,2009,,30,"Comedy,Drama,Romance",7.6,3890
tt0460649,tt1531287,5,6,S5,Bagpipes,Bagpipes,2009,,30,"Comedy,Drama,Romance",7.6,3754
tt0460649,tt1536724,5,7,S5,The Rough Patch,The Rough Patch,2009,,30,"Comedy,Drama,Romance",7.6,3960
tt0460649,tt1541289,5,8,S5,The Playbook,The Playbook,2009,,30,"Comedy,Drama,Romance",9.3,8000
tt0460649,tt1541288,5,9,S5,Slapsgiving 2: Revenge of the Slap,Slapsgiving 2: Revenge of the Slap,2009,,22,"Comedy,Drama,Romance",7.8,4087
tt0460649,tt1553522,5,10,S5,The Window,The Window,2009,,30,"Comedy,Drama,Romance",8.0,4000
tt0460649,tt1559709,5,11,S5,Last Cigarette Ever,Last Cigarette Ever,2009,,30,"Comedy,Drama,Romance",7.7,4181
tt0460649,tt1570154,5,12,S5,Girls vs. Suits,Girls vs. Suits,2010,,30,"Comedy,Drama,Romance",9.0,6475
tt0460649,tt1570155,5,13,S5,Jenkins,Jenkins,2010,,30,"Comedy,Drama,Romance",8.5,4391
tt0460649,tt1576524,5,14,S5,Perfect Week,Perfect Week,2010,,30,"Comedy,Drama,Romance",8.7,4746
tt0460649,tt1589779,5,15,S5,Rabbit or Duck,Rabbit or Duck,2010,,30,"Comedy,Drama,Romance",7.9,3899
tt0460649,tt1595724,5,16,S5,Hooked,Hooked,2010,,30,"Comedy,Drama,Romance",7.6,3817
tt0460649,tt1609315,5,17,S5,Of Course,Of Course,2010,,30,"Comedy,Drama,Romance",8.2,4255
tt0460649,tt1610780,5,18,S5,Say Cheese,Say Cheese,2010,,30,"Comedy,Drama,Romance",8.1,3949
tt0460649,tt1624286,5,19,S5,Zoo or False,Zoo or False,2010,,30,"Comedy,Drama,Romance",7.4,3816
tt0460649,tt1631001,5,20,S5,Home Wreckers,Home Wreckers,2010,,30,"Comedy,Drama,Romance",7.7,3809
