imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0472954,tt0612823,1,1,S1,The Gang Gets Racist,The Gang Gets Racist,2005,,22,Comedy,8.1,6160
tt0472954,tt0612820,1,2,S1,Charlie Wants an Abortion,Charlie Wants an Abortion,2005,,22,Comedy,8.1,5457
tt0472954,tt0612824,1,3,S1,Underage Drinking: A National Concern,Underage Drinking: A National Concern,2005,,22,Comedy,8.2,5318
tt0472954,tt0612819,1,4,S1,Charlie Has Cancer,Charlie Has Cancer,2005,,23,Comedy,8.0,4932
tt0472954,tt0612822,1,5,S1,Gun Fever,Gun Fever,2005,,21,Comedy,7.8,4676
tt0472954,tt0612821,1,6,S1,The Gang Finds a Dead Guy,The Gang Finds a Dead Guy,2005,,22,Comedy,8.0,4579
tt0472954,tt0612818,1,7,S1,Charlie Got Molested,Charlie Got Molested,2005,,19,Comedy,8.4,4902
tt0472954,tt0786802,2,1,S2,Charlie Gets Crippled,Charlie Gets Crippled,2006,,23,Comedy,8.4,4835
tt0472954,tt0818156,2,2,S2,The Gang Goes Jihad,The Gang Goes Jihad,2006,,23,Comedy,8.5,4878
tt0472954,tt0818015,2,3,S2,Dennis and Dee Go on Welfare,Dennis and Dee Go on Welfare,2006,,22,Comedy,9.0,5673
tt0472954,tt0793926,2,4,S2,Mac Bangs Dennis' Mom,Mac Bangs Dennis' Mom,2006,,24,Comedy,9.2,6070
tt0472954,tt0789481,2,5,S2,Hundred Dollar Baby,Hundred Dollar Baby,2006,,23,Comedy,8.7,4932
tt0472954,tt0829804,2,6,S2,The Gang Gives Back,The Gang Gives Back,2006,,23,Comedy,8.3,4311
tt0472954,tt0833358,2,7,S2,The Gang Exploits a Miracle,The Gang Exploits a Miracle,2006,,23,Comedy,7.9,4048
tt0472954,tt0833359,2,8,S2,The Gang Runs for Office,The Gang Runs for Office,2006,,24,Comedy,7.9,3990
tt0472954,tt0826387,2,9,S2,Charlie Goes America All Over Everybody's Ass,Charlie Goes America All Over Everybody's Ass,2006,,22,Comedy,8.2,4094
tt0472954,tt0840884,2,10,S2,Dennis and Dee Get a New Dad,Dennis and Dee Get a New Dad,2006,,24,Comedy,8.5,4164
tt0472954,tt0792192,3,1,S3,The Gang Finds a Dumpster Baby,The Gang Finds a Dumpster Baby,2007,,23,Comedy,8.5,4452
tt0472954,tt1028236,3,2,S3,The Gang Gets Invincible,The Gang Gets Invincible,2007,,22,Comedy,8.6,4525
tt0472954,tt1028238,3,3,S3,Dennis and Dee's Mom Is Dead,Dennis and Dee's Mom Is Dead,2007,,30,Comedy,8.2,3892
tt0472954,tt1027449,3,4,S3,The Gang Gets Held Hostage,The Gang Gets Held Hostage,2007,,30,Comedy,8.9,4802
tt0472954,tt1111000,3,5,S3,The Aluminum Monster vs. Fatty Magoo,The Aluminum Monster vs. Fatty Magoo,2007,,23,Comedy,7.9,3852
tt0472954,tt1027450,3,6,S3,The Gang Solves the North Korea Situation,The Gang Solves the North Korea Situation,2007,,23,Comedy,8.3,3919
tt0472954,tt1115245,3,7,S3,The Gang Sells Out,The Gang Sells Out,2007,,23,Comedy,8.1,3630
tt0472954,tt1028242,3,8,S3,Frank Sets Sweet Dee on Fire,Frank Sets Sweet Dee on Fire,2007,,23,Comedy,8.4,3921
tt0472954,tt1124745,3,9,S3,Sweet Dee's Dating a Retarded Person,Sweet Dee's Dating a Retarded Person,2007,,21,Comedy,9.2,5820
tt0472954,tt1093876,3,10,S3,Mac Is a Serial Killer,Mac Is a Serial Killer,2007,,23,Comedy,9.0,4735
tt0472954,tt1028239,3,11,S3,Dennis Looks Like a Registered Sex Offender,Dennis Looks Like a Registered Sex Offender,2007,,23,Comedy,8.4,3705
tt0472954,tt1133002,3,12,S3,The Gang Gets Whacked: Part 1,The Gang Gets Whacked: Part 1,2007,,22,Comedy,8.1,3511
tt0472954,tt1136349,3,13,S3,The Gang Gets Whacked: Part 2,The Gang Gets Whacked: Part 2,2007,,23,Comedy,8.3,3543
tt0472954,tt1140907,3,14,S3,Bums: Making a Mess All Over the City,Bums: Making a Mess All Over the City,2007,,21,Comedy,8.5,3778
tt0472954,tt1141458,3,15,S3,The Gang Dances Their Asses Off,The Gang Dances Their Asses Off,2007,,22,Comedy,8.9,4463
