imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0983514,tt1001913,1,1,S1,Peter's,Peter's,2007,,43,Reality-TV,7.3,384
tt0983514,tt1055693,1,2,S1,Dillons,Dillons,2007,,43,Reality-TV,7.5,344
tt0983514,tt1055694,1,3,S1,The Mixing Bowl,The Mixing Bowl,2007,,43,Reality-TV,7.1,306
tt0983514,tt1055695,1,4,S1,Seascape,Seascape,2007,,43,Reality-TV,7.0,286
tt0983514,tt1044440,1,5,S1,The Olde Stone Mill,The Olde Stone Mill,2007,,43,Reality-TV,7.0,283
tt0983514,tt1109160,1,6,S1,Sebastian's,Sebastian's,2007,,43,Reality-TV,7.5,350
tt0983514,tt1109161,1,7,S1,Finn McCool's,Finn McCool's,2007,,43,Reality-TV,7.1,290
tt0983514,tt1109162,1,8,S1,Lela's,Lela's,2007,,43,Reality-TV,7.1,290
tt0983514,tt1109163,1,9,S1,Campania,Campania,2007,,43,Reality-TV,6.9,259
tt0983514,tt1109159,1,10,S1,The Secret Garden,The Secret Garden,2007,,43,Reality-TV,7.0,290
tt0983514,tt1248608,2,1,S2,Revisited: Gordon Returns,Revisited: Gordon Returns,2008,,85,Reality-TV,6.3,192
tt0983514,tt1248613,2,2,S2,Handlebar,Handlebar,2008,,43,Reality-TV,6.6,254
tt0983514,tt1248614,2,3,S2,Giuseppi's,Giuseppi's,2008,,43,Reality-TV,6.9,214
tt0983514,tt1248615,2,4,S2,Trobiano's,Trobiano's,2008,,43,Reality-TV,6.8,239
tt0983514,tt1248616,2,5,S2,Black Pearl,Black Pearl,2008,,43,Reality-TV,7.1,241
tt0983514,tt1248617,2,6,S2,J Willy's,J Willy's,2008,,43,Reality-TV,6.7,223
tt0983514,tt1248618,2,7,S2,Hannah & Mason's,Hannah & Mason's,2008,,43,Reality-TV,6.6,219
tt0983514,tt1248619,2,8,S2,Jack's on Waterfront,Jack's on Waterfront,2008,,43,Reality-TV,6.9,218
tt0983514,tt1248620,2,9,S2,Sabatiello's,Sabatiello's,2008,,43,Reality-TV,6.8,208
tt0983514,tt1248609,2,10,S2,Fiesta Sunrise,Fiesta Sunrise,2008,,43,Reality-TV,7.0,237
tt0983514,tt1331207,2,11,S2,Sante la Brea,Sante la Brea,2008,,43,Reality-TV,6.8,192
tt0983514,tt1248611,2,12,S2,Cafe 36,Cafe 36,2009,,43,Reality-TV,6.7,190
tt0983514,tt1248612,3,1,S3,Hot Potato Cafe,Hot Potato Cafe,2010,,43,Reality-TV,7.3,235
tt0983514,tt1585355,3,2,S3,Flamango's,Flamango's,2010,,43,Reality-TV,6.9,214
tt0983514,tt1588045,3,3,S3,Bazzini,Bazzini,2010,,43,Reality-TV,6.8,206
tt0983514,tt1603629,3,4,S3,Mojito,Mojito,2010,,43,Reality-TV,7.0,206
tt0983514,tt1605280,3,5,S3,Lido di Manhattan Beach,Lido di Manhattan Beach,2010,,43,Reality-TV,7.0,203
tt0983514,tt1609319,3,6,S3,Le Bistro,Le Bistro,2010,,43,Reality-TV,7.1,195
tt0983514,tt1609320,3,7,S3,Casa Roma,Casa Roma,2010,,43,Reality-TV,7.0,199
tt0983514,tt1613554,3,8,S3,Mama Rita's,Mama Rita's,2010,,43,Reality-TV,6.8,192
tt0983514,tt1617421,3,9,S3,Anna Vincenzo's,Anna Vincenzo's,2010,,43,Reality-TV,6.9,193
tt0983514,tt1629036,3,10,S3,Revisited #2,Revisited #2,2010,,43,Reality-TV,6.3,135
tt0983514,tt1644785,3,11,S3,Fleming,Fleming,2010,,43,Reality-TV,6.6,168
tt0983514,tt1648551,3,12,S3,Sushi Ko,Sushi Ko,2010,,43,Reality-TV,7.2,203
tt0983514,tt1652161,3,13,S3,Revisited #3,Revisited #3,2010,,43,Reality-TV,6.3,132
tt0983514,tt1816224,4,1,S4,Spanish Pavillion,Spanish Pavillion,2011,,43,Reality-TV,7.0,218
tt0983514,tt1818852,4,2,S4,Classic American,Classic American,2011,,43,Reality-TV,7.0,220
tt0983514,tt1823928,4,3,S4,PJ's Steakhouse,PJ's Steakhouse,2011,,43,Reality-TV,6.7,178
tt0983514,tt1831144,4,4,S4,Revisited #4,Revisited #4,2011,,43,Reality-TV,6.6,136
tt0983514,tt1835281,4,5,S4,Grasshopper Also,Grasshopper Also,2011,,43,Reality-TV,6.7,168
tt0983514,tt1835280,4,6,S4,Davide,Davide,2011,,43,Reality-TV,7.0,180
tt0983514,tt1850097,4,7,S4,DownCity,DownCity,2011,,43,Reality-TV,7.4,222
tt0983514,tt1857142,4,8,S4,Revisited #5,Revisited #5,2011,,43,Reality-TV,6.7,130
tt0983514,tt1863777,4,9,S4,Cafe Tavolini,Cafe Tavolini,2011,,43,Reality-TV,6.6,169
tt0983514,tt1888188,4,10,S4,Kingston Café,Kingston Café,2011,,43,Reality-TV,7.0,190
