imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0090466,tt0091368,1,1,S1,Pilot,Pilot,1986,,97,Drama,7.8,381
tt0090466,tt0624148,1,2,S1,"Those Lips, That Eye","Those Lips, That Eye",1986,,48,Drama,7.6,110
tt0090466,tt0624133,1,3,S1,The House of the Rising Flan,The House of the Rising Flan,1986,,48,Drama,7.3,100
tt0090466,tt0624141,1,4,S1,The Princess and the Wiener King,The Princess and the Wiener King,1986,,48,Drama,7.7,88
tt0090466,tt0624107,1,5,S1,Simian Chanted Evening,Simian Chanted Evening,1986,,48,Drama,7.3,74
tt0090466,tt0624109,1,6,S1,Slum Enchanted Evening,Slum Enchanted Evening,1986,,48,Drama,7.6,80
tt0090466,tt0624096,1,7,S1,Raiders of the Lost Bark,Raiders of the Lost Bark,1986,,48,Drama,7.9,69
tt0090466,tt0624042,1,8,S1,Gibbon Take,Gibbon Take,1986,,48,Drama,7.8,77
tt0090466,tt0624145,1,9,S1,The Venus Butterfly,The Venus Butterfly,1986,,48,Drama,8.2,105
tt0090466,tt0624040,1,10,S1,Fry Me to the Moon,Fry Me to the Moon,1986,,48,Drama,7.5,64
tt0090466,tt0624030,1,11,S1,El Sid,El Sid,1986,,48,Drama,7.4,63
tt0090466,tt0624104,1,12,S1,"Sidney, the Dead-Nosed Reindeer","Sidney, the Dead-Nosed Reindeer",1986,,49,Drama,7.9,70
tt0090466,tt0624094,1,13,S1,Prince Kuzak in a Can,Prince Kuzak in a Can,1987,,48,Drama,7.3,59
tt0090466,tt0624128,1,14,S1,The Douglas Fur Ball,The Douglas Fur Ball,1987,,48,Drama,7.2,58
tt0090466,tt0624024,1,15,S1,December Bribe,December Bribe,1987,,48,Drama,7.3,59
tt0090466,tt0624007,1,16,S1,Beef Jerky,Beef Jerky,1987,,49,Drama,7.4,67
tt0090466,tt0624006,1,17,S1,Becker on the Rox,Becker on the Rox,1987,,48,Drama,7.5,58
tt0090466,tt0624035,1,18,S1,Fifty Ways to Floss Your Lover,Fifty Ways to Floss Your Lover,1987,,49,Drama,7.7,55
tt0090466,tt0624131,1,19,S1,The Grace of Wrath,The Grace of Wrath,1987,,48,Drama,7.4,63
tt0090466,tt0624113,1,20,S1,Sparky Brackman R.I.P. ????-1987,Sparky Brackman R.I.P. ????-1987,1987,,48,Drama,7.3,60
tt0090466,tt0624086,1,21,S1,Oy Vey! Wilderness!,Oy Vey! Wilderness!,1987,,48,Drama,7.0,58
tt0090466,tt0624091,1,22,S1,Pigmalion,Pigmalion,1987,,48,Drama,7.3,53
tt0090466,tt0624135,2,1,S2,The Lung Goodbye,The Lung Goodbye,1987,,48,Drama,7.0,58
tt0090466,tt0624146,2,2,S2,The Wizard of Odds,The Wizard of Odds,1987,,48,Drama,7.6,63
tt0090466,tt0624014,2,3,S2,Cannon of Ethics,Cannon of Ethics,1987,,48,Drama,7.5,52
tt0090466,tt0624013,2,4,S2,Brackman Vasektimized,Brackman Vasektimized,1987,,48,Drama,6.9,53
tt0090466,tt0624127,2,5,S2,The Brothers Grimm,The Brothers Grimm,1987,,48,Drama,7.1,47
tt0090466,tt0623998,2,6,S2,Auld L'Anxiety,Auld L'Anxiety,1987,,48,Drama,7.2,49
tt0090466,tt0624099,2,7,S2,Rohner vs. Gradinger,Rohner vs. Gradinger,1987,,48,Drama,7.3,59
tt0090466,tt0624045,2,8,S2,Goldilocks and the Three Barristers,Goldilocks and the Three Barristers,1987,,48,Drama,7.0,52
tt0090466,tt0624026,2,9,S2,Divorce with Extreme Prejudice,Divorce with Extreme Prejudice,1987,,48,Drama,7.1,45
tt0090466,tt0624041,2,10,S2,Full Marital Jacket,Full Marital Jacket,1988,,48,Drama,7.7,60
tt0090466,tt0624047,2,11,S2,Gorilla My Dreams,Gorilla My Dreams,1988,,49,Drama,7.3,49
