imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt0411008,tt0636289,1,1,S1,Pilot: Part 1,Pilot: Part 1,2004,,42,"Adventure,Drama,Fantasy",9.1,17916
tt0411008,tt0636290,1,2,S1,Pilot: Part 2,Pilot: Part 2,2004,,40,"Adventure,Drama,Fantasy",9.1,12698
tt0411008,tt0636294,1,3,S1,Tabula Rasa,Tabula Rasa,2004,,43,"Adventure,Drama,Fantasy",8.3,10072
tt0411008,tt0636300,1,4,S1,Walkabout,Walkabout,2004,,42,"Adventure,Drama,Fantasy",9.0,11431
tt0411008,tt0636303,1,5,S1,White Rabbit,White Rabbit,2004,,42,"Adventure,Drama,Fantasy",8.3,9174
tt0411008,tt0636284,1,6,S1,House of the Rising Sun,House of the Rising Sun,2004,,42,"Adventure,Drama,Fantasy",8.0,8962
tt0411008,tt0636298,1,7,S1,The Moth,The Moth,2004,,43,"Adventure,Drama,Fantasy",8.3,9009
tt0411008,tt0636275,1,8,S1,Confidence Man,Confidence Man,2004,,43,"Adventure,Drama,Fantasy",8.6,9164
tt0411008,tt0636292,1,9,S1,Solitary,Solitary,2004,,43,"Adventure,Drama,Fantasy",8.4,8588
tt0411008,tt0636291,1,10,S1,Raised by Another,Raised by Another,2004,,42,"Adventure,Drama,Fantasy",8.5,8721
tt0411008,tt0636272,1,11,S1,All the Best Cowboys Have Daddy Issues,All the Best Cowboys Have Daddy Issues,2004,,42,"Adventure,Drama,Fantasy",8.8,8863
tt0411008,tt0636302,1,12,S1,Whatever the Case May Be,Whatever the Case May Be,2005,,43,"Adventure,Drama,Fantasy",7.8,8331
tt0411008,tt0636282,1,13,S1,Hearts and Minds,Hearts and Minds,2005,,43,"Adventure,Drama,Fantasy",8.0,8178
tt0411008,tt0636293,1,14,S1,Special,Special,2005,,43,"Adventure,Drama,Fantasy",8.0,8009
tt0411008,tt0636283,1,15,S1,Homecoming,Homecoming,2005,,41,"Adventure,Drama,Fantasy",8.2,8094
tt0411008,tt0636288,1,16,S1,Outlaws,Outlaws,2005,,43,"Adventure,Drama,Fantasy",8.5,8293
tt0411008,tt0636268,1,17,S1,...In Translation,...In Translation,2005,,43,"Adventure,Drama,Fantasy",8.3,8046
tt0411008,tt0636286,1,18,S1,Numbers,Numbers,2005,,43,"Adventure,Drama,Fantasy",9.0,9232
