imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt1442437,tt1444504,1,1,S1,Pilot,Pilot,2009,,23,"Comedy,Drama,Romance",8.2,5818
tt1442437,tt1492032,1,2,S1,The Bicycle Thief,The Bicycle Thief,2009,,30,"Comedy,Drama,Romance",8.1,4821
tt1442437,tt1520618,1,3,S1,Come Fly with Me,Come Fly with Me,2009,,21,"Comedy,Drama,Romance",7.9,4268
tt1442437,tt1523089,1,4,S1,The Incident,The Incident,2009,,21,"Comedy,Drama,Romance",8.1,4354
tt1442437,tt1530593,1,5,S1,Coal Digger,Coal Digger,2009,,21,"Comedy,Drama,Romance",8.2,4165
tt1442437,tt1523088,1,6,S1,Run for Your Wife,Run for Your Wife,2009,,21,"Comedy,Drama,Romance",7.7,3922
tt1442437,tt1530594,1,7,S1,En Garde,En Garde,2009,,20,"Comedy,Drama,Romance",7.9,3862
tt1442437,tt1530595,1,8,S1,Great Expectations,Great Expectations,2009,,21,"Comedy,Drama,Romance",7.8,3946
tt1442437,tt1528496,1,9,S1,Fizbo,Fizbo,2009,,21,"Comedy,Drama,Romance",8.6,4457
tt1442437,tt1536241,1,10,S1,Undeck the Halls,Undeck the Halls,2009,,21,"Comedy,Drama,Romance",8.0,3700
tt1442437,tt1536765,1,11,S1,Up All Night,Up All Night,2010,,21,"Comedy,Drama,Romance",7.9,3630
tt1442437,tt1581054,1,12,S1,Not in My House,Not in My House,2010,,21,"Comedy,Drama,Romance",7.7,3528
tt1442437,tt1569106,1,13,S1,Fifteen Percent,Fifteen Percent,2010,,21,"Comedy,Drama,Romance",7.9,3588
tt1442437,tt1580159,1,14,S1,Moon Landing,Moon Landing,2010,,21,"Comedy,Drama,Romance",8.0,3561
tt1442437,tt1583904,1,15,S1,My Funky Valentine,My Funky Valentine,2010,,21,"Comedy,Drama,Romance",8.6,4033
tt1442437,tt1594366,1,16,S1,Fears,Fears,2010,,21,"Comedy,Drama,Romance",7.8,3377
tt1442437,tt1596476,1,17,S1,Truth Be Told,Truth Be Told,2010,,21,"Comedy,Drama,Romance",7.8,3389
tt1442437,tt1615677,1,18,S1,Starry Night,Starry Night,2010,,21,"Comedy,Drama,Romance",8.0,3393
tt1442437,tt1617483,1,19,S1,Game Changer,Game Changer,2010,,21,"Comedy,Drama,Romance",7.8,3343
tt1442437,tt1625484,1,20,S1,Benched,Benched,2010,,21,"Comedy,Drama,Romance",7.6,3252
tt1442437,tt1625485,1,21,S1,Travels with Scout,Travels with Scout,2010,,22,"Comedy,Drama,Romance",7.7,3273
tt1442437,tt1643884,1,22,S1,Airport 2010,Airport 2010,2010,,21,"Comedy,Drama,Romance",8.2,3450
tt1442437,tt1643885,1,23,S1,Hawaii,Hawaii,2010,,21,"Comedy,Drama,Romance",8.5,3654
tt1442437,tt1624700,1,24,S1,Family Portrait,Family Portrait,2010,,21,"Comedy,Drama,Romance",8.6,3773
tt1442437,tt1627460,2,1,S2,The Old Wagon,The Old Wagon,2010,,21,"Comedy,Drama,Romance",7.9,3313
tt1442437,tt1627459,2,2,S2,The Kiss,The Kiss,2010,,21,"Comedy,Drama,Romance",8.0,3284
tt1442437,tt1627443,2,3,S2,Earthquake,Earthquake,2010,,21,"Comedy,Drama,Romance",7.7,3199
tt1442437,tt1627454,2,4,S2,Strangers on a Treadmill,Strangers on a Treadmill,2010,,21,"Comedy,Drama,Romance",7.9,3119
tt1442437,tt1627461,2,5,S2,Unplugged,Unplugged,2010,,21,"Comedy,Drama,Romance",8.1,3211
tt1442437,tt1627464,2,6,S2,Halloween,Halloween,2010,,21,"Comedy,Drama,Romance",8.5,3506
tt1442437,tt1627458,2,7,S2,Chirp,Chirp,2010,,21,"Comedy,Drama,Romance",7.6,3049
tt1442437,tt1627445,2,8,S2,Manny Get Your Gun,Manny Get Your Gun,2010,,20,"Comedy,Drama,Romance",8.3,3439
tt1442437,tt1627462,2,9,S2,Mother Tucker,Mother Tucker,2010,,21,"Comedy,Drama,Romance",7.5,2973
tt1442437,tt1779206,2,10,S2,Dance Dance Revelation,Dance Dance Revelation,2010,,21,"Comedy,Drama,Romance",7.4,2980
tt1442437,tt1627446,2,11,S2,Slow Down Your Neighbors,Slow Down Your Neighbors,2011,,21,"Comedy,Drama,Romance",8.1,3239
tt1442437,tt1627444,2,12,S2,"Our Children, Ourselves","Our Children, Ourselves",2011,,21,"Comedy,Drama,Romance",7.8,3077
tt1442437,tt1627447,2,13,S2,Caught in the Act,Caught in the Act,2011,,21,"Comedy,Drama,Romance",8.9,4386
tt1442437,tt1627448,2,14,S2,Bixby's Back,Bixby's Back,2011,,21,"Comedy,Drama,Romance",8.1,3031
tt1442437,tt1627449,2,15,S2,Princess Party,Princess Party,2011,,21,"Comedy,Drama,Romance",7.5,2982
tt1442437,tt1836487,2,16,S2,Regrets Only,Regrets Only,2011,,21,"Comedy,Drama,Romance",8.0,3016
tt1442437,tt1841231,2,17,S2,Two Monkeys and a Panda,Two Monkeys and a Panda,2011,,21,"Comedy,Drama,Romance",7.6,2918
tt1442437,tt1627452,2,18,S2,Boys' Night,Boys' Night,2011,,21,"Comedy,Drama,Romance",8.2,3109
