imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt2202488,tt2224176,1,1,S1,Winter Is Coming,Winter Is Coming,2012,,44,"Reality-TV,Western",8.4,32
tt2202488,tt2237142,1,2,S1,Mayhem,Mayhem,2012,,43,"Reality-TV,Western",8.5,26
tt2202488,tt2217394,1,3,S1,Lost,Lost,2012,,44,"Reality-TV,Western",8.4,25
tt2202488,tt2277722,1,4,S1,Miles from Home,Miles from Home,2012,,42,"Reality-TV,Western",8.8,24
tt2202488,tt2292572,1,5,S1,Surviving Winter,Surviving Winter,2012,,43,"Reality-TV,Western",8.8,21
tt2202488,tt2292574,1,6,S1,Show Me the Money,Show Me the Money,2012,,44,"Reality-TV,Western",8.5,21
tt2202488,tt2278968,1,7,S1,The Final Stand,The Final Stand,2012,,44,"Reality-TV,Western",8.3,22
tt2202488,tt2292570,1,8,S1,This Is the End,This Is the End,2012,,44,"Reality-TV,Western",8.2,24
tt2202488,tt3129554,2,1,S2,Into the Wild,Into the Wild,2013,,44,"Reality-TV,Western",8.6,21
tt2202488,tt3129518,2,2,S2,The Night's Watch,The Night's Watch,2013,,44,"Reality-TV,Western",8.9,23
tt2202488,tt3010704,2,3,S2,Winter Strikes,Winter Strikes,2013,,44,"Reality-TV,Western",8.9,21
tt2202488,tt3136968,2,4,S2,Last Chance,Last Chance,2013,,44,"Reality-TV,Western",8.9,22
tt2202488,tt3042162,2,5,S2,Three Toes Returns,Three Toes Returns,2013,,44,"Reality-TV,Western",8.9,21
tt2202488,tt3117344,2,6,S2,Bloody Sunday,Bloody Sunday,2013,,44,"Reality-TV,Western",8.9,21
tt2202488,tt3075258,2,7,S2,No Way Out,No Way Out,2013,,43,"Reality-TV,Western",9.2,17
tt2202488,tt3344720,2,8,S2,Disaster Strikes,Disaster Strikes,2013,,44,"Reality-TV,Western",8.9,16
tt2202488,tt3344722,2,9,S2,End of the Line,End of the Line,2013,,44,"Reality-TV,Western",8.9,17
tt2202488,tt3177824,2,10,S2,Thin Ice,Thin Ice,2013,,44,"Reality-TV,Western",8.9,18
tt2202488,tt3153868,2,11,S2,Going for Broke,Going for Broke,2013,,44,"Reality-TV,Western",8.9,17
tt2202488,tt3159934,2,12,S2,Ticking Clock,Ticking Clock,2013,,44,"Reality-TV,Western",8.9,18
