imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt2152112,tt2189868,1,1,S1,Melissa's Story,Melissa's Story,2012,,44,Reality-TV,7.2,77
tt2152112,tt4325678,1,2,S1,Melissa's Story Part 2,Melissa's Story Part 2,2012,,43,Reality-TV,7.2,42
tt2152112,tt2187340,1,3,S1,Donald's Story,Donald's Story,2012,,44,Reality-TV,6.2,37
tt2152112,tt2182416,1,4,S1,Henry's Story,Henry's Story,2012,,44,Reality-TV,7.2,40
tt2152112,tt2243022,1,5,S1,Ashley's Story,Ashley's Story,2012,,44,Reality-TV,6.4,44
tt2152112,tt2216252,1,6,S1,Where Are They Now?,Where Are They Now?,2012,,85,Reality-TV,6.7,31
tt2152112,tt3465690,2,1,S2,Zsalynn's Story,Zsalynn's Story,2014,,43,Reality-TV,7.0,68
tt2152112,tt3480028,2,2,S2,Olivia's Story,Olivia's Story,2014,,43,Reality-TV,7.3,60
tt2152112,tt3480414,2,3,S2,Penny's Story,Penny's Story,2014,,44,Reality-TV,5.3,69
tt2152112,tt3480424,2,4,S2,Chuck's Story,Chuck's Story,2014,,44,Reality-TV,7.1,61
tt2152112,tt3480436,2,5,S2,Christina's Story,Christina's Story,2014,,44,Reality-TV,6.6,62
tt2152112,tt3480534,2,6,S2,Paula's Story,Paula's Story,2014,,43,Reality-TV,6.4,53
tt2152112,tt3480542,2,7,S2,James' Story,James' Story,2014,,43,Reality-TV,6.9,48
tt2152112,tt3485408,2,8,S2,Tara's Story,Tara's Story,2014,,44,Reality-TV,6.9,50
tt2152112,tt4337342,3,1,S3,Zsalynn and Christina,Zsalynn and Christina,2015,,42,Reality-TV,6.7,18
tt2152112,tt4353360,3,2,S3,Olivia and James,Olivia and James,2015,,42,Reality-TV,6.7,17
tt2152112,tt4373954,3,3,S3,Penny and Tara,Penny and Tara,2015,,42,Reality-TV,6.3,17
tt2152112,tt4396242,3,4,S3,Chuck and Paula,Chuck and Paula,2015,,41,Reality-TV,6.5,17
tt2152112,tt4401908,3,5,S3,Amber's Story,Amber's Story,2015,,42,Reality-TV,7.2,47
tt2152112,tt4418768,3,6,S3,Susan's Story,Susan's Story,2015,,42,Reality-TV,6.9,42
tt2152112,tt4437248,3,7,S3,Pauline's Story,Pauline's Story,2015,,43,Reality-TV,5.6,49
tt2152112,tt4456874,3,8,S3,Bettie Jo's Story,Bettie Jo's Story,2015,,43,Reality-TV,6.1,48
tt2152112,tt4473392,3,9,S3,Angel's Story,Angel's Story,2015,,42,Reality-TV,6.4,37
tt2152112,tt4503002,3,10,S3,Joe's Story,Joe's Story,2015,,42,Reality-TV,6.4,43
tt2152112,tt4514664,3,11,S3,Laura's Story,Laura's Story,2015,,43,Reality-TV,6.2,41
tt2152112,tt4531366,3,12,S3,Charity's Story,Charity's Story,2015,,43,Reality-TV,6.5,42
tt2152112,tt5358406,3,13,S3,Chay's Story,Chay's Story,2015,,42,Reality-TV,6.5,39
