imdb_series_id,imdb_episode_id,season_number,episode_number,season_label,episode_title,episode_title_original,episode_year,episode_air_date,runtime_minutes,genres,imdb_rating,imdb_votes
tt3007640,tt3019270,1,1,S1,The Jungle Curse,The Jungle Curse,2013,,43,"Adventure,Game-Show,Horror",6.9,138
tt3007640,tt3019272,1,2,S1,Terror in Tanzania,Terror in Tanzania,2013,,43,"Adventure,Game-Show,Horror",7.1,118
tt3007640,tt3040734,1,3,S1,Island from Hell,Island from Hell,2013,,41,"Adventure,Game-Show,Horror",7.3,109
tt3007640,tt3040740,1,4,S1,Punishment in Panama,Punishment in Panama,2013,,43,"Adventure,Game-Show,Horror",7.4,105
tt3007640,tt3063186,1,5,S1,Breaking Borneo,Breaking Borneo,2013,,43,"Adventure,Game-Show,Horror",6.8,88
tt3007640,tt3071142,1,6,S1,Beware the Bayou,Beware the Bayou,2013,,43,"Adventure,Game-Show,Horror",7.6,109
tt3007640,tt3094372,1,7,S1,Bares All,Bares All,2013,,42,"Adventure,Game-Show,Horror",6.4,69
tt3007640,tt3383094,1,8,S1,Double Jeopardy,Double Jeopardy,2013,,85,"Adventure,Game-Show,Horror",7.9,77
tt3007640,tt3572128,2,1,S2,Man vs. Amazon,Man vs. Amazon,2014,,63,"Adventure,Game-Show,Horror",8.2,93
tt3007640,tt3623976,2,2,S2,Damned in Africa,Damned in Africa,2014,,53,"Adventure,Game-Show,Horror",7.1,70
tt3007640,tt3642596,2,3,S2,Paradise Lost,Paradise Lost,2014,,42,"Adventure,Game-Show,Horror",6.5,66
tt3007640,tt3667084,2,4,S2,Mayan Misery,Mayan Misery,2014,,43,"Adventure,Game-Show,Horror",7.2,62
tt3007640,tt3675508,2,5,S2,The Pain Forest,The Pain Forest,2014,,42,"Adventure,Game-Show,Horror",7.2,62
tt3007640,tt3682482,2,6,S2,Meltdown in Bolivia,Meltdown in Bolivia,2014,,42,"Adventure,Game-Show,Horror",6.8,66
tt3007640,tt3711610,2,7,S2,"Bares All: Starvation, Snakes and Strife","Bares All: Starvation, Snakes and Strife",2014,,42,"Adventure,Game-Show,Horror",6.7,35
tt3007640,tt3865682,3,0,S3,New Season Exposed,New Season Exposed,2014,,41,"Adventure,Game-Show,Horror",6.8,33
