title,video_id,channel_title,channel_id,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
"Idiot Threatens Judge Judy, Then Gets Stuck Inside Courtoom!",YC4iOurQOMU,aerial0,UCKxCMTdW2-7s4Hi2crQgXoQ,2016-03-22T20:30:25Z,"Judge Judy lectures four men about gun ownership, who are being sued for shooting the Plaintiff's car with a gun.  After his stumpy friend gets thrown out of courtroom for trying to talk over Judge Judy, one idiot redneck subtly threaten's Judge Judy by saying, ""You better watch him.  You never know what people'll do these days.""  Judy rules against him, and asks Officer Bird to throw him out of the courtroom.  On his way out, Dummy gets stuck because he can't figure out whether to pull or push the doors.  ""Push!"" calls Bird.  Priceless!  Reminds me of this classic cartoon from ""The Far Side.""

Use my Chase Preferred Sapphire Referral code to take advantage of the 100K points they're giving now as a sign-up bonus! 
https://www.referyourchasecard.com/6b/J31V4M0D0R","Idiot,Judge Judy,Guns,Threatens,Angry Defendant,Redneck,Dumbass,Asshole,fucktard,Moron,Short,Thrown out,Dummy,Talking over judge judy,Agressive and Nasty,Gun ownership,IQ test,Stupid,Tard Bus,Midvale School for the Gifted,Shooting,Target Practice,Law Suit,2nd Ammendment,Second Ammendment,Gun Reform",23,10981158,52379,7883,PT2M23S,hd,public
New problem solved judge judy #shortsvideo #shortsfeed #youtubeshorts,lVCTh5NJyaA,Ahsan shahzad ,,2024-12-19T03:51:08Z,Judge judy New problem solved video #shortsvideo,"Judge judy New problem solved video,judge judy,judge,next part,New part,YouTube shorts,shortsfeed",22,4135,233,0,PT1M,hd,public
Baby Judge Judy:Borrowing $200 and not paying it back ðŸ¤”#judge #judy #judgejudy #judyjustice #shorts,2i4VwR-HXcE,Ai baby judge judy,UCQB3aqqkpwk-NRDvOWD-fww,2025-05-16T15:21:41Z,,,22,2048016,56418,1343,PT56S,hd,public
Judge Judy [Episode 9969] Best Amazing Cases Season 2O25 Full Episodes HD,DKj74kj3u1Q,AK Tina Music,,2024-12-20T04:06:51Z,"Judge Judy [Episode 9969] Best Amazing Cases Season 2O25 Full Episodes HD

judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season
judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season","judge judy 2022,judge judy,judge judy show,judge judy 2024,judge judy full episodes,judge judy episodes,judge judy sheindlin,judge judy full episodes 2023,byrd judge judy,watch judge judy,youtube judge judy,judge judy official,judge judy new,judge judy new case,judge judy season 2024,judge judy new episodes,judge judy amazing cases,judge judy new cases season,judge judy new season,judge judy 2023,judge judy cbs full episodes",24,4647,171,0,PT3H20M3S,hd,public
Judge Judy [Episode 9967] Best Amazing Cases Season 2O25 Full Episodes HD,zizCFJwKp3I,AK Tina Music,,2024-12-19T19:25:23Z,"Judge Judy [Episode 9967] Best Amazing Cases Season 2O25 Full Episodes HD

judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season
judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season",,24,5439,257,7,PT3H28M19S,hd,public
Judge Judy Drops a Truth BOMB on Trump Trial,g1o51GU3hZU,Amala Ekpunobi,,2024-07-02T00:09:10Z,"Join the Club: https://www.patreon.com/AmalaEkpunobi 

Watch or Listen on Spotify: https://open.spotify.com/show/3Zq6iX6bOQtNkcX9zlTa4G?si=536db43b1988481e 
Apple Podcasts: https://podcasts.apple.com/us/podcast/unapologetic-with-amala/id1519347166 

Follow Me on Social Media:  
Instagram: https://www.instagram.com/theamalaekpunobi 
TikTok: https://www.tiktok.com/@amalaekpunobi  
X: https://twitter.com/amalaekpunobi  
Facebook: https://www.facebook.com/TheAmalaEkpunobi/ 

Join My Discord Server: https://discord.gg/unapologetic",,24,219225,26635,600,PT1M,hd,public
[NEW] Judy Justice Season 3 Episode 14 | FULL EPISODES | Judy Justice Full Episode 2024,5c-s3Lc1s0E,Ao Beti Ko Sikhain,,2024-11-23T08:20:29Z,"#judy #judgejudy #judge
[NEW] Judy Justice Season 3 Episode 14 | FULL EPISODES | Judy Justice Full Episode 2024

The Judge rules on two cases in this episode. First, following an honorable discharge from the military, a teen seeks refuge with her aunt. Months later, she is labeled a â€˜burdenâ€™ and decides to move out. She sues for belongings left behind. Next, a dog lover is devastated when she entrusts 5 dogs to her groomer but only 4 are returned to her. She is told the dog â€˜escapedâ€™ and sues for damages.","judge judy,judge judy full episodes,judge judy show,judge judy episodes,judge judy 2023,judge judy 2024,judge judy amazing cases,judge judy sheindlin,judge judy new case,judge judy season 2024,judge judy episodes 2024,judge judy cbs full episodes,judge judy new season 2024,judge judy new season,judge judy full episodes 2024,judge judy new,judge judy new episodes,judge judy new cases season,judy justice,judge judy full episodes 2023,judge judy season 2023",24,23298,279,14,PT2H46M26S,hd,public
[NEW] Judy Justice Season 3 Episode 16 | FULL EPISODES | Judy Justice Full Episode 2024,ycWdad__ZrY,Ao Beti Ko Sikhain,,2024-11-29T08:02:08Z,"#judy #judgejudy #judge
[NEW] Judy Justice Season 3 Episode 16 | FULL EPISODES | Judy Justice Full Episode 2024

The Judge rules on two cases in this episode. First, following an honorable discharge from the military, a teen seeks refuge with her aunt. Months later, she is labeled a â€˜burdenâ€™ and decides to move out. She sues for belongings left behind. Next, a dog lover is devastated when she entrusts 5 dogs to her groomer but only 4 are returned to her. She is told the dog â€˜escapedâ€™ and sues for damages.","judge judy,judge judy full episodes,judge judy show,judge judy episodes,judge judy 2023,judge judy 2024,judge judy amazing cases,judge judy sheindlin,judge judy new case,judge judy season 2024,judge judy episodes 2024,judge judy cbs full episodes,judge judy new season 2024,judge judy new season,judge judy full episodes 2024,judge judy new,judge judy new episodes,judge judy new cases season,judy justice,judge judy full episodes 2023,judge judy season 2023",24,18332,256,11,PT2H54M19S,hd,public
Judge Judy lets loose on female abuser who played victim,M92SakbMQkA,BarStories,,2022-04-12T02:58:07Z,,"Judge Judy,Mens rights,Judy sheindlin",22,968712,32399,1675,PT1M,hd,public
"Judy Justice - ""Hustler"" refuses to leave courtroom after her case is dismissed!!",3mRiNAp13TM,Bits 'n Pieces,UCumYmrTCTWMRt0zS2gFV7hA,2022-04-11T00:14:52Z,"#JudyJustice #JudgeJudy
I own Nothing.
Clip Remains Property of Original Owners.","Judy Justice,Judge Judy,Clip,Tv,Show,episodes",24,3111760,26361,1710,PT3M28S,hd,public
Judge Judy [Episode 9967] Best Amazing Cases Season 2O25 Full Episodes HD,7FXBCQJhO3s,BOB,,2024-12-20T13:03:35Z,"Judge Judy [Episode 9967] Best Amazing Cases Season 2O25 Full Episodes HD

judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season
judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season","judge judy,judge judy episode,judge judy new,judge judy new episode,judge judy new episodes,judge judy full episodes,judge judy new full episode,judge judy full episode 2025,judge judy season 2024,judge judy best moments,judge judy new case,judge judy amazing,judge judy amazing cases,judge judy 2024,judge judy new cases season,Judge Judy TV,judy justice,judge judy cbs full episodes,judge judy show,judge judy 2025 full episodes,judge judy 2025",22,10252,262,17,PT2H11M24S,hd,public
Judge Judy [Episode 9961] Best Amazing Cases Season 2O25 Full Episodes HD,EGNu1EtlKpc,BOB,,2024-12-18T15:36:22Z,"Judge Judy [Episode 9961] Best Amazing Cases Season 2O25 Full Episodes HD

judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season
judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season","judge judy,judge judy episode,judge judy new,judge judy new episode,judge judy new episodes,judge judy full episodes,judge judy new full episode,judge judy full episode 2025,judge judy season 2024,judge judy best moments,judge judy new case,judge judy amazing,judge judy amazing cases,judge judy 2024,judge judy new cases season,Judge Judy TV,judy justice,judge judy cbs full episodes,judge judy show,judge judy 2025 full episodes,judge judy 2025",22,53762,511,53,PT2H9M,hd,public
Judge Judy [Episode 9964] Best Amazing Cases Season 2O25 Full Episodes HD,oun8T6AznPw,BOB,,2024-12-19T13:56:09Z,"Judge Judy [Episode 9964] Best Amazing Cases Season 2O25 Full Episodes HD

judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season
judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season","judge judy,judge judy episode,judge judy new,judge judy new episode,judge judy new episodes,judge judy full episodes,judge judy new full episode,judge judy full episode 2025,judge judy season 2024,judge judy best moments,judge judy new case,judge judy amazing,judge judy amazing cases,judge judy 2024,judge judy new cases season,Judge Judy TV,judy justice,judge judy cbs full episodes,judge judy show,judge judy 2025 full episodes,judge judy 2025",22,28506,314,60,PT2H9M29S,hd,public
Judge Judy [Episode 9963] Best Amazing Cases Season 2O25 Full Episodes HD,S6_sZPTef1Q,BOB,,2024-12-19T08:42:12Z,"Judge Judy [Episode 9963] Best Amazing Cases Season 2O25 Full Episodes HD

judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season
judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season","judge judy,judge judy episode,judge judy new,judge judy new episode,judge judy new episodes,judge judy full episodes,judge judy new full episode,judge judy full episode 2025,judge judy season 2024,judge judy best moments,judge judy new case,judge judy amazing,judge judy amazing cases,judge judy 2024,judge judy new cases season,Judge Judy TV,judy justice,judge judy cbs full episodes,judge judy show,judge judy 2025 full episodes,judge judy 2025",22,59026,598,105,PT2H9M40S,hd,public
Judge Judy [Episode 9965] Best Amazing Cases Season 2O25 Full Episodes HD,tHD1NfJMKaY,BOB,,2024-12-19T23:51:34Z,"Judge Judy [Episode 9965] Best Amazing Cases Season 2O25 Full Episodes HD

judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season
judge judy 2025, judge judy episode, judge judy new, judge judy new episode, judge judy new episodes, judge judy full episodes, judge judy new full episode, judge judy full episode 2025, judge judy season 2025, judge judy new season, judge judy best moments, judge judy new cases, judge judy new case, judge judy amazing, judge judy amazing cases, judge judy amazing 2025, judge judy new cases season","judge judy,judge judy episode,judge judy new,judge judy new episode,judge judy new episodes,judge judy full episodes,judge judy new full episode,judge judy full episode 2025,judge judy season 2024,judge judy best moments,judge judy new case,judge judy amazing,judge judy amazing cases,judge judy 2024,judge judy new cases season,Judge Judy TV,judy justice,judge judy cbs full episodes,judge judy show,judge judy 2025 full episodes,judge judy 2025",22,58665,484,48,PT2H7M49S,hd,public
