title,video_id,channel_title,channel_id,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
"Idiot Threatens Judge Judy, Then Gets Stuck Inside Courtoom!",YC4iOurQOMU,aerial0,UCKxCMTdW2-7s4Hi2crQgXoQ,2016-03-22T20:30:25Z,"Judge Judy lectures four men about gun ownership, who are being sued for shooting the Plaintiff's car with a gun.  After his stumpy friend gets thrown out of courtroom for trying to talk over Judge Judy, one idiot redneck subtly threaten's Judge Judy by saying, ""You better watch him.  You never know what people'll do these days.""  Judy rules against him, and asks Officer Bird to throw him out of the courtroom.  On his way out, Dummy gets stuck because he can't figure out whether to pull or push the doors.  ""Push!"" calls Bird.  Priceless!  Reminds me of this classic cartoon from ""The Far Side.""

Use my Chase Preferred Sapphire Referral code to take advantage of the 100K points they're giving now as a sign-up bonus! 
https://www.referyourchasecard.com/6b/J31V4M0D0R","Idiot,Judge Judy,Guns,Threatens,Angry Defendant,Redneck,Dumbass,Asshole,fucktard,Moron,Short,Thrown out,Dummy,Talking over judge judy,Agressive and Nasty,Gun ownership,IQ test,Stupid,Tard Bus,Midvale School for the Gifted,Shooting,Target Practice,Law Suit,2nd Ammendment,Second Ammendment,Gun Reform",23,10981158,52379,7883,PT2M23S,hd,public
Baby Judge Judy:Borrowing $200 and not paying it back 🤔#judge #judy #judgejudy #judyjustice #shorts,2i4VwR-HXcE,Ai baby judge judy,UCQB3aqqkpwk-NRDvOWD-fww,2025-05-16T15:21:41Z,,,22,2048016,56418,1343,PT56S,hd,public
"Judy Justice - ""Hustler"" refuses to leave courtroom after her case is dismissed!!",3mRiNAp13TM,Bits 'n Pieces,UCumYmrTCTWMRt0zS2gFV7hA,2022-04-11T00:14:52Z,"#JudyJustice #JudgeJudy
I own Nothing.
Clip Remains Property of Original Owners.","Judy Justice,Judge Judy,Clip,Tv,Show,episodes",24,3111760,26361,1710,PT3M28S,hd,public
Judge Judy SNAPS Throws Defendants Out of Court!👀😳 #short #shorts #court,j-E7HCFiiSo,Court Clips USA,UCsrf_xQQ9M6wmOQccjzND7w,2025-03-07T17:29:33Z,,,22,809503,16287,1691,PT58S,hd,public
Judy judge | Part 3 | #judge #judgejudy #childsupport #custody #judgevondab #courtcases #courtroom,AnsRnlcud4Q,Court room,UC2nQ-3Qp_Qw3CpGsaMyQPTw,2024-10-29T16:57:30Z,,,22,10558329,395249,7513,PT48S,hd,public
Judge Judy [Episode 11005] Best Amazing Cases Season 2025 Full Episodes HD,X5D-bQD384Q,Education of Jaydip,UCetaak4Z2fAGS9k80PxBTkw,2025-06-13T02:10:36Z,"Judge Judy [Episode 11005] Best Amazing Cases Season 2025 Full Episodes HD


#JudgeJudy #Judge #Judy #CBS #educationofjaydip
Judge Judy [Episode 11005] Best Amazing Cases Season 2025 Full Episodes HD

judge judy, judge judy full episodes, judge judy show, judge judy episodes, judge judy 2024, judge judy 2025, judge judy amazing cases, judge judy sheindlin, judge judy new case, judge judy season 2025, judge judy episodes 2025, judge judy cbs full episodes, judge judy new season 2025, judge judy new season, judge judy full episodes 2025, judge judy new,judge judy new episodes, judge judy new cases season, judy justice, judge judy full episodes 2024, judge judy season 2024.

Real Cases. Real People. Real Justice.

Whether she's calling out liars, delivering iconic one- liners, or dropping truth bombs, Judge Judy never holds back. If you love fast-paced courtroom action and hilarious legal battles, this is the show for you!

Don't miss out! Subscribe now and watch the drama unfold!

Thanks for watching!

#JudgeJudy #Judge #Judy #CBS


Judge Judy Goes Off! ⚖️ Lying Defendant Gets Exposed Instantly!

One of Judge Judy’s most unforgettable courtroom moments! In this intense case, she calls out a lying defendant with no hesitation and zero patience. 💥
Sharp, direct, and absolutely savage — this is Judge Judy at her finest!

👉 LIKE this video if you love courtroom drama
👉 COMMENT your thoughts below – do you agree with her judgment?
👉 SUBSCRIBE for more iconic moments from Judge Judy’s courtroom!

⚖️ This video is shared for entertainment, commentary, and educational purposes under Fair Use.
All rights belong to the original copyright holders.

📩 For copyright issues or business inquiries, please contact us through the email listed in the “About” section.

#JudgeJudy #CourtroomDrama #SavageJudge #JusticeServed #LyingDefendant #JudgeJudyMoments #CourtroomShow #IconicJudgments","2025 judge Judy,Education of jaydip,Episodes 11005,Full episode judge Judy,Judge Judy Full Episodes,Judy justice,New judge Judy,full episodes,jj,judge Judy,judge Judy Full Episodes 2025,judge judy,judy justice,#1105,#judgejudy11005",27,240607,1121,182,PT3H6M3S,hd,public
Judge Judy furiously rips into Emily Stewart and Ernie Mearki!,KD7IlwmEEFE,Guria Crocheteira e Arteira ,UCeskKNOjMN_iMHpojW_sXDg,2025-03-31T14:24:23Z,"Judge Judy furiously rips into Emily Stewart and Ernie Mearki!

Judge Judy is an American arbitration-based reality cross show presided over by retired Manhattan Family Court Judge Judith Sheindlin. 
Subscribe to Judge Judy on YouTube:
Thanks for watching !

judge judy,judge judy full episodes,judge judy show,judge judy episodes,judge judy 2024,judge judy 2025,judge judy amazing cases,judge judy sheindlin,judge judy new case,judge judy season 2025,judge judy episodes 2025,judge judy cbs full episodes,judge judy new season 2025,judge judy new season,judge judy full episodes 2025,judge judy new,judge judy new episodes,judge judy new cases season,judy justice,judge judy full episodes 2024,judge judy season 2024","judge judy season 2025,judge judy episodes,judge judy 2025,judge judy full episodes 2024,judge judy amazing,judy justice,judge judy old cases,judge judy 2024,judge judy show,judge judy new case,judge judy full episode 2025,judge judy cbs full episodes,judge judy sheindlin,judge judy new season,judy,judge judy new season 2025,judge judy,judge judy full episodes,judge judy full episodes 2025,judge judy full episodes old cases,judge judy amazing cases",22,524307,4690,464,PT19M46S,hd,public
Judge Judy is furious with the case of Henry Robichaud and Elizabeth Petersen Joshua Farley.,GYMcwZhPTVo,Guria Crocheteira e Arteira ,UCeskKNOjMN_iMHpojW_sXDg,2025-04-05T00:00:27Z,"Judge Judy is furious with the case of Henry Robichaud and Elizabeth Petersen Joshua Farley.

Judge Judy is an American arbitration-based reality cross show presided over by retired Manhattan Family Court Judge Judith Sheindlin. 
Subscribe to Judge Judy on YouTube:
Thanks for watching !

judge judy,judge judy full episodes,judge judy show,judge judy episodes,judge judy 2024,judge judy 2025,judge judy amazing cases,judge judy sheindlin,judge judy new case,judge judy season 2025,judge judy episodes 2025,judge judy cbs full episodes,judge judy new season 2025,judge judy new season,judge judy full episodes 2025,judge judy new,judge judy new episodes,judge judy new cases season,judy justice,judge judy full episodes 2024,judge judy season 2024","judge judy season 2025,judge judy episodes,judge judy 2025,judge judy full episodes 2024,judge judy amazing,judy justice,judge judy old cases,judge judy 2024,judge judy show,judge judy new case,judge judy full episode 2025,judge judy cbs full episodes,judge judy sheindlin,judge judy new season,judy,judge judy new season 2025,judge judy,judge judy full episodes,judge judy full episodes 2025,judge judy full episodes old cases,judge judy amazing cases",22,232846,1866,299,PT19M16S,hd,public
Judge Judy angrily argues while handling the case between Dynatashia Ware and Bernard Williams.,WrWYew3_Dbk,Jiayan Foodie,UC9_ujz7AuHXlCJMdQ00Pg7w,2025-05-02T14:28:18Z,"Judge Judy angrily argues while handling the case between Dynatashia Ware and Bernard Williams.

Judge Judy is an American arbitration-based reality cross show presided over by retired Manhattan Family Court Judge Judith Sheindlin. 
Subscribe to Judge Judy on YouTube:
Thanks for watching !

judge judy,judge judy full episodes,judge judy show,judge judy episodes,judge judy 2024,judge judy 2025,judge judy amazing cases,judge judy sheindlin,judge judy new case,judge judy season 2025,judge judy episodes 2025,judge judy cbs full episodes,judge judy new season 2025,judge judy new season,judge judy full episodes 2025,judge judy new,judge judy new episodes,judge judy new cases season,judy justice,judge judy full episodes 2024,judge judy season 2024","judge judy,judge judy full episodes,judge judy show,judge judy episodes,judge judy 2024,judge judy 2025,judge judy amazing cases,judge judy sheindlin,judge judy new case,judge judy season 2025,judge judy episodes 2025,judge judy cbs full episodes,judge judy new season 2025,judge judy new season,judge judy full episodes 2025,judge judy new,judge judy new episodes,judge judy new cases season,judy justice,judge judy full episodes 2024,judge judy season 2024",22,915999,7063,2622,PT21M19S,hd,public
Judge Judy gives litigant a gift!,j6mCBkjcD0k,JJ Justice,UCr04FYLbHjPQglEYwNIrWdg,2021-12-14T03:58:37Z,"Snippets of a 1996 case involving man and man's best friend.

No Copyright Infringement is intended. This video is not monetized and is shared for entertainment purposes only. This account claims no ownership of the contents of the video nor has any relation to the ""Judge Judy"" television program. ""Judge Judy"" and all content within that program title belong to CBS Media Ventures.",,22,2051918,42805,,PT4M47S,hd,public
