title,video_id,channel_title,channel_id,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Matlock | New Season Official Trailer | CBS,Vsux-o3TwCo,CBS,UClzCn8DxRSCuMFv_WfzkcrQ,2025-09-15T18:01:27Z,"Emmy and Academy Award winner Kathy Bates stars as Matty Matlock, a brilliant attorney who rejoins the work force at a prestigious law firm where she uses clever tactics to win cases while hiding a hidden agenda. Matty works for Olympia (Skye P. Marshall), a new partner, whose ex-husband Julian (Jason Ritter) is the son of the head of the firm. She works alongside the firm’s younger associates, Billy (David Del Rio) and Sarah (Leah Lewis). 

MATLOCK Premieres on a two-night even starting Sunday, October 12 (after 60 Minutes) and continues on Thursday, October 16 (9:00PM-10PM, ET/PT) part of CBS Premiere Week and streaming on Paramount+ (live and on-demand) for Paramount+ Premium plan subscribers, or on-demand for Paramount+ Essential subscribers the day after the episode airs). 

Follow “Matlock"" on TikTok HERE:   / MatlockCBS 
Follow ""Matlock"" on Instagram HERE:  /MatlockCBS  
Like ""Matlock"" on Facebook HERE:   /MatlockCBS  

Get new episodes of shows you love across devices the next day, stream live TV, and watch full seasons of CBS fan favorites anytime, anywhere with Paramount+. Try it free! https://www.paramountplus.com/home/    

Like Paramount+ on Facebook: https://bit.ly/PPlusFacebook  
Follow Paramount+ on X: https://bit.ly/PPlusOnX  
Follow Paramount+ on Instagram: https://bit.ly/PPlusInstagram  
Follow Paramount+ on Threads: https://bit.ly/PPlusThreads  
Follow Paramount+ on TikTok: https://bit.ly/PPlusTikTok  
  
With Paramount+ you can stream over 40,000 episodes and movies from CBS, BET, Comedy Central, MTV, Nickelodeon, Smithsonian Channel, Paramount Pictures, and Showtime including exclusive originals, live sports, and news. 

Plus, you can count on Paramount+ for the most iconic movies and the latest in live sports and news with your local CBS station, CBS News, CBS Sports HQ, and ET Live. 

Subscribe now and get streaming! https://bit.ly/SubscribeToPPlus 

#MatlockCBS","Matlock,CBS",24,5140177.0,1015.0,62.0,PT2M7S,hd,public
70살 할머니가 최고 로펌에 잠입한 충격적인 이유,aanHp3ws3ig,알쓸숏,UCrCA6bXAlHIneFeBqLaqfmQ,2025-11-10T01:20:00Z,"매일 말차를 사지만 한 모금도 마시지 않고, 
보안을 뚫고 최고 로펌 회의실에 침투한 할머니.
2주 수습 사원으로 시작했지만 
회사에 50억 원을 벌어다 주며 정식 채용됩니다.

하지만 퇴근 후 그녀의 진짜 모습은...
버스를 타고 한 정거장만 이동한 뒤,
대기하고 있던 고급 세단에 올라타
10캐럿 다이아 반지를 끼고
수백억대 저택으로 돌아갑니다.

가난한 미망인 변호사로 위장했지만
실제로는 초부유층 자산가였던 그녀.

그녀가 로펌에 잠입한 진짜 이유는 뭘까요?

미드 Matlock 2024 시즌1 에피소드1 파일럿 내용입니다.

#shorts #미드 #미드추천 #넷플릭스 #드라마추천 #반전 #Matlock",,22,3957996.0,29357.0,251.0,PT2M22S,hd,public
Matlock theme,SQgdfJoxX1s,spudtv,UCd31QhSNnRBTMo6Lm-Eb14w,2008-04-13T01:43:07Z,From Season 1,"Matlock,Andy,Griffith",24,1892623.0,7798.0,1595.0,PT1M1S,sd,public
표창만 9번 받은 베테랑 교사...진짜 정체 살해 피의자 '충격'  / KNN,5xEErQ7j4qA,KNN NEWS,UC1ifSsWUG241rRfK0ezYCgA,2025-08-30T04:00:05Z,"#knn뉴스 #표창 

온라인에 올라온 한 게시글이 큰 충격을 주고 있습니다. 
‘20년간 표창 9번 받은 베테랑 여교사’라는 글인데요. 

제보
카톡 : 'KNN' 친구추가
메일 : adknn@knn.co.kr

홈페이지 www.knn.co.kr
검색 : KNN","e뉴스,표창,교사,여교사,하늘이법,대전,대전 초등생,대전 교사",25,1642786.0,9203.0,2260.0,PT1M22S,hd,public
설명 할 수없는 외계인이 남긴 소름끼치는 시간여행의 흔적들,2Qr3kJijCvU,미스터리튜브,UC4kEFf5TemJXNZSF4LnNkfQ,2025-06-30T09:00:05Z,"#미스터리 #시간여행자
미스터리튜브 멤버쉽에 가입하시면 미공개 영상들을 시청하실 수 있습니다.
(가입 링크)
https://www.youtube.com/channel/UC4kEFf5TemJXNZSF4LnNkfQ/join

Credits :
Producer- Jin, Lee. 
Editor- Pil, Choi.
Narrator-  Hyunjoon, Ha.

0:00 시간여행자
18:23 마지막 생존자
26:32 비밀실험
35:08 타임큐브
42:42 고대문명 미스터리
50:40 다빈치
58:10 고대문명의 비밀
1:06:12 화성인
1:14:12 타임머신
1:21:52 외계인
1:30:21 2036년 예언
1:38:11 외계인 사건들
2:18:56 UFO 극비문서
2:57:41 NASA 비밀문서","프리메이슨,미스터리,수메르,괴베클리테베,이집트,고대이집트,초고대문명,고대문명,문명,역사,고대역사,외계인,UFO,테슬라,일론머스크",27,1501093.0,6480.0,145.0,PT3H8M22S,hd,public
"Kathy Bates on Losing 100 Lbs., ‘Matlock’ and Retirement Rumors | PEOPLE",vujIK4lgst8,People,UCGbQJy-531_5vfphay-rChQ,2024-10-09T16:15:03Z,"Kathy Bates talks to PEOPLE about losing 100 pounds, her new role on 'Matlock' and when she plans to retire from acting. She discusses her 6-year health journey and clears the air about Ozempic rumors: ""I lost about 80 pounds [without medication], and the last 15 or 20 is always the hardest, so when Ozempic came out, I thought 'OK' and I went to my doctor."" 

Subscribe to People ►► http://bit.ly/SubscribetoPeople 

*CONNECT*
Web: https://people.com 
Facebook: http://facebook.com/peoplemag 
Twitter: https://twitter.com/people 
Instagram: https://www.instagram.com/people/ 
TikTok: https://www.tiktok.com/@people

*PEOPLE* remains the trusted authority at the center of pop culture. The PEOPLE brand features a unique mix of breaking entertainment news, exclusive photos, video, unparalleled access to the red carpet, celebrities, and in-depth reporting on the most compelling newsmakers of our time. 

Kathy Bates on Losing 100 Lbs., ‘Matlock’ and Retirement Rumors | PEOPLE

https://www.youtube.com/user/people","People,people magazine,Kathy bates,kathy bates 2024,kathy bates interview,kathy bates weight loss,kathy bates retirement,kathy bates retire,kathy bates matlock,kathy bates matlock interview,Kathy bates ozempic,Kathy bates health,Kathy bates health journey,Kathy bates weight,kathy bates health,kathy bates 2024 interview,Kathy bates people,kathy bates people magazine,matlock,matlock 2024,new matlock,matlock kathy bates",24,1098824.0,19032.0,2041.0,PT11M38S,hd,public
Matlock in Manteo,4lK12Oa6IfM,Sea Creature Media,UCWb7kAj7GkedMDulsxh4fMg,2017-05-23T20:38:21Z,"This is not ""The Hunting Party"" 2-part episode in its entirety. This video highlights some of the locations on or near Roanoke Island used in the 1989 episode.

1:24 - aerial shots of Roanoke Island
1:35 - Dare County Regional Airport
2:35 - Old Dare County Courthouse, 300 Queen Elizabeth Avenue
3:58 - unknown wooded area
4:10 - Manteo Police Department 
4:36 - US HWY 64
5:29 - unknown residence
5:48 - unknown bar/restaurant
6:05 - US HWY 64
6:35 - unknown auto repair shop
7:46 - unknown residence
8:10 - dock of unknown residence
9:22 - unknown marsh area
9:55 - unknown restaurant
10:43 - unknown beach area on Outer Banks
12:45 - unknown hotel
13:12 - The Elizabethan Gardens (night)
15:22 - Old Dare County Courthouse
16:37 - unknown residence (Conrad's House)
17:46 - unknown restaurant
18:54 - unknown residence
19:18 - The Elizabethan Gardens (day)
19:52 - unknown outdoor cafe
20:48 - The Lost Colony Theatre
21:12 - unknown area on shore (Baggs' Bay? Biggs' Bay?)
23:16 - Manteo Waterfront Marina
25:59 - Old Dare County Courthouse

If you were an actor, extra, or member of the crew and have information about the locations used in this episode - please leave a comment. Sea Creature Media will be doing an updated video location guide in Manteo soon! Maybe Conrad will sing for all of us “Matlock” fans?

http://www.tylaum.com/",,19,811432.0,2573.0,162.0,PT28M45S,hd,public
서민인 줄 알았던 엄마가 재벌 2세라고!? 16년 간 정체를 숨긴 채 서민으로 살아가던 주부가 하루아침에 아버지의 회사를 상속받으면 벌어지는 일ㄷㄷ,VEIQj35NPwI,어바웃타임 (About time),UCxn_EHVOJnrEJBZY2p3E6Sg,2025-09-06T06:23:18Z,"😎드라마: 모나르카 시즌 1

🐱‍👤 어바웃타임 멤버십 가입
 🔗 https://www.youtube.com/channel/UCxn_EHVOJnrEJBZY2p3E6Sg/join
   *멤버십에 가입하시면 
🔥무삭제 영상🔥선공개 영상🔥결말포함 영상을 즐기실 수 있습니다.
---------------------------------------------------------
🐱‍👤 멤버십 가입 감사드립니다🐱‍👤 
-즐겁개 사시냥
-김문철
---------------------------------------------------------
🐱‍👤 비즈니스 문의: serendipityabout1@gmail.com

🔥2차 세계대전을 배경으로 베스트 셀러까지 됐던 소설 원작 드라마
👉https://youtu.be/f671xiAu96s

🔥(실화)2023년 최고의 작품이라 극찬 받았던 2차 세계대전 소재 띵작 드라마
👉https://youtu.be/hsQXqM67tIM

🔥소름끼치는 몰입감으로 1시간 삭제시켜 버리는 핵꿀잼 스릴러 드라마
👉https://youtu.be/flF_iwF5ZRM

🔥피 한방울로 5천억 투자받아낸 IQ180 천재 소시오패스 사기꾼
👉https://youtu.be/_EsFjP379OI

🔥당신의 3시간을 삭제시켜줄 핵꿀잼 띵작 SF드라마
👉https://youtu.be/hOroi5v39HE

#모나르카 #재벌 #엄마 #넷플릭스 #드라마","영화,영화리뷰,애니메이션,공포,액션,코미디,로맨스,스릴러,드라마,horror,action,comedy,romance,romantic comedy,thriller,drama,Netflix,넷플릭스,리뷰,영화순위",1,813705.0,4108.0,47.0,PT1H1M22S,hd,public
What Really Happened to Kathy Bates - Madeline Matlock from Matlock #matlock #kathybates #cbs,DGOpcJzCB80,Spotlight on Stars,UCvSb8CeLXRmT_typwfWkeXQ,2025-07-25T21:00:14Z,,,22,1268603.0,71250.0,1933.0,PT2M16S,hd,public
[Review Phim] Tỷ Phú Giả Nghèo Đi Xin Việc Để Trả Thù Cho Con Gái,A0rzlwvsMPg,Động Phim Review,UCTgCUFHMXWAjUbHkDMn5KxA,2024-12-04T11:15:00Z,"Tóm Tắt Phim Hay | Tỷ Phú Giả Nghèo Đi Xin Việc Để Trả Thù Cho Con Gái
► Đăng ký ngay:  www.youtube.com/@dongphim.review.24
-- Bản quyền video thuộc về Động Phim Review (Nghiêm cấm reup dưới mọi hình thức)
-- Video trên có thể có sử dụng nội dung có bản quyền dựa trên luật sử dụng hợp lý 
Fair Use: (https://www..com/yt/copyright/fair-us...)
-- Email Liên Hệ : idea@socials.io.vn
Cảm ơn các bạn rất nhiều!
Tag: #phimhay #reviewphim #tomtatphim #phimchieurap #phimle #phimhanquoc","review phim,tóm tắt phim,động phim review,cuồng phim review,ghiền phim review,phim hành động,phim lẻ,phim mới,phim netflix,phim hàn quốc,phim anime,review anime,review phim hay,tom tat phim,phim le,vua phim,phim moi 2024,gấu béo vụng về,phim ý nghĩa,phim động vật,phim chiếu rạp,phim hàn quốc 2024,phim hài,phim bộ full,reviewfilm,review phim hành động,tỷ phú giả nghèo,trả thù cho con gái",24,679660.0,2837.0,82.0,PT31M42S,hd,public
