title,video_id,channel_title,channel_id,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Miami Vice (1984) -  Curiosidades e o Que Aconteceu ao Elenco,iwqY2sRXq_Y, Dias Drake,UCh7mxML-d1EM-PLJlXtcaiQ,2024-11-13T22:07:00Z,"Miami Vice é uma série de televisão norte-americana de drama policial, estrelada por Don Johnson como James ""Sonny"" Crockett e Philip Michael Thomas como Ricardo ""Rico"" Tubbs, dois detetives tão competentes quanto agressivos do Departamento de Polícia de Metro-Dade ou MDPD trabalhando disfarçados em Miami. Tráfico de drogas, extorsão, prostituição e muitos outros crimes estão nas mãos deles para resolver. Com contas a acertar com traficantes e bandidos, eles percebem que fazer isso pode significar ir contra a própria justiça. A série durou 5 temporadas na NBC, de 16 de setembro de 1984 a 28 de junho de 1989 com 114 episódios. 
Ao contrário dos procedimentos policiais padrão, o seriado se baseou fortemente na cultura New Wave dos anos 1980 e é conhecido por sua integração de música pop e rock contemporânea e visuais elegantes e estilizados. Em 2006 foi lançada uma adaptação cinematográfica modernizada baseada na série. #miamivice #nostalgia #seriesantigas 

💡 Seja membro deste canal e ganhe benefícios:
https://www.youtube.com/channel/UCh7mxML-d1EM-PLJlXtcaiQ/join

PRODUTOS QUE INDICO:
✅ CD e Vinil: ✓ https://amzn.to/41hwTwM
✅ Livros de Literatura e Ficção: ✓ https://amzn.to/3XJrxJZ
✅ DVDs séries antigas: ✓ https://amzn.to/421jsmP
✅ Camisetas Nostalgia dos anos 80 e 90: ✓ https://amzn.to/407B0Lg
✅ Camisetas de super herois: ✓  https://amzn.to/4a6R8Bo
✅ Camisetas de filmes: ✓ https://amzn.to/3W8KTY5
✅Camisetas Geek: ✓  https://amzn.to/40lpnSf 

✅ Produtos usados para fazer o vídeo: 
✓ Notebook Dell Inspiron I15: https://amzn.to/4a6Qxj8
✓ Monitor LG 21.5': https://amzn.to/4h05TYN
✓ Fone de Ouvido sem fio JBL: https://amzn.to/3Pqgdh8
✓ Mouse sem fio Logitech: https://amzn.to/3Pp3PxW
✓ HD Externo Toshiba 1TB: https://amzn.to/40lBS0a
✓ Combo de Teclado e Mouse Ergonômico Sem Fio: https://amzn.to/4fKssjs

Capítulos:
00:00 Introdução
02:03 Produção do Programa
03:23 A Série no Brasil
04:16 Dublagem da Série
05:27 Escolha do Elenco
06:51 Filmagens da Série
08:15 Influência na Moda
09:15 Carros em Miami Vice
10:42 Participações Especiais
11:27 Miami Vice o Filme
12:16 Elenco da Série - Don Johnson (Det. James ""Sonny"" Crockett)
14:33 Philip Michael Thomas ( Det. Ricardo ""Rico"" Tubbs)
17:30 Edward James Olmos (Ten. Martin ""Marty"" Castillo)
20:37 Saundra Santiago ( Det. Regina ""Gina"" Navarro Calabrese)
22:26 Olivia Brown ( Det. Trudy Joplin)
23:43 Michael Talbott ( Det. Stanley ""Stan"" Switek)
25:39 40º Aniversário da Série Miami Vice","Nostalgia,filmes,curiosidades,resumo de filmes,cultura pop,filmes recap,filmes de ficção científica,resumos,atores,atrizes,quadrinhos,comics,DC,Marvel,Top 10,filmes de terror,Filmes,Séries,Cinema,TV,Cultura Pop,Entretenimento,Curiosidades,Atores,Atrizes,Hollywood,Trailers,Críticas,Análises,Recomendações,Lançamentos,Clássicos,Retrô,Bastidores,Making Of,Personagens,Diretores,Roteiristas,Premiações,Oscar,Emmy,Golden Globe,miami vice",24,17882,1194,47,PT26M27S,hd,public
Miami Vice - Crockett and Caitlin / I Want To Know What Love Is by Foreigner,5nlIresuPxU,~EveryDayEmily~,UC3j54L3eJC1wNK8NF5WiP7Q,2024-05-19T20:55:12Z,sorry for the title edit 😅,,22,198061,2468,131,PT5M4S,hd,public
Miami Vice - 2006/Trailer/German,jMNunwoYNJ0,7even3hreeTv,UCmmIXt8yU5IUP7IFrwCPCiw,2011-12-28T23:03:02Z,"Miami Vice, Action-Crime-Thriller / USA 2006. Neuverfilmung der Fernsehserie Miami Vice aus den 1980er Jahren von Regisseur Michael Mann.","miami,vice,2006,movie,kino,film,german,deutsch,hd,trailer,colin,farrell,jamie,foxx,gong,li,michael,mann",1,209798,422,34,PT1M48S,hd,public
Miami Vice (85 REWIND - 'The Tide'),Z__LuRSSgFs,85 REWIND,UCwHldxmhiKredc81TwTbiZw,2022-05-07T14:45:02Z,"'Miami Vice' did not only have a major impact on the television industry, American culture or men's clothing style during the 80s, but also heavily influenced us when forming the band '85 REWIND'. 

Join us on a trip down memory lane alongside Don Johnson, Philip Michael Thomas, John Diehl, Olivia Brown, Edward James Olmos and guest stars such as Bruce Willis. Michael Mann and Anthony Yerkovich brought this series to life, while the soundtrack of Jan Hammer made it an immortal piece of art. 

The song is 'The Tide' from our debut album ‘Magic Hour’, that you can find on all major streaming platforms: 
https://distrokid.com/hyperfollow/85rewind/magic-hour

Website: https://85rewind.com 
Instagram: https://www.instagram.com/85rewind/ 
Bandcamp: https://85rewind.bandcamp.com/
Facebook: https://www.facebook.com/85rewind 
Twitter: https://twitter.com/85rewind 
TikTok: https://www.tiktok.com/@85rewind

#miamivice #synthwave #outrun #musicvideo #retro","Miami vice,Miami,vice,crocket,tubbs,Don Johnson,ferrari,synthwave,outrun,series,80s,eighties,retro,the midnight,midnight",10,322008,2308,84,PT4M36S,hd,public
Evan's Sacrifice - Miami Vice,35aVjeAwC84,8-BIT CLIPS,UCVus0DzL734A4N6ylIqeg9Q,2023-08-22T16:00:05Z,"Evan's Sacrifice - Every now and then I feel the urge to rewatch this amazing and perfectly choreographed scene from Miami Vice.

#miamivice #scene #80s #retroreview 

Copyright disclaimer under section 107 of the copyright act 1976 allowance is made for ''fair use'' for purposes such as criticism comment news reporting teaching scholarship and research fair use is a use permitted by copyright statute that might otherwise be infringing non profit educational or personal use tips the balance in favor or fair use.
No copyright infringement intended. I do not claim ownership of the contents of this video, all content belongs to the rightful owners listed below.
Some Images/Music/Sounds accredited to Pixabay & Microsoft ClipChamp Stock/Production
Public Domain/Fair Use/Creative Commons License/Attributions:
Miami Vice

#vicerunner","movie,film,trailer,retro,review,retro review,scene,miami,vice,miami vice,sonny,rico,evan,tv,80s,vicerunner,vice Runner",24,17463,259,81,PT3M12S,hd,public
Miami Vice | In The Air Tonight | Ambient Soundscape,yDJ9ztmJaMs,A L I E N W O R L D S,UCVF-frOHD_Z4q0aUJq409RA,2024-02-25T12:53:23Z,"🌌 Produced by A L I E N W O R L D S  

🎶 Original works by Phil Collins

💸 Support & Downloads:  
🛍️ Shop – https://ko-fi.com/alienworlds/shop  
☕ Ko-fi – https://ko-fi.com/alienworlds  
💖 PayPal – https://www.paypal.com/donate/?hosted_button_id=LDQPMEQYDWECQ
💡 Request Priority – Donations help elevate suggestions in the queue

🌠 Immerse yourself in a captivating sonic journey with our ambient music channel.  
We blend cinematic soundtracks with deep ambient layers to create the perfect audio escape for relaxation, focus, meditation, and introspection.

🌀 Channel notes:  
📺 YouTube may occasionally add mid-roll ads automatically.  
🎨 Visuals designed using digital art tools, motion design techniques, photo editing for image creation and refinement, animation software, stock assets if required, video effects, and selective AI assistance.  
🎧 Audio produced in FL Studio using VST plugins, a mix of original, remixed, and licensed material, with post-production layering, no AI used.  
⏱️ Projects range from 10 hours to a week or more. This isn’t automated content—it’s curated digital media production.

💬 **Community Tip**  
🔎 Looking for something specific? 🎯 Use the search bar on the channel’s homepage—it shows results across all uploads and playlists.

📩 Attribution requests / business contact:  
a.real.ali3n@gmail.com

#ambientmusic #soundscapes #cinematicmusic","ambient soundtrack,cinematic music,background music,ambient composition,ALIENWORLDS AMBIENCE,ALIENWORLDS,ALIEN WORLDS,ambient soundscape,ambient soundscape music,miami vice ambience,in the air tonight ambience,miami vice ambient,in the air tonight ambient,phil collins music,neon noir soundscape,miami vice soundtrack,80s miami night ambient,crockett tension ambient,synthpop suspense ambient",10,63346,1347,77,PT1H1S,hd,public
"Miami Vice (2026) | First Trailer Concept | Michael B. Jordan, Glen Powell",cP4CBs6Nn4U,A25 Trailers ,UC-fha_bd0Ia9-z5KjZgjtzA,2025-10-28T14:30:35Z,"#miamivice #michaelbjordan #glenpowell 

Step into our world of conceptual trailers, where we mix diverse clips, stunning visuals, and the creative use of AI to reimagine a universe where our favorite series and movies get new versions, sequels, and spin-offs!

All footage and elements used belong to their respective owners, and this video falls under fair use, as it reimagines existing material to create something new and transformative.

This is NOT an official production, nor is it intended to mislead anyone. It’s simply a tribute made by fans, for fans. Hope you enjoy it!","movies,trailers,michael b. jordan,glen powell,miami vice,miami vice reboot,miami vice 2",1,37505,630,56,PT1M47S,hd,public
The Truth - The Edge Of Town - Miami Vice (Death And The Lady),6SnIhtkqLSI,addictedtothe80s,UCcLItLUhl-YB_cQLHujE0DQ,2009-10-28T14:27:41Z,"""Capture His Heart and Make Him Love You Forever""
http://clikhere.co/I2XBWMe8

From season 4, episode: ""Death And The Lady""

""Capture His Heart and Make Him Love You Forever""
http://clikhere.co/I2XBWMe8","The,Truth,Edge,Of,Town,Miami,Vice,Death,And,Lady,80s,80,Miami Vice (TV Program)",10,534646,2667,125,PT4M8S,sd,public
Miami Vice (Final Scene),NMF6pRtvT4k,adriandg,UCCteVcB_U5GT_HxzGZxouRA,2011-11-10T21:20:48Z,"Sontuoso finale del film del 2006, diretto da Michael Mann. In lingua originale.","Miami,Vice,Sonny,Final,Scene,Colin,Farrell,Gong,Li,Florida",1,444390,2744,478,PT5M43S,sd,public
MIAMI VICE Crockett & Tubbs | Brothers in Arms,4Qxf2acu0So,AG Edits,UC_QVFrwawhTcHJVOyBv3sjA,2019-09-07T11:25:46Z,"Scenes from: Miami Vice 
Music: Dire Straits - Brothers in Arms","miami vice,miami vice movie,miami vice cast,miami vice theme,miami vice cast movie,miami vice episodes,miami vice game,dire straits,brothers in arms,dire straits brother in arms",1,171893,1785,60,PT4M52S,sd,public
