video_id,category_id,channel_id,channel_title,comment_count,definition,description,duration,like_count,privacy_status,publish_time,tags,title,view_count,present_in_latest_snapshot,last_seen_snapshot_date,last_merged_on
_UmOY6ek_Y4,24,UCtiIaJE_vllCplo0AtsOGmQ,Jessicacool90,17018.0,sd,A video I made of the huge 80's TV show Miami Vice with the soundtrack of Crockett's Theme by Jan Hammer. Enjoy!,PT5M53S,212261.0,public,2009-01-23T14:05:35Z,"Jan,Hammer,Crockett's,Theme,Miami,Vice,TV,Show,Series,Soundtrack,Instrumental,Don,Johnson,Philip,Michael,Thomas,80's,1980's,Eighties",Jan Hammer - Crockett's Theme (Miami Vice),39850021.0,True,2025-12-09,2025-12-09
TRCQmNMOqUY,10,UCV-5d2ZbKBRCGaG3MXXfXcw,Kebu,9004.0,hd,"This cover is out now on my ""Synthesizer Legends - Volume 1"" album:
https://ZYXDance.lnk.to/SynthesizerLegends

The album is still available for a limited time on vinyl!
https://kebu.bandcamp.com/

I always liked this tune and was inspired when I heard Michael Cassette's version. So for my live performance I made an arrangement that was influenced by both versions, but put my own twist on it. The tune ended my show in Dynamo, Turku, where this video was recorded 5th May 2012. Unfortunately, I only had three camcorders going and the heavy bass drum in the club made the cameras vibrate with each beat. But the feeling was so high in the club that I definitely wanted to upload this particular take! 

The song was performed using only analog synthesizers, either played live or sequenced. The performance was recorded line in to one of the cameras. The ambience in the club was recorded using the built-in microphones on two of the remaining cameras and mixed together with the line signal. Some mistakes were replaced with audio from a rehearsal take.

Equipment used in this song: Korg Polysix, Poly 61 (through a SansAmp GT2), Mono/Poly, Micro-preset M500; Roland TR-808, Jomox AirBase99, Juno 60, Alpha Juno 1&2; Touched-by-sound DRM1, Oberheim Matrix 6R, Yamaha RM1x (only for MIDI sequencing), Behringer DDX3216, Lexicon MPX500, as well as a midi patchbay and additional preamps for my mixer. Cameras: Canon HF100 (x2) and HF200.

A big thank you to the amazing audience in Turku and to Turku Synth Club for arranging the gig!

WWW: 
http://kebu.fi
https://www.facebook.com/kebunator",PT5M16S,251288.0,public,2012-11-04T17:20:33Z,"jan hammer,jan,hammer,Crockett,theme,live,synthesizer,synth,Electro (music),kebu,space,crockett's theme,cover,michael,cassette,80's music,Miami Vice (TV Program),Miami Vice Theme (Composition),italo,italo disco,retro,wave,retrowave,synthwave",Jan Hammer - Crockett's Theme (live by Kebu @ Dynamo),31983139.0,True,2025-12-09,2025-12-09
wFOEubKzyQA,10,UCWHRE-1-ArCP87WCgCyUviA,TranceParadise,6485.0,hd,"Sonny Crockett's Theme. His sunglases FTW!



#miamivice #sonnycrockett #theme #donjohnson #80s #testarossa #miami",PT5M52S,112985.0,public,2016-11-27T01:10:09Z,"Miami Vice,Crockett's theme,Sonny Crockett,Miami Vice Theme",[HiFi] Jan Hammer - Sonny Crockett's Theme (Miami Vice Theme),18889350.0,True,2025-12-09,2025-12-09
6CdKeep2huQ,17,UCkLfi2wVaJ5rHy6seLucyFg,Grzegorz Grabowiec,5203.0,hd,"Kind of a music video to one the #MiamiVice series (1984) soundtrack.  

WARNINGS: VIOLENCE

Edited by Grzegorz Grabowiec
Music: Phil Collins - In The Air Tonight

🌐 http://grzegorzgrabowiec.pl/

Twitter : https://www.twitter.com/GrzegGrabowiec",PT4M15S,132332.0,public,2017-04-09T19:47:22Z,"don johnson,miami vice,bruce willis,helena bohan carter,1984,the 80s,80s,michael madsen,john turturo,philip michael thomas,crockett,jan hammer,theme,tubbs,castillo,liam neeson,hd,blu ray,1080,1080p",Miami Vice - IN THE AIR TONIGHT | Tribute Video,17119784.0,True,2025-12-09,2025-12-09
Lfgf9HatIHI,10,UC3wUBNcVSQrmRLeCeziqVkw,Miami Vice,5033.0,hd,"Join us on Facebook : http://www.facebook.com/MiamiVice

Jan Hammer - Crockett's Theme (Miami Vice)

[Widescreen 1280x720]",PT3M33S,105453.0,public,2013-06-07T03:00:08Z,"Jan Hammer,Crockett's Theme,Miami Vice,Television,TV,Song,Music,80s",Jan Hammer - Crockett's Theme (Miami Vice),14245022.0,True,2025-12-09,2025-12-09
dEjXPY9jOx8,24,UCdeC5QfaSiM1QExo2CU3hZA,AMB Production TV,3862.0,hd,"Miami Vice Theme HD

The adventures of the vice squad detectives of the Miami Police Department.

Stubble-faced detective Crockett lived in a sailboat guarded by his alligator Elvis. His partner Tubbs was a black New York cop looking for his brother's killer. Together they took on the Florida drug world. The show influenced men's fashions toward Italo-casual and interior decor toward the Memphis look. Very trendy music and unusual guest performers.

Creator: Anthony Yerkovich
Stars: Don Johnson, Philip Michael Thomas",PT56S,62947.0,public,2014-08-05T14:43:41Z,"Miami Vice,hd,film,Anthony Yerkovich,Don Johnson,Michael Thomas,Florida,Theme,Beach,Song,Theme Song",Miami Vice Theme HD,11860300.0,True,2025-12-09,2025-12-09
lmuOqI2P4Ws,24,UCJkDmWrESizW-MZYuYv9QDQ,Enter The Soundscape,3541.0,hd,A Miami Vice music video which features my edited version of 'Self Control' by Laura Branigan.,PT4M1S,129881.0,public,2015-08-23T19:12:14Z,"Miami Vice (TV Program),Self-control (Quotation Subject),Miami (City/Town/Village),Self Control (Composition),Self Control (Musical Album),Miami,Vice,Edited,Laura Branigan (Musical Artist),La",Miami Vice - Self Control Music Video HD,13033479.0,True,2025-12-09,2025-12-09
m8-ItRoHJM0,10,UC1jZKmnwIIWJe7-D8xOZ7yg,TIckP,2265.0,sd,Crockett's Theme from the tv-show Miami Vice,PT3M38S,46347.0,public,2009-05-05T21:22:56Z,"Miami,Vice,Crocket,Crockett's,theme,show,tv,jan,hammer,starring,Michael,Mann,Don,Johnson,Phillip,Thomas,police,undercover,people,Talbott,Olivia,Braun,Saundra,Santiago,Edward,James,Olmos,John,Diehl,Gregory,sierra,english,united,states,of,america,Florida,Beach,Pop Music,Cover Song,South,Theme Song",Miami Vice - Crockett's theme HQ,8593407.0,True,2025-12-09,2025-12-09
-aMCzRj3Syg,1,,Miami Vice,5854.0,hd,"Join us on Facebook : http://www.facebook.com/MiamiVice

The ""In the Air Tonight"" Scene is arguably the most memorable and famous scene from the Miami Vice television series, and is regularly cited as one of the greatest, most influential moments in the history of television.

NBC owns all copyright to this video and it is used here for informational & entertainment purposes only. No infringement intended.

Widescreen (HD)
Original air date  September 16, 1984
""In the Air Tonight"" by Phil Collins",PT3M48S,72761.0,public,2014-08-16T14:38:24Z,"Miami Vice,In The Air Tonight,Scene,HD,1984,Phil Collins,Don Johnson,Philip Michael Thomas,Miami,80s",Miami Vice - In The Air Tonight Scene [HD],6101493.0,False,,2025-12-09
v61tFqtzxlk,1,,Thergothon1,4128.0,hd,,PT4M3S,114356.0,public,2018-02-05T22:22:10Z,"Demo,Miami Vice,Tribute,Awesome Montage,Synthwave,Outrun,Darksynth,Perturbator,Dance With The Dead - Only A Dream,Robeast,80's,Movies from 80's,Thergothon1,Vice City,GTA,Hotline Miami,Don Johnson,Hot Babes,Miami Beach,Carpenter Brut,Poroci Miamija,Detective James Crockett,Ricardo Tubbs,sonny crockett,white ferrari testarossa,Ferrari Daytona Spyder,miami nights 1984,Palms,Car Chase,Strip club,Tommy Vercetti,Ocean,lamborghini countach",Dance With The Dead - Only A Dream (Miami Vice 1984â€“1990 Tribute),5980894.0,False,,2025-12-09
