title,video_id,channel_title,channel_id,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Bellick🥶 // #prisonbreak #shorts,ZkqENB-fh0E,PB The Prince,UC21I6tEyHTeSblJn8WBo0Jw,2023-03-11T19:38:43Z,"Bellick🥶

In this video, Teddy is talking to Bellick and throws an insult at him. Bellick mentions how Teddy was born, and who his dad is, and Teddy gets very mad at him.

For The Best Clips from movies and tv shows, be sure to subscribe to the channel😁🙏",,22,36582009,2146693.0,8190.0,PT33S,hd,public
Prison Break - Season 1 Trailer,AL9zLctDJaU,Konstantin Pichugin,UCaXOo5ACV6PTWey00C1GE1Q,2012-04-16T11:57:02Z,"THIS VIDEO IS PURELY FAN-MADE.

""Prison Break"" is the best of all. The first season of ""Prison Break"" is best of the best. Here is my made trailer for one of my favorite television shows. Enjoy it.

The music used:
Machine Vandals - Save Them
Mark Petrie & LaLeLa Music - Celestial
Brand X Music - Don't Trip Over The Dead
Fuel - Again","Prison,Break,season,one,trailer,Fox,River,State,Penitentiary,Paul,T.,Scheuring,Michael,Scofield,Wentworth,Miller,Lincoln,Burrows,Dominic,Purcell,Sarah,Wayne,Callies,Dr.,Tancredi,Veronica,Donovan,Robin,Tunney,Amaury,Nolasco,Fernando,Sucre,Marshall,Allman,LJ,tv,series,action,crime,drama,fan,made,video,promo",1,13102230,66034.0,3518.0,PT1M31S,hd,public
Lincoln's Final Meal 💔 | Prison Break S1E10 #Shorts,D1OMskreFbc,JaiceNoir,UCyPhQZ8PM7-0tsX5r2j34hw,2025-07-15T20:58:32Z,"Lincoln's Final Meal 💔 | Prison Break S1E10 #Shorts

Series - Prison Break (2005)","Prison Break,Prison Break Show,Prison Break 2005,Michael Scofield,Lincoln Burrows,T-Bag,Prison Break Clips,Prison Break Edit,Prison Break Explained,Prison Break Season 1,Fox River,Sucre,Agent Mahone,Sara Tancredi",1,18400282,699575.0,1245.0,PT19S,hd,public
Michael Clutched Up 😅 | Prison Break S1.E20,iVhtVSAkCyo,Lamored,UC3zAvLbF-TNiRwz7P1URbew,2025-04-16T16:56:21Z,"Michael Clutched Up 😅 | Prison Break S1.E20

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. I believe all content used falls under the remits of Fair Use, but if any content owners would like to dispute this I will not hesitate to immediately remove said content. It is not my intent to in any way infringe on their content ownership. If you happen to find your art or images in the video please let me know and I will be glad to credit you.","Prison Break,Michael Scofield,Lincoln Burrows",24,14230091,482614.0,794.0,PT15S,hd,public
30 Facts You Didn't Know About Prison Break,lOgmbNeahms,The Why,UCTnE9s4lmqim_I_ONG8H74Q,2017-05-27T23:41:44Z,"So after nearly a 10 year break, Prison Break is finally back!  And after watching all the episodes so far, its been a pleasant surprise.

This video contains spoilers for seasons 1-4 of Prison Break, but not the latest season, so if you're not fully caught up on the newest episodes, no worries!

Enjoy! :)",prison break facts,1,6489294,86836.0,3510.0,PT13M1S,hd,public
Prison Break 2X14 delicious treat,U8k22ScXBK4,The 4 Individuals,UCXaExQU8zRJ8h85Sddg28Tg,2017-01-19T23:45:10Z,This video belongs to the owner of Prison Break not me. All rights to FOX,"great,game",20,6162472,31861.0,2072.0,PT4M1S,hd,public
Bellick And T-Bag 💀 | Prison Break S1.E6,_x9qDEDlljE,Lamored,UC3zAvLbF-TNiRwz7P1URbew,2025-05-25T23:13:05Z,"Bellick And T-Bag 💀 | Prison Break S1.E6

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. I believe all content used falls under the remits of Fair Use, but if any content owners would like to dispute this I will not hesitate to immediately remove said content. It is not my intent to in any way infringe on their content ownership. If you happen to find your art or images in the video please let me know and I will be glad to credit you.","Prison Break,Michael Scofield,Lincoln Burrows",24,12154009,438431.0,1484.0,PT25S,hd,public
"PRISON BREAK Comic Con 2016 Panel - Season 5, Wentworth Miller, Dominic Purcell, Sarah Wayne Callies",GkRJT6RP-Jg,Flicks And The City,UCS5C4dC1Vc3EzgeDO-Wu3Mg,2016-07-29T17:32:00Z,"Prison Break Comic Con 2016 panel highlights & season 5 news with Wentworth Miller, Dominic Purcell, Sarah Wayne Callies, Robert Knepper & Vaun Wilmott. 

Subscribe for more! ► http://bit.ly/FlicksSubscribe

N.B. Footage, clips, previews, trailers & sneak peeks shown at Comic Con panels are not included in this video, as these are not allowed to be filmed. 

PLAYLISTS YOU MIGHT LIKE
------------------------
Fox Marvel Movies ► http://bit.ly/FoxMarvelVideos
Marvel ► http://bit.ly/MarvelVideos
DC ► http://bit.ly/DCVideos
Star Wars ► http://bit.ly/StarWarsVids
Game of Thrones ► http://bit.ly/GameOfThronesVideos
Reviews ► http://bit.ly/FlicksMovieTVReviews
Movie Deleted Scenes & Rejected Concepts ► http://bit.ly/MovieDeletedScenes
Easter Eggs ► http://bit.ly/EasterEggVideos
Amazing Movie Facts ► http://bit.ly/ThingsYouDidntKnowVideos
Pixar ► http://bit.ly/PixarVideos
Disney Animation ► http://bit.ly/DisneyAnimationVideos

SOCIAL MEDIA & WEBSITE
----------------------
Twitter ► http://twitter.com/FlicksCity
Facebook ► http://facebook.com/FlicksAndTheCity
Google+ ► http://google.com/+FlicksAndTheCity
Website ► http://FlicksAndTheCity.com

Thanks to Comic Con International http://www.comic-con.org/

In the thrilling new event series PRISON BREAK, original series stars Wentworth Miller, Dominic Purcell, Sarah Wayne Callies, Amaury Nolasco, Robert Knepper, Rockmond Dunbar and Paul Adelstein are reunited for an all-new adventure spanning the globe and featuring the signature thrills and cliffhangers that were hallmarks of the original series when it aired on FOX from 2005-2009.

The original action drama centered on MICHAEL SCOFIELD (Miller, “The Loft”), a young man determined to save his convicted brother, LINCOLN BURROWS (Purcell, “DC’s Legends of Tomorrow”), from death row by hatching an elaborate plan to escape from prison.

In the all-new event series, filmed on location in Morocco, clues surface that suggest a previously thought-to-be-dead Michael may be alive. Lincoln and SARA (Sarah Wayne Callies, “Colony,” “The Walking Dead”), Michael’s wife until he was presumed dead, reunite to engineer the series’ biggest escape ever, as three of Fox River State Penitentiary’s most notorious escapees, SUCRE (Nolasco, “Telenovela”), T-BAG (Knepper, “Heroes”) and C-NOTE (Dunbar, “The Mentalist”), are pulled back into the action.

“Prison Break” was an immediate critical and ratings hit when it premiered on FOX in the fall of 2005, garnering Golden Globe Award nominations for Best Television Series – Drama and Best Performance by an Actor in a Television Series – Drama (Miller). The original producing team, including series creator Paul T. Scheuring, Neal Moritz, Marty Adelstein and Dawn Olmstead, return to executive-produce the new series, with Scheuring serving as showrunner/writer.

PRISON BREAK is produced by 20th Century Fox Television. Paul T. Scheuring, Vaun Wilmott, Michael Horowitz, Dawn Olmstead, Nelson McCormick, Marty Adelstein and Neal Moritz serve as executive producers. McCormick also serves as a director on the series. “Like” PRISON BREAK on Facebook at facebook.com/prisonbreak. Follow the series on Twitter @PrisonBreak and join the discussion using #PrisonBreak. See photos and videos on Instagram by following @PrisonBreak","Prison Break,season 5,Prison Break season 5,Comic Con,2016,panel,Prison Break Comic Con,Prison Break Comic Con panel,Wentworth,Miller,Dominic Purcell,Sarah Wayne Callies,Robert Knepper,reboot,Prison Break interview,interview,Wentworth Miller interview,Dominic Purcell interview,Sarah Wayne Callies interview,Robert Knepper interview,preview,sneak peek,official,official comic con,SDCC,Wentworth Miller Comic Con,Dominic Purcell Comic Con,TV,Flicks And The City",24,5634595,76478.0,5228.0,PT16M18S,hd,public
Michael Outsmarts Gretchen | Prison Break S3.E13,HEKimQfVQ1Y,Lamored,UC3zAvLbF-TNiRwz7P1URbew,2025-01-26T21:45:39Z,"Michael Outsmarts Gretchen | Prison Break S3.E13

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. I believe all content used falls under the remits of Fair Use, but if any content owners would like to dispute this I will not hesitate to immediately remove said content. It is not my intent to in any way infringe on their content ownership. If you happen to find your art or images in the video please let me know and I will be glad to credit you.","Prison Break,Michael Scofield,Lincoln Burrows",24,7678867,364348.0,601.0,PT20S,hd,public
Actor Robert Knepper Discusses His Role in 'Prison Break',ZhAE1WchvSQ,HuffPost Live,UC32PoR2aMsYaiTI7hTXHJlA,2013-02-07T21:16:41Z,Actor Robert Knepper talks about his role as T-Bag in 'Prison Break.',"t-bag,cw cult,huffpost live,knepper cult,knepper cw,live video,robert knepper,robert knepper prison break",25,4867826,62552.0,5004.0,PT2M41S,hd,public
