title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Watch Our Favorite Tiny Dancer Perform the Nutcracker with the New York City Ballet,6QnEMfEVK58,Rachael Ray Show,2016-12-22T15:18:09Z,"More from Rachael Ray: http://www.youtube.com/user/therachaelrayshowyt?sub_confirmation=1
More Audrey Nethery and Rachael Ray: https://youtu.be/1oMUgN3xqms?list=PLzDcjPZZlMQKYPvaF_Ij8EXsfkm7hbVcT
The holidays are here and we canâ€™t think of a better way to celebrate than by making magic happen with one of our favorite kiddos, YouTube dancing star Audrey Nethery!
For more follow the hashtag #RachaelRayShow","rachael ray,dancing,the nutcracker,amazing,dancer,audrey nethery rachel ray,the rachael ray show,holiday,audrey nethery nutcracker,rachel ray,kidspiration,The Nutcracker,youtube,audrey nethery rachael ray,cute,Ballet,audrey nethery,dance,adorable,christmas,Rachael Ray Show,rachaelray,kidspirations,new york city ballet,aw,New York City Ballet",26,117295712,444350,10113,PT1M57S,hd,public
How to escape duct tape handcuffs #shorts Rachael Ray,CIY_yCdDXps,Rachael Ray Show,2023-07-18T16:00:13Z,"It may knock the wind out of you, but it may also save your life!","rachael ray,rachael ray show,FBI Agent,how to,how to escape,duct tape,tied up,escape home invasion,home invasion,safety,tips and tricks,wrists tied up,escaping robbery",26,35167356,554321,4606,PT27S,hd,public
11-Year-Old Aspiring Celeb Hairstylist Runs a Hair Salon In His Parents' Basement,KCAym75Egio,Rachael Ray Show,2019-11-04T16:40:35Z,"11-year-old Vince from Bloomfield Hills, Michigan, cuts and colors friends and family's hair for now â€” but he hopes to become a celeb hairstylist one day.","inspiring,kids,hair,The Rachael Ray Show,Rachael Ray,Rachel Ray,Rachael,Rachel,rachaelray,rachelray,gif,funny,food,hairstylist,kid hairstylist,inspiring kids",26,10197929,115873,4800,PT4M8S,hd,public
eSight on Rachael Ray: Gene Sees for the First Time!,l_4IdXBi8Ik,eSight,2015-11-06T15:21:31Z,"Want to try eSight? Call 1-855-837-4448 or visit https://www.esighteyewear.com/ to see if eSight could work for you.

Gene from Denver, CO, has been legally blind due to Stargardt Disease for fifteen years, but thanks to eSight, he can now see! Watch his first time seeing his wife and baby boy, Lincoln, on The Rachael Ray Show!","low,vision,low vision,blind,blindness,Rachael Ray (TV Program),Rachael Ray (Chef),amazing,stargardt disease",28,9043145,16077,940,PT7M3S,hd,public
Insanely Adorable YouTube Sensation Audrey Gets Down with the Brooklynettes | Rachael Ray Show,1oMUgN3xqms,Rachael Ray Show,2016-04-28T18:45:17Z,"More from Rachael Ray: http://bit.ly/2dYuEc9
YouTube star Audrey Nethery, 7, whose adorable dancing videos went viral, may be small but sheâ€™s got big talent â€“ and now sheâ€™s putting it to good use by performing with the Brooklyn Nets dancers, The Brooklynettes!
For more follow the hashtag #RachaelRayShow","audrey nethery,dance videos,rachaelray,brooklynettes,viral star,dancers,youtube,brooklyn nets dancers,audrey nether dance video,brooklyn nets,dance video,dance,Rachael Ray Show,YouTube Star,viral video star,rachael ray",26,8718573,49062,1915,PT3M55S,hd,public
Could Potato Skins Get Rid of Your Gray Hair?,9-v-0JxLDtI,Rachael Ray Show,2014-07-16T21:25:12Z,"Dr. Anthony Youn shows how your leftovers can help you look younger!
For more follow the hashtag #RachaelRayShow","lifestyle,get rid of gray hair,rachael ray show,beauty and hair,beauty,beauty tips,what to do with leftovers,rachaelray,gray hair tips,health,look younger,leftovers,hair tips,beauty hacks,life hacks,skin,dr anthony youn,dr you,gray hair,rachael ray",26,8562468,11888,747,PT3M49S,hd,public
Guess My Age: 3 Women's Ages SHOCK the Studio Audience  | Rachael Ray Show,yKBgsQiF380,Rachael Ray Show,2017-10-03T14:51:22Z,"More from Rachael Ray: http://bit.ly/2dYuEc9 
3 women's ages shock the studio audience when we play 'Guess My Age.' Weâ€™re taking oh-so-many notes.
For more follow the hashtag #RachaelRayShow","chef,rachaelray,page marks,rachael ray guess my age,look ageless,eating,Rachel Ray,Rachael Ray,rcheal ry,food,beauty tips,guess womens age,Aging,audience,reaccal ray,youth,how to,youthful,cooking,ageless,age defying,home improvement,Rachael Ray Show,rachael ray full episodes 2017 women reveal their age,age shock,guess my age",26,7725972,70889,10530,PT5M7S,hd,public
How Well Do Kristen Bell + Dax Shepard Really Know Each Other?,VUJdUJCrjhk,Rachael Ray Show,2019-03-13T14:04:00Z,Does the longtime couple see eye-to-eye on questions about their relationship? (Spoiler: they can definitely agree on which of them is the better driver!),"cat-celebs,celebrities,couple,dax shepard,funny,game,kristen bell,marriage,rachael ray,rachael ray show,rachaelray,rachel ray,kristen bell and dax shepard,Kristen Bell and dax shepard quiz,Kristen Bell interview,Dax shepard interview",26,7269148,68811,1565,PT4M56S,hd,public
A Mom Begs for Help Tackling Her Daughterâ€™s Disastrous Bedroom | Rachael Ray Show,7OrJLG-OTjA,Rachael Ray Show,2016-11-14T15:02:44Z,"More from Rachael Ray: http://bit.ly/2dYuEc9
Peter Walsh takes it from â€œterrifyingâ€ to a serene retreat in no time -- watch his smart tricks now.
For more follow the hashtag #RachaelRayShow","clutter,organize,how to,room,living,difficult,mess,dirty,volunteers,clean room,before,college,overloaded space,peter walsh,after,disheartened,rachaelray,abc walsh helps messy teen organize,clean,disaster,Rachael Ray Show,hoarding,declutter,cleaning,Bedroom,happiness,hoarders,cloor,messy room,messy,organizing,emotional,rachael ray,abc wlash helps messy teen organize,overwhelming,room make over,space,clean up,crying,rachel ray,bedroom,blanket,painting",26,6976586,50737,6604,PT5M40S,hd,public
A Long-Haired NYC Waiter Gets One of Our Sexiest Man Makeovers Ever,Vqa8k3jUBus,Rachael Ray Show,2017-03-27T15:04:39Z,"More from Rachael Ray: http://bit.ly/2dYuEc9 
From whole lotta hair to whole lotta hottie
For more follow the hashtag #RachaelRayShow","a long-haired nyc waiter gets one of our sexiest man makeovers ever,makeover,fashion,hair,clothes,long haired nyc waiter gets makeover,haircut,rachael ray,clothing,sexiest man,long hair,nyc,man makeover,style,Rachael Ray Show,after,make over,before,rachaelray,new look,amazing,rachel ray,transformation,man bun,nyc waiter makeover",26,6849247,21533,1552,PT2M21S,hd,public
