title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Sabrina saves Joelâ€™s magic act. | Now streaming on Paramount+ #SabrinatheTeenageWitch #shorts,A_1ZaPj6x4I,Sabrina The Teenage Witch,2023-06-15T16:00:06Z,#SabrinaTheTeenageWitch I Stream now on Paramount+,"sabrina full episodes,melissa joan hart,sabrina the teenage witch reunion,sabrina the teenage witch cast,sabrina the teenage witch salem,sabrina the teenage witch 1996,sabrina the teenage witch full,sabrina the teenage witch episode,sabrina spellman,teenage witch,comedy",24,12765205,556822,387,PT48S,hd,public
The Cast of Sabrina The Teenage Witch Reacts to Chilling Adventures of Sabrina | Netflix,q9ZADzr5fZs,Still Watching Netflix,2018-10-29T22:00:03Z,"Melissa Joan Hart, Nate Richert, Caroline Rhea, and Beth Broderick watch the new Chilling Adventures of Sabrina for the first time. 

Watch Chilling Adventures of Sabrina On Netflix
https://www.netflix.com/in/title/80223989

SUBSCRIBE: http://bit.ly/29qBUt7

About Netflix:
Netflix is the world's leading internet entertainment service with 130 million memberships in over 190 countries enjoying TV series, documentaries and feature films across a wide variety of genres and languages. Members can watch as much as they want, anytime, anywhere, on any internet-connected screen. Members can play, pause and resume watching, all without commercials or commitments.

Connect with Netflix Online:
Visit Netflix WEBSITE: http://nflx.it/29BcWb5
Like Netflix Kids on FACEBOOK: http://bit.ly/NetflixFamily
Like Netflix on FACEBOOK: http://bit.ly/29kkAtN
Follow Netflix on TWITTER: http://bit.ly/29gswqd
Follow Netflix on INSTAGRAM: http://bit.ly/29oO4UP
Follow Netflix on TUMBLR: http://bit.ly/29kkemT

Chilling Adventures of Sabrina | The Cast of Sabrina The Teenage Witch Reacts | Netflix
http://youtube.com/netflix","Sabrina,Chilling Adventures of Sabrina,Sabrina the Teenage Witch,Netflix,Netflix Original Series,Netflix Series,television,television online,comedy,drama,08282016NtflxUSCAN,kiernan shipka,sabrina spellman,ross lynch,harvey kinkle,lucy davis,miranda otto,chance perdomo,adeline rudolph,caroline rhea,sabrina netflix,sabrina and harvey,teenage witch,tati gabrielle,beth broderick,et witches council,witches council,archie comics,jaz sinclair",24,2045710,54217,2705,PT2M9S,hd,public
"RuPaul in Sabrina, the Teenage Witch",lqHNRFWRSQ0,Stone Cold Sweetie,2014-12-13T21:04:54Z,,"Sabrina,The Teenage Witch (TV Program) Sabrina RuPaul Drag Queen Drag",1,1847541,36544,911,PT1M44S,sd,public
Chilling Adventures of Sabrina Season 2 Promo (HD) Sabrina the Teenage Witch,qpjPT0Z79fw,TV Promos,2018-12-01T06:14:33Z,"Chilling Adventures of Sabrina Part 2 launches April 5th on Netflix! Chilling Adventures of Sabrina imagines the origin and adventures of Sabrina the Teenage Witch as a dark coming-of-age story that traffics in horror, the occult and, of course, witchcraft. Tonally in the vein of Rosemaryâ€™s Baby and The Exorcist, this adaptation finds Sabrina wrestling to reconcile her dual nature â€” half-witch, half-mortal â€” while standing against the evil forces that threaten her, her family and the daylight world humans inhabit. Subscribe to tvpromosdb on Youtube for more Chilling Adventures of Sabrina season 1 promos in HD!

Chilling Adventures of Sabrina official website: https://netflix.com/chillingadventuresofsabrina
Like Chilling Adventures of Sabrina on Facebook: https://www.facebook.com/SabrinaOnNetflix
Follow Chilling Adventures of Sabrina on Twitter: https://twitter.com/SabrinaNetflix
Follow Chilling Adventures of Sabrina on Instagram: https://www.instagram.com/SabrinaNetflix

#CAOS

Â» Starring: Kiernan Shipka, Ross Lynch, Lucy Davis, Miranda Otto, Jaz Sinclair, Chance Perdomo
Â» Watch Chilling Adventures of Sabrina Season 2 April 25th on Netflix

Contribute subtitle translations for this video: https://www.youtube.com/timedtext_video?v=qpjPT0Z79fw",,24,1740743,41723,2385,PT46S,hd,public
When #90skids find out â€œSabrina the Teenage Witchâ€ is playing a GRANDMA nowâ€¦ #millennials #nostalgia,gmlkweXSA-Q,MelissaKristinTV - DigitalMunchies,2023-12-21T23:29:20Z,,,28,1284169,130697,676,PT44S,hd,public
The Best Of Salem (Sabrina The Teenage Witch),OXijUaTikhM,Transformersguy1000,2013-10-14T03:29:01Z,"Some of my favorite moments featuring the lovable fur ball.
Please note I do not own Sabrina The Teenage Witch, it is owned by CBS/Paramount.","Sabrina,The Teenage Witch (TV Program) Salem Best Moments",1,1283973,15680,769,PT2M11S,sd,public
SABRINA  the  teenage witch 1996,D72PJN1FsFM,FREE MIND,2016-12-12T01:43:02Z,Sabrina is a teenage girl witch from d series comic book Archie's Digest ...,,24,1222634,12663,1043,PT1H28M2S,sd,public
Sabrina Creates The Backstreet Boys,4FusWk0U_dU,Admiral Titan Entertainment (Mr Jason Well),2016-08-08T09:33:45Z,Bonus Video - https://youtu.be/j3WeaOV9O5Q,"sabrina the teenage witch sabrina creates the backstreet boys,sabrina the teenage witch the backstreet boys,sabrina the teenage witch magic,mr jason well,sabrina the teenage witch backstreet boys,backstreet boys,the backstreet boys",24,1184355,18854,1063,PT1M19S,hd,public
Billy Gunn Wrestled Sabrina The Teenage Witch ðŸ˜‚,GcIsiMW-x4k,CVV CLIPS,2024-07-02T15:15:24Z,Billy Gunn guest starred on 'Sabrina the Teenage Witch' and ended up wrestling her in a match! #wrestling #wwe #billygunn,,24,1098711,65202,832,PT1M,hd,public
Sabrina the Teenage Witch Quicksand Scenes,0FKqQom7p40,Quicksand Scenes,2016-04-18T13:49:52Z,"Season 4, Episode 22 (End of an Era)","sabrina,sabrina witch,quicksand,quicksand scene,quicksand girl,quicksand female,quicksand blonde,quicksand scene girl",22,1060587,3041,133,PT4M24S,sd,public
Sabrina the teenage witch intros,wL6pCdpNPNI,lilschnowyguy,2007-03-16T10:57:03Z,"Alternate Version Gen' 3 - https://www.youtube.com/watch?v=X_W-egXFPAM
----------------------------------
Also note before asking - NONE of these songs are music outside of the show, they are only intro songs. 
Also I like to keep the comments as child friendly as possible so please note any vulgar comments will be removed so keep it clean.
Thanks.
----------------------------------

A collection of the Sabrina the teenage witch intro's 'which' I have uniquely called 1st, 2nd and 3rd gen'.
I'm sure you was a fan of this marvelous show back in the day, it had an epic plot, and also a closet to another realm. :O","Sabrina,the,teenage,witch,salem,intro,tv",24,830448,2164,450,PT1M32S,sd,public
