title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Badshah - Sajna | Say Yes To The Dress (Official Video) | Payal Dev -Top Wedding Song,WBqoJVEyJPU,discovery plus India,2021-12-01T05:08:38Z,"Put on your dancing shoes and get ready to groove to the top wedding song of the year with the king of Music, Badshah! Sajna | Say Yes To The Dress celebrates the beauty in all the brides. This wedding season do the #SajnaStep and say YES to the wedding song!
#Badshah #PunitJPathak #PayalDev #AdityaDev 


ðŸŽ¶Listen ðŸŽ§ ðŸŽ¶ Now On:

Gaana: https://gaana.com/song/sajna-say-yes-to-the-dress

Spotify: https://open.spotify.com/track/3YV4Go0hpYXjGTGLJXjfda?si=kqgsueOoQLezrnfEBl-tvA

JioSaavn: https://www.jiosaavn.com/song/sajna-say-yes-to-the-dress/OlotAydJe3Y

YouTube Music: https://music.youtube.com/watch?v=4XRye-AMqdI&feature=share

Wynk Music: https://wynk.in/u/uCtso3fJl

Amazon Music: https://music.amazon.in/albums/B09MQL3S3C?do=play&trackAsin=B09MQM8B89&ref=dm_sh_3I63Pf04syTiRLL8ZVda6KZsA

Apple Music: https://music.apple.com/in/album/sajna-say-yes-to-the-dress/1597711073?i=1597711082



Audio Credits ðŸŽ™ï¸
Artist: Badshah, Payal Dev
Music: Aditya Dev
Composition: Badshah
Lyrics: Badshah
Mastering: Aditya Dev Studios

Video Credits ðŸŽ¥

- Produced
By TCT - The Content Team Pvt Ltd
Producer - Neeraj Sharma
Creative Head - Nidhi Moony Singh

- Director & Choreographer - Punit J Pathak

- Assistant Choreographers 
Hiten Shah
Swati Gamit Shah 
Hardik Rana 
Romsha Singh 
Avinash Bhagat
Tanmaye Chaudhary 

- Director Of Photography - Dhruwal Patel
- Production Design - Vertex
- Line Production - Samruddhi Productions 
- TCT Production Team - Vinod Wankhede
- TCT Accounts - Pranali Jadhav

- Badshah Costume 
Jharna Jana
Eeshita Shandilya
Post Production - 
Manoj Magar 
Adele Pereira 
Di Colorist - Oswin Reveredo

- Team TCT 
Yash Barot
Kritika Lunawat

- Contestant
Brides Costume - Sujata Setia

Team Badshah : 
Hair : Javed Sheikh
Makeup : Swapnil Haldankar
Security : Tight Security

Lyrics ðŸ“ƒ
Sajana ðŸ’•
tere liye sajana ye chudi kangana, 
Bas tere liye paayi hai paayi hai 
Aa Ha sang tere hai jeena marna 
Kasam maine khayi hai khayi hai
Sajana tere liye sajana ye chudi kangana,
Bas tere liye paayi hai paayi hai 
Aa Ha sang tere hai jeena marna âœ¨
Aey
Aey 
Kasam maine khayi hai (Aey Aey) khayi hai
Tu hai woh jiske liye main jag sara chhod sakta hu 
Second na lage
Tu hai woh jisse dekh dekh zara sa bhi na main thakta hu
nazar na lage
Har din tujhe karu impress meri jaa
Just say yes to the dress meri jaa
Meri jaa jaan meri ban gayi
Karu tere aage confess meri jaa
Sajana tere liye sajana ye chudi kangana,
Bas tere liye paayi hai paayi hai 
Aa Ha sang tere hai jeena marna 
Kasam maine khayi hai khayi hai
Bas tera chale tu le le pura din ho taiyaar tu ghaante na gin
Main hu yahi at your service take your time, Shawty you deserve it 
Haat mera tham, I ma make you smile, I like swag you like style
Deti mujhe window seat, khud leti aisle 
Jab bhi hoti low, tu karti number mera dail
Main hu tere saath, tu hai mere sang, tere saath time ki khabar na lage
Kisi bhi cheez main kasar na lage
Maangu dua yehi nazar na lage
Baby aise hil mat 
Ooooooo kar hume kill mat 
Oooooooo
Tu mujh ko mili hai
Oooooooo
Yeh meri kismat
Sajana tere liye sajana ye chudi kangana, â¤ï¸
Bas tere liye paayi hai paayi hai 
Aa Ha sang tere hai jeena marna ðŸ’¯
Kasam maine khayi hai khayi hai âœ¨

Follow us on:

Facebook: https://www.facebook.com/discoveryplusIN
Instagram: https://www.instagram.com/discoveryplusin/?hl=en
Twitter: https://twitter.com/discoveryplusIN","à¤¡à¤¿à¤¸à¥à¤•à¤µà¤°à¥€ à¤šà¥ˆà¤¨à¤²,discovery video,discovery plus,discovery in hindi,say yes to the dress,sajna Say yes to the dress,sajna by Badshah,badshah on discovery plus,music video by Badshah,badshah sajna song,sajna tere liye sajna,sajna step,wedding songs,badshah songs,discovery+ app,discovery plus india,discovery +,indian wedding songs,wedding dance songs,dance songs,top badshah songs,hindi wedding songs,Shaadi Wale Songs,shaadi songs",24,314289166,1560455,20023,PT2M42S,hd,public
Bride Has Unlimited Budget For Her Royal Kentucky Wedding Dress | Say Yes To The Dress,7erD56xKJaM,Say Yes to the Dress,2020-08-25T11:36:24Z,"Tracy and Ben are going to have a HUGE wedding, almost like a Royal event. So of course, her dress has to be amazing!

Catch Say Yes to the Dress on TLC - Sky 133, Virgin 162, BT TV 323","TLC UK,beautiful bride,bespoke bridal gown,bridal ensemble,couture bridal dress,custom wedding dress,designer bridal dress,designer wedding gown,exclusive bridal,extravagant wedding gown,fairytale bride,grand wedding dress,high-end wedding dress,opulent bridal gown,randy fenoli dresses kleinfeld,royal attire,royal bridal gown,say yes to the dress,say yes to the dress kleinfeld randy,unique bridal gown",24,26187602,358438,18614,PT8M23S,hd,public
Cami Li Wants a Dress That's as 'Black as Her Soul' | Say Yes To The Dress,3DdVk1wHEqw,Say Yes to the Dress,2018-07-11T11:00:00Z,"Much to her mother's dismay Cami Li is adamant on getting a black dress for her wedding day.

Catch Say Yes to the Dress on TLC - Sky 133, Virgin 162, BT TV 323","Cami Li wedding dress,Randy Fenoli,Say Yes to the Dress Cami Li,black bridal gown,black color wedding dress,bold wedding dress,bridal couture,bridal wear,cami li mother,contemporary wedding dress,elegant black dress,gothic-inspired wedding dress,kleinfeld randy,luxury wedding dress,modern wedding dress,randy say yes to the dress,say yes to the dress cami li,striking wedding dress,trendy bridal gown,trendy wedding dress",22,24852395,305915,32823,PT6M54S,hd,public
Miss America Wants a Simple & Elegant Gown | Say Yes To The Dress Atlanta,lsvHAzeUTzI,Say Yes to the Dress,2018-10-20T11:00:06Z,"Ever since winning the title of Miss America 2016 Betty Cantrell has worn many fashionable pageant gowns, however for her wedding she wants something more simple and stripped down.
Watch Full Episodes of Say Yes To The Dress Atlanta Here Y'all: https://goo.gl/DsVBji
Catch Say Yes to the Dress on TLC - Sky 133, Virgin 162, BT TV 323","Say Yes to the Dress Atlanta,TLC wedding show,bridal shopping experience,bridal style,bridal trends,celebrity wedding gowns,custom wedding dress,elegant wedding dress,emotional bride moments,fairy tale bridal gown,traditional wedding dress,wedding dress designer,wedding fashion trends,wedding gown,wedding gown tips,wedding preparations",24,19177683,263393,7036,PT7M52S,hd,public
Just say yes to the dress meri jaan ðŸŽ‰,YltqCcM6xcw,HELLY SHAH,2021-12-11T11:21:49Z,,,22,18553988,657139,1121,PT16S,hd,public
Jealous Sister Takes Over the Bridal Appointment! | Say Yes To The Dress Atlanta,10AUpv1PtiI,Say Yes to the Dress,2018-12-29T13:00:00Z,"Jaye is super excited for her appointment, until her sister takes over the appointment, even going so far as to try on a wedding dress of her own!

Catch Say Yes to the Dress on TLC - Sky 133, Virgin 162, BT TV 323","TLC,bridal appointment,bridal boutique,bridal budgeting,bridal consultant,bridal consultation,bridal fitting,bridal industry,bridesmaid dresses,marital bliss,marriage ceremony,marriage tips and tricks,wedding dress try on haul,wedding dresses,wedding expert advice,wedding gown fitting,wedding gown selection,wedding planning,wedding preparation,wedding show",24,18406969,269762,16741,PT7M6S,hd,public
The Dog Has to Look as Good in the Dress as the Bride | Say Yes To The Dress,xpIl2BTLQjE,Say Yes to the Dress,2018-11-13T12:00:06Z,"Mariah is looking for a bold colourful wedding dress that will also look good on her dog Coco.
Watch Full Episodes of Say Yes To the Dress Here: https://goo.gl/qkmXN5
Catch Say Yes to the Dress on TLC - Sky 133, Virgin 162, BT TV 323","bridal appointment,bridal boutique,bridal consultant,bridal makeover,custom wedding dress design,designer wedding gown,dog fashion,dog-friendly weddings,dream wedding dress,fairytale wedding dress,luxurious bridal gown,pet couture,pet wedding attire trends,stylish pet outfits,traditional wedding gowns,unconventional wedding attire,unique wedding themes,wedding dress consultation,wedding dress shopping tips,wedding gown designer",24,17229527,235351,14335,PT7M57S,hd,public
Badshah - Sajna | Say Yes To The Dress | Payal Dev | #shorts,I5ebCqtdAFA,Balvinder Kaur,2022-01-10T05:28:27Z,"Dear Viewers, 

Say YES to the wedding song!

#SajnaStep #Badshah #PunitJPathak #PayalDev #AdityaDev #Sajna #SayYesToTheDress #TereLiyeSajna #SajnaTereLiyeSajna #sajnasongâ€‹ #sajnasongbadshah #badshahnewsongsajnaâ€‹ #SajnaSayYesToTheDressâ€‹ #shortsâ€‹ #youtubeshorts #YouTubeShorts #NewWeddingSong #TheWeddingSongDance
  
YouTube Short by Your Super Speaker Balvinder Kaur

Do leave a LIKE & COMMENT and SUBSCRIBE & SHARE if you've enjoyed this video. 

Many Thanks for watching!! 

STAY MOTIVATED :)

Also do follow me on:
 
Facebook Page: https://www.facebook.com/Super-Speaker-Balvinder-Kaur-101305634827816/ 

Instagram: https://www.instagram.com/balvinder1500/","SajnaStep,Badshah,PunitJPathak,PayalDev,AdityaDev,Sajna,SayYesToTheDress,TereLiyeSajna,SajnaTereLiyeSajna,sajnasong,sajnasongbadshah,badshahnewsongsajna,SajnaSayYesToTheDress,shorts,youtubeshorts,YouTubeShorts,NewWeddingSong,TheWeddingSongDance",22,16948714,322002,1037,PT16S,hd,public
"Randy Is ""Disgusted"" By The Way This Mum Treats Her Daughter | Say Yes To The Dress",ZUQxDxtDeeY,Say Yes to the Dress,2020-11-08T12:00:13Z,"This bride has been to more than 80 shops trying to find the perfect wedding dress and just when there's one she loves, her mum ruins it.

Catch Say Yes to the Dress on TLC - Sky 133, Virgin 162, BT TV 323","bridal challenges,bridal dress alterations,bridal dress collection,bridal dress designers,bridal industry,bride's entourage,bride's happiness level,bridezilla moments,emotional decisions,family conflicts,wedding day dreams,wedding dress advice,wedding dress consultation,wedding dress shopping tips,wedding dress styles,wedding fashion advice,wedding planning stress,wedding preparations",24,14795590,260583,29722,PT9M10S,hd,public
â€œLooks Like Youâ€™re a Mop!â€ Bride in Tears After BRUTAL Reactions! | Say Yes To The Dress Atlanta,tjR5kqmz-1M,Say Yes to the Dress,2020-12-21T12:00:30Z,"The bride is left fighting tears after her entourage refuses to hold back any of their criticisms.

Catch Say Yes to the Dress on TLC - Sky 133, Virgin 162, BT TV 323","Say Yes to the Dress,bridal beauty tips,bridal designer gowns,bridal hair and makeup,bridal industry,bridal party opinions,bridal styling tips,bridal transformation,bridal veil styles,crying mom with doll say yes to the dress,dress shopping experience,emotional bonding moments,emotional breakdown,emotional journey,emotional support system,wedding dress consultants,wedding dress inspiration,wedding dresses,wedding fashion show",24,14051419,274192,35335,PT8M38S,hd,public
