slug,show_title
24_tv_show,24
21_jump_street,21 Jump Street
30_rock,30 Rock
90_day_fiance,90 Day Fiance
access_hollywood,Access Hollywood
ally_mcbeal,Ally McBeal
alone,Alone
the_amazing_race,The Amazing Race
american_chopper,American Chopper
american_dad,American Dad
american_idol,American Idol
american_ninja_warrior,American Ninja Warrior
american_pickers,American Pickers
americas_most_wanted,America's Most Wanted
ancient_aliens,Ancient Aliens
angel,Angel
antiques_road_trip,Antiques Road Trip
arrested_development,Arrested Development
bad_girls_club,Bad Girls Club
battlestar_galatica,Battlestar Galatica
below_deck,Below Deck
beverly_hills_90210,Beverly Hills 90210
beyond_the_headlines,Beyond The Headlines
big_bang_theory,Big Bang Theory
blind_date,Blind Date
bobs_burgers,Bob's Burgers
bones,Bones
boston_legal,Boston Legal
botched,Botched
bourdain__parts_unknown,Bourdain - Parts Unknown
bride__prejudice,Bride & Prejudice
buffy_the_vampire_slayer,Buffy The Vampire Slayer
cake_boss,Cake Boss
charmed,Charmed
chicago_hope,Chicago Hope
cold_case_files,Cold Case Files
community,Community
counting_cars,Counting Cars
dance_moms,Dance Moms
deadliest_catch,Deadliest Catch
desperate_housewives,Desperate Housewives
dharma__greg,Dharma & Greg
dog_the_bounty_hunter,Dog The Bounty Hunter
doogie_howser_md,Doogie Howser M.D.
doomsday_preppers,Doomsday Preppers
dr_pimple_popper,Dr Pimple Popper
dr_phil_show,Dr. Phil Show
duck_dynasty,Duck Dynasty
er,ER
escape_to_the_chateau,Escape to the Chateau
eurovision,Eurovision
family_guy,Family Guy
the_fbi_files,The FBI Files
fifth_wheel,Fifth Wheel
flip_this_house,Flip This House
forensic_files,Forensic Files
forged_in_fire,Forged In Fire
friday_night_lights,Friday Night Lights
friends,Friends
fringe,Fringe
futurama,Futurama
fyi,FYI
glee,Glee
gold_rush,Gold Rush
greys_anatomy,Grey's Anatomy
gypsy_rose,Gypsy Rose
hells_kitchen,Hell's Kitchen
hoarders,Hoarders
house_md,House M.D.
how_i_met_your_mother,How I Met Your Mother
i_love_lucy,I Love Lucy
impractical_jokers,Impractical Jokers
in_living_color,In Living Color
invincible,Invincible
its_always_sunny_in_philadelphia,It's Always Sunny in Philadelphia
jerry_springer,Jerry Springer
judge_judy,Judge Judy
karamo,Karamo
keeping_up_with_the_kardashians,Keeping up with the Kardashians
key__peele,Key & Peele
king_of_the_hill,King of the Hill
kitchen_nightmares,Kitchen Nightmares
la_law,L.A. Law
life_below_zero,Life Below Zero
little_women,Little Women
live_pd,Live PD
lost,Lost
love_island_usa,Love Island USA
married_at_first_sight,Married At First Sight
maury_povitch,Maury Povitch
modern_family,Modern Family
mountain_men,Mountain Men
my_600lb_life,My 600lb life
naked_and_afraid,Naked and Afraid
new_girl,New Girl
nypd_blue,NYPD Blue
parks_and_recreation,Parks and Recreation
pawn_stars,Pawn Stars
prison_break,Prison Break
queens_court,Queens Court
rick__morty,Rick & Morty
sabrina_the_teenage_witch,Sabrina The Teenage Witch
sally_jesse_raphael,Sally Jesse Raphael
say_yes_to_the_dress,Say Yes To The Dress
seinfeld,Seinfeld
sex_and_the_city,Sex and The City
shark_tank,Shark Tank
shash_of_sunset,Shash of Sunset
sister_wives,Sister Wives
six_feet_under,Six Feet Under
the_secrets_of_skinwalker_ranch,The Secrets of Skinwalker Ranch
south_park,South Park
southern_charm,Southern Charm
storage_wars,Storage Wars
street_outlaws,Street Outlaws
suits,Suits
survivor,Survivor
temptation_island,Temptation Island
the_bachelor,The Bachelor
the_brady_bunch,The Brady Bunch
the_curse_of_oak_island,The Curse of Oak Island
the_drew_barrymore_show,The Drew Barrymore Show
the_first_48,The First 48
the_gentle_art_of_swedish_death_cleaning,The Gentle Art of Swedish Death Cleaning
the_incredible_dr_pol,The Incredible Dr. Pol
the_kelly_clarkson_show,The Kelly Clarkson Show
the_office,The Office
the_proof_is_out_there,The Proof Is Out There
the_rachael_ray_show,The Rachael Ray Show
the_real_housewives_of_orange_county,The Real Housewives of Orange County
the_simpsons,The Simpsons
the_sopranos,The Sopranos
the_steve_wilkos_show,The Steve Wilkos Show
the_traitors,The Traitors
the_unexplained,The Unexplained
the_walking_dead,The Walking Dead
the_west_wing,The West Wing
the_xfiles,The X-Files
toddlers__tiaras,Toddlers & Tiaras
two_and_a_half_men,Two And A Half Men
undercover_boss,Undercover Boss
unsolved_mysteries,Unsolved Mysteries
vanderpump_rules,Vanderpump Rules
veep,Veep
vikings,Vikings
