slug,Show,Type,IP Owner,Streaming,YT Channel,YT Subs,Uploads,Created,YT Views (top 600 videos),YT Views (last 30 days),YT Views/Sub,Estimated Yearly Views,Estimated YT Yearly Earnings,FB Channel,FB followers,FB post frequency (last 2 weeks),Estimated FB Yearly Earnings,Estimated Total Earnings,Seasons,Episodes,Notes,Genre,imdb_title_id,imdb_episode_count,imdb_avg_rating,imdb_weighted_avg_rating,imdb_total_votes,imdb_best_episode_rating,imdb_best_episode_title
24_tv_show,24,Show,Disney/Fox,Disney+/Hulu,,,,,25.9M,,,,,https://www.facebook.com/Official24TVShow,3.7M,0,,,,,,,tt0285331,,,,,,
american_chopper,American Chopper,Show,WBD,Max,Discovery,,,,122.0M,,,0.0M,,https://www.facebook.com/AmericanChopper,1.2M,0,$0 ,$0 ,12,231,Clips on Discovery YT,,tt0364779,242,6.185,6.2003,1717,8.5,Welcome Back
bad_girls_club,Bad Girls Club,Show,NBCU,Peacock,???,,,,,,,,,https://www.facebook.com/thebadgirlsclub,4.4M,0,$0 ,$0 ,,,Last active in October,,tt0914829,267,6.2077,6.4518,2737,8.2,Throw-up Throw-down
beverly_hills_90210,Beverly Hills 90210,Show,CBS,Paramount+,https://www.youtube.com/@BevHills90210,50K,733,1/26/2023,119.0M,1.6M,32,19.2M,"$38,400 ",https://www.facebook.com/BeverlyHills90210,0.7M,10,"$38,400 ","$76,800 ",,,,,tt0098749,292,6.8014,6.8734,54773,8.4,One Wedding and a Funeral
bones_tv_show,Bones,Show,Disney/Fox,Disney+/Hulu,,,,,39.5M,,,,,https://www.facebook.com/Bones,9.4M,1,,,,,,,tt0460627,,,,,,
cake_boss,Cake Boss,Show,WBD,Max,TLC,,,,"1,000.0M",,,0.0M,,https://www.facebook.com/CakeBoss,8.4M,0,$0 ,$0 ,9,247,Clips on Discovery YT,,tt1444382,208,7.21,7.2932,718,9.2,"Beer, Buttercups & Bumbling"
charmed,Charmed,Show,CBS,Paramount+,,42K,783,4/11/2023,58.7M,2.5M,59.5,30.0M,"$60,000 ",https://www.facebook.com/charmedtv,2.2M,10,"$60,000 ","$120,000 ",,,,,tt0158552,179,7.7866,7.8524,148289,9.2,Forever Charmed
deadliest_catch,Deadliest Catch,Show,WBD,Max,Discovery,,,,192.0M,,,0.0M,$0 ,https://www.facebook.com/DeadliestCatch,3.2M,0,$0 ,$0 ,20,351,,,tt0446809,379,7.7253,7.7505,10946,8.8,Man Down
desperate_housewives,Desperate Housewives,Show,Disney,Hulu,ABC,,,,207.2M,,,0.0M,,https://www.facebook.com/DesperateHousewives,8.8M,2,$0 ,$0 ,,,Clips on ABC YT channel,,tt0410975,180,7.9689,8.0344,134922,9.5,Bang
doogie_howser_md,Doogie Howser M.D.,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,,tt0096569,97,7.0856,7.1294,5167,8.1,To Live and Die in Brentwood
doomsday_preppers,Doomsday Preppers,Show,Disney,Disney+/Hulu,NatGeo YT,,,,58.7M,,,,,https://www.facebook.com/doomsdaypreppers,0.3M,0,$0 ,$0 ,,,Full eps in playlist on NatGeo channel,,tt2069270,53,6.6045,6.6556,583,8.2,You Said It Was Non-Lethal
dr_phil,Dr. Phil Show,Show,CBS,Paramount+,,"6,360K","14,898",7/5/2007,,7.6M,1.2,91.2M,"$182,400 ",https://www.facebook.com/drphilshow,9.5M,10,"$182,400 ","$364,800 ",,,,,tt0329824,4518,5.9382,5.9193,410,8.7,Former Priest Pete vs. Scorned Ex-Wife Pamela: Who Is to Blame for Their Son's Death?
er_emergency_room,ER,Show,WBD,Max,https://www.youtube.com/@er-emergencyroom434,60K,206,8/17/2019,61.0M,0.3M,5.2,3.8M,"$7,513 ",,,,,"$7,513 ",15,331,"YT fan channel, but not official",,tt0108757,,,,,,
forensic_files,Forensic Files,Show,FilmRise,,,,,,215.1M,,,,,,,,0,$0 ,,,,,tt0247882,406,7.3202,7.3404,40894,8.5,The List Murders
