title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
The First Time I Met Leo | The West Wing,bzeTpnu0PU0,The West Wing,2024-10-03T21:00:32Z,"â€œWould you run again if you could?â€

Season 7, Episode 17: Election Day, Part II

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,17686,355,16,PT2M40S,hd,public
10 Unforgettable Moments | The West Wing,sEC9NzBeenE,Warner Bros. TV,2024-09-22T02:33:21Z,"#TheWestWing is now streaming on Max.

ABOUT: Intense and dedicated presidential advisers get their personal lives hopelessly tangled up with professional duties as they try to conduct the business of running a country with fictional Democratic President Josiah ""Jed"" Bartlet.",,22,122798,1471,150,PT19M58S,hd,public
Donna Gets Back at Josh | The West Wing,w4zd0j8AqcQ,The West Wing,2024-10-02T11:01:06Z,"â€œAs does pertain to Bambi.â€

Season 4, Episode 5: Debate Camp

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,23888,340,10,PT2M46S,hd,public
"Thanks, but No Thanks | The West Wing",5ANNaX-p9N8,The West Wing,2024-10-04T11:00:08Z,"â€œItâ€™s hard to get excited about anything after this.â€

Season 7, Episode 21: Institutional Memory

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,4470,115,11,PT2M34S,hd,public
The Best of Season 1 | The West Wing,7tgmqW_vm5Q,The West Wing,2024-08-24T09:00:06Z,"â€œHey! We look good!""

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,70193,730,52,PT53M58S,hd,public
The Best of Season 2 | The West Wing,nnxIqbUVEHk,The West Wing,2024-08-16T19:00:29Z,"â€œNo need to rush that day.""

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,189582,1428,76,PT1H8M18S,hd,public
Top 5 Memorable Speeches | The West Wing,8HE7r4rX04I,Warner Bros. TV,2024-08-29T13:03:36Z,"#TheWestWing is now streaming on Max.

ABOUT: Intense and dedicated presidential advisers get their personal lives hopelessly tangled up with professional duties as they try to conduct the business of running a country with fictional Democratic President Josiah ""Jed"" Bartlet.",,22,160407,2053,175,PT10M13S,hd,public
Jed Bartlet's Finest Hour: Part 1 | The West Wing,410IRtLotS4,The West Wing,2024-08-31T11:00:03Z,"WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,367162,3068,225,PT58M59S,hd,public
John Amos Americas TV Dad has gone on to be with the Lord at 84 years young #johnamos,5JdhY5CxPqA,Indignant Desert Birds,2024-10-01T20:59:59Z,"America dad John Amos has gone on to be with the Lord at 84 years young 

Actor John Amos, whose long career included a range of iconic roles in such works as ""Roots,"" ""Good Times"" and ""The West Wing,"" died in August, his family said Tuesday.
He was 84 when he died from natural causes in Los Angeles on Aug. 21, according to a statement from the actor's publicist.

""With a career spanning over five decades, Amos leaves behind a legacy of groundbreaking work on both television and film, and a dedication to positive African American representation in media,"" the statement read.
Kelly Christopher Amos called his father ""my dad, my best friend, and my hero.""
â€œIt is with heartfelt sadness that I share with you that my father has transitioned,â€ the younger Amos said.
â€œHe was a man with the kindest heart and a heart of gold â€¦ and he was loved the world over. Many fans consider him their TV father. He lived a good life. His legacy will live on in his outstanding works in television and film as an actor.â€Â 


#catholicsofcolor #Catholicnerds","John Amos,Catholics of color,Tv Dad",24,489,49,7,PT22S,hd,public
President Bartlett kicks the bible thumpers butt!,AIHjoT19XpE,Stephen Denner,2012-12-27T20:27:46Z, ,"President Bartlett,martin sheen",10,1760480,21307,6071,PT4M2S,sd,public
