title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Toddlers and Tiaras S06E12 - An Oompa-Loompa! (Hollywood Starz: Hip Hop) PART 3,EmL2d_yl8so,ToddlersNTiarasTapes,2013-11-02T10:44:59Z,"All rights belong to TLC.
Let me know if there's any scene from Toddlers & Tiaras you want me to upload.","Toddlers & Tiaras (TV Program),toddlers and tiaras devin,child beauty pageants,beauty pageants,pageantry,pageants,tnt,tandt,t&t,tlc,cough,cooperate,work,fast,no,hip hop,pageant routine,body painting,pressure,stress,stop,stay still,stupid,cheetah,hurry up,late,shut up,nervous,cage,jungle,african jungle,concrete jungle,creative,outside the box,roar,dancing,pleased,rushed,over the top,high five",24,38816841,86455,N/A,PT3M5S,hd,public
MOST SASSY MOMENTS | Honey Boo Boo VS Toddlers and Tiaras,kml7XztIRAY,tlc uk,2017-12-15T15:30:02Z,"Watch some of the most sassy moments from Here Comes Honey Boo Boo and Toddlers and Tiaras!
Subscribe to TLC UK for more great clips: https://www.youtube.com/channel/UC2vlpX8sNDBmPcY_1_QSGJg?sub_confirmation=1

Like TLC UK on Facebook: https://www.facebook.com/uktlc/

Follow TLC UK on Twitter: https://twitter.com/tlc_uk?lang=en

Visit our website: http://www.uk.tlc.com/","Alana Thompson,Honey Boo Boo moments,TLC network,beauty and glam,beauty pageants,child stars,children's fashion,family reality show,funny parenting moments,kiddie drama,laugh out loud,parental humor,reality show antics,sassiness,sassy moments,stages of pageantry,supreme pageant queens",24,22001271,125238,0,PT7M54S,hd,public
The WORST Toddler & Parent Tantrums Ever! | Toddlers And Tiaras,F4KOuknaQyQ,tlc uk,2017-01-11T15:00:02Z,"Watch some of the worst tantrums from the show, and we don't just mean the children!
Subscribe for more great clips: https://www.youtube.com/channel/UC2vlpX8sNDBmPcY_1_QSGJg?sub_confirmation=1

Like TLC UK on Facebook: https://www.facebook.com/uktlc/

Follow TLC UK on Twitter: https://twitter.com/tlc_uk?lang=en

Visit our website: http://www.uk.tlc.com/","argument,children's pageant meltdowns,childrens beauty pageants,fight,funny tlc episodes,funny toddler moments,intense toddler fits,kids in pageants chaos,kids throwing fits,outrageous child behavior,pageant makeup,pageant makeup fails,pageants 2016,pageants for kids,public tantrums,reality television,tlc craziest moments,tlc network programs,toddlers and tiaras backstage,toddlers and tiaras meltdowns",24,20108790,132126,34442,PT7M39S,hd,public
Toddlers & Tiaras with Tom Hanks,dPLWKBWkn3s,Jimmy Kimmel Live,2011-02-28T06:28:28Z,"The fourth part of Jimmy's interview with Tom Hanks where he shares a clip of Toddlers & Tiaras.

SUBSCRIBE to get the latest #KIMMEL: http://bit.ly/JKLSubscribe

Watch the latest Mean Tweets: http://bit.ly/MeanTweets8

Connect with Jimmy Kimmel Live Online:

Visit the Jimmy Kimmel Live WEBSITE: http://bit.ly/JKLWebsite
Like Jimmy Kimmel Live on FACEBOOK: http://bit.ly/JKLFacebook
Follow Jimmy Kimmel Live on TWITTER: http://bit.ly/JKLTwitter
Follow Jimmy Kimmel Live on INSTAGRAM: http://bit.ly/JKLInstagram

About Jimmy Kimmel Live:

Jimmy Kimmel serves as host and executive producer of Emmy nominated ""Jimmy Kimmel Live,"" ABC's late-night talk show.

""Jimmy Kimmel Live"" is well known for its huge viral video successes with 1.5 billion views on YouTube alone. Some of Kimmel's most popular comedy bits include - Mean Tweets, Lie Witness News, Jimmy's Twerk Fail Prank, Unnecessary Censorship, YouTube Challenge, The Baby Bachelor, Movie: The Movie, Handsome Men's Club, Jimmy Kimmel Lie Detective and music videos like ""I (Wanna) Channing All Over Your Tatum"" and a Blurred Lines parody with Robin Thicke, Pharrell, Jimmy and his security guard Guillermo.

Now in its eleventh season, Kimmel's guests have included: Johnny Depp, Meryl Streep, Tom Cruise, Halle Berry, Harrison Ford, Jennifer Aniston, Will Ferrell, Katy Perry, Tom Hanks, Scarlett Johansson, Channing Tatum, George Clooney, Larry David, Charlize Theron, Mark Wahlberg, Kobe Bryant, Steve Carell, Hugh Jackman, Kristen Wiig, Jeff Bridges, Jennifer Garner, Ryan Gosling, Bryan Cranston, Jamie Foxx, Amy Poehler, Ben Affleck, Robert Downey Jr., Jake Gyllenhaal, Oprah, and unfortunately Matt Damon.

Toddlers & Tiaras with Tom Hanks
http://www.youtube.com/user/JimmyKimmelLive","girl,modelling,swimsuit,competition,daughter,sophie,Jimmy Kimmel,Jimmy Kimmel Live,mean tweets,celebrities read mean tweets,Jimmy Kimmel mean tweets,Jimmy Kimmel lie detector,Unnecessary censorship,Guillermo,Man on the Street,YouTube Challenge,YouTube Pranks,Lie Witness News,Jimmy Fallon,Hollywood,los angeles,tonight,comedy,talk show,funny,Toddlers & Tiaras with Tom Hanks",23,18887938,110171,17888,PT6M39S,hd,public
Toddlers and Tiaras - A piece of my mind! by Brenna (All Around The World Pageant) [PART 3],V1DvtIiDjbE,ToddlersNTiarasTapes,2013-07-17T18:29:42Z,All rights belong to TLC.,"toddlers and tiaras,tnt,tlc,t&t,brenna,brenna gaskin,brat,kid,little girl,child pageants,beauty pageants,child beauty pageants,get out,go away,tantrum,throwing a fit,bratty child,bratty kid,adorable,cute,precious,funny,little kid,hilarious,personality,unhappy,running away,help,help me,wait,wait for me,i said get out,bad behavior,upset,im done,a piece of my mind,giving them a piece of my mind,cleopatra,pageant routine,angry,screaming,yelling",24,10637745,35811,11189,PT3M38S,sd,public
Animal Pageant Takeover | Toddlers and Tiaras,qgsuS6oE8aw,tlc uk,2016-11-16T18:00:03Z,"In the 'me and my pet' portion of the pageant, toddlers must compete with their favourite furry animals. Subscribe for more great clips: =https://www.youtube.com/channel/UC2vlpX8sNDBmPcY_1_QSGJg?sub_confirmation=1","animal bonding,animal companionship,animal pageant,beauty pageants,crazy child outfits,cute companionship,farm animals,glamorous makeup,little models,pageant makeup,pageants 2016,pet accessories,pet costumes,stage presence,stylish makeup,tiaras,toddlers and tiaras full episode,toddlers and tiaras season 7,toddlers and tiaras season 7 episode 8,young talents",24,9295465,39866,6629,PT6M35S,hd,public
The Scream Queen | Toddlers and Tiaras,HKOZq566FmQ,tlc uk,2018-01-02T13:00:03Z,"Laci, 8 claims she is 'all that and a bag of chips!' Laci has never lost a pageant and refuses to lose this one. Laci loves chocolate, and if she doesn't get any, you may hear her go into a screaming fit. 
Subscribe to TLC UK for more great clips: https://www.youtube.com/channel/UC2vlpX8sNDBmPcY_1_QSGJg?sub_confirmation=1

Like TLC UK on Facebook: https://www.facebook.com/uktlc/

Follow TLC UK on Twitter: https://twitter.com/tlc_uk?lang=en

Visit our website: http://www.uk.tlc.com/","beauty queen moments,celebrities,competitive spirit,kid influencers,kids in the spotlight,little celebrities,little fashionistas,little stars shine,mini beauty queens,model,pageant queen,pageant secrets,pageants for kids,quirky kids,reality show kids,scream queen,showbiz toddlers,stage presence,talented tots,toddler meltdowns",24,6742404,35774,9295,PT7M28S,hd,public
Toddlers and Tiaras Parody,FMmq_bqc6zY,Moriah Elizabeth,2012-04-12T00:17:02Z,"A parody of the popular TLC reality show ""Toddlers and Tiaras."" This is a comedic display of the typical situations in the show.
Tiana is an independent seven year old girl (Played by my younger brother Sam), who is forcefully put into beauty pageants by her overbearing mother, Debra (Played by myself).
This is WaCkY wEdNeSdAy EPISODE #5!
PLEASE COMMENT, LIKE, AND SUBSCRIBE FOR MORE!","Video,funny,toddlers,tiaras,beauty,pageant,glitz,glamour,makeup,tiana,Parody (Film Genre),Comedy,Spoof,Miss,Fashion,TLC,overbearing,mother,comedy,Cosmetics (Industry),Industry (Literature Subject),genuinelymoriah",24,6517040,204965,46547,PT8M10S,hd,public
The Cast Of Toddlers And Tiaras ALL GROWN UP,xTKmvLxqOJU,TheThings Celebrity,2017-06-30T20:00:04Z,"This is how the famous kids from the popular TV show look like today! Subscribe: https://goo.gl/Hnoaw3
-----------------------------------------------------------------------------------------
Ever since â€œToddlers & Tiarasâ€ debuted back in 2009, viewers just canâ€™t get enough of the show. The program follows a bunch of young beauty queens who are vying for various pageant titles. We get to see every tear, every fight, every choreographed dance move, and every big puffy dress. 

Over the years, there have been many memorable stars on the show, and a few of them really captured our hearts. If youâ€™ve ever wondered what these reality TV stars looked like today, hang on tight because weâ€™re about to show pictures of what they look like now in our video: The Cast of Toddlers and Tiaras All Grown Up.

-----------------------------------------------------------------------------------------
Our Social Media:
Facebook: https://www.facebook.com/TheTalko
Twitter: https://twitter.com/thetalko
Instagram: https://instagram.com/the_talko

-----------------------------------------------------------------------------------------
For more videos and articles visit:
http://www.thetalko.com/","TheTalko,toddlers,tiaras,cast,in real life,where are they now,look like today,all grown up,then,now",24,6058908,34756,N/A,PT12M1S,hd,public
Toddlers and Tiaras: Televised Abuse and Unethical Parenting,BQA8aCe9WMQ,handsXdown93,2013-04-17T21:31:20Z,"This was made on iMovie for a college ethics class project.

***PLEASE READ!!***

Feel free to share your thoughts and debate amongst yourselves below, but please be respectful and debate properly! Personal attacks and disrespect just make you look dumb. Explain WHY you believe what you believe and back it up with facts. 

Thank you all so much for taking the time out of your day to watch this and share your experiences and perspectives!

FAQ:
-The song in the beginning of the video is Fade Into You by Mazzy Star.
- Feel free to share this with whomever you want as long as proper credit is given, and please leave a comment below as to where you're from and who you shared it with!
- Thank you, I have to agree my baby sister is pretty darn cute :) She no longer wants to be a zookeeper, now she wants to be a dog breeder lol go figure.
- I did get an ""A"" :)

No copyright infringement intended(:","toddlers and tiaras,tlc,child abuse,inspirational,ethics,ethical theories,college,imovie,assignment,NHTI,New Hampshire,Education,Student,Real,controversial",23,5560359,41368,N/A,PT6M31S,sd,public
