title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
"Unsolved Mysteries with Robert Stack - Season 5, Episode 8 - Full Episode",aNRUAJAuJKw,FilmRise True Crime,2019-05-23T22:07:12Z,"This episode includes: Falcon Lake UFO, Inside Frontera, UD: Loving's Lost Love and Disappearing Dad.","Unsolved Mysteries with Robert Stack,FilmRise,Unsolved Mysteries,Robert Stack,Unscripted,Full Episodes,Full Episode,Official,Free,Classic Television,TV,Television",24,711555,7657,847,PT45M47S,sd,public
"Unsolved Mysteries with Robert Stack - Season 4, Episode 13 - Full Episode",9VNVwSMG0tE,FilmRise True Crime,2019-05-22T21:56:18Z,"This episode includes: Chad, UD: Thanks Big Brother, Honky Tonk Woman & UD, Practical Joker & UD and Nine Lives & UD.","Unsolved Mysteries with Robert Stack,FilmRise,Robert Stack,Unsolved Mysteries,Television,Classic TV,Full Episodes,Full Episode",24,256417,2266,267,PT50M3S,sd,public
"Unsolved Mysteries with Robert Stack - Season 5, Episode 23 - Full Episode",O3KiRO86ewA,FilmRise True Crime,2019-05-23T22:06:33Z,"This episode includes: Gander, Peggie's Brother, Cult of de Cloud & UD and UD: Polio.","Unsolved Mysteries with Robert Stack,FilmRise,Unsolved Mysteries,Robert Stack,Unscripted,Full Episodes,Full Episode,Official,Free,Classic Television,TV,Television",24,241210,2151,264,PT46M53S,sd,public
"Unsolved Mysteries with Robert Stack - Season 3, Episode 6 - Updated Full Episode",axBCYGlJnoY,FilmRise True Crime,2022-03-16T20:52:34Z,"This episode includes: Real Twin Peaks & UD, Update: Baby Broker, Twins, Mary and Martha & UD, Serial Child Molester & UD.

Hosted by Robert Stack, this series uses re-enactments and interviews to retell the circumstances of, well, mysteries that are unsolved. Includes case updates.","True Crime,Unsolved Mysteries,Robert Stack,Update",1,201869,2199,188,PT52M58S,sd,public
"Unsolved Mysteries with Dennis Farina - Season 1, Episode 1 - Full Episode",D5m8JNVBdds,FilmRise True Crime,2017-03-09T01:55:48Z,"This episode includes: Colorado Cop Killer, Playboy Con Man, Update: Larryâ€™s Rampage, Life after Lightning, Mickey Thompson and Missing Gringo. 

Click here to watch great FREE Movies & TV: http://filmrise.com","Crime,Mystery,Unsolved,Dennis Farina,FilmRise",24,197364,1184,136,PT42M48S,hd,public
"Unsolved Mysteries with Robert Stack - Season 8, Episode 2 - Updated Full Episode",a2JQLuxnmqE,FilmRise True Crime,2022-07-18T22:00:01Z,"This episode includes: Deadly Doses & UD, Missing Bird People, Baby's Breath and Fawzi's Son & UD. 

Hosted by Robert Stack, this series uses re-enactments and interviews to retell the circumstances of, well, mysteries that are unsolved. Covering crimes, tales of lost love, unexplained history and paranormal events, viewers are encouraged to call in with information that might solve the mystery.","True Crime,Unsolved Mysteries,Robert Stack,Update",1,181662,1983,268,PT44M5S,sd,public
"Unsolved Mysteries with Robert Stack - Season 6, Episode 3 - Full Episode",h2b0lz4x27Y,FilmRise True Crime,2019-05-23T22:02:51Z,"This episode includes: Anastasia (Pts. 1, 2 & 3) & UD, Jail Family & UD and Killer Boyfriend & UD.","Unsolved Mysteries with Robert Stack,FilmRise,Unsolved Mysteries,Robert Stack,Unscripted,Full Episodes,Full Episode,Official,Free,Classic Television,TV,Television",24,172958,1874,228,PT46M51S,sd,public
"Unsolved Mysteries with Robert Stack - Season 2, Episode 15 - Full Episodes",fdY2QfVdZyg,FilmRise True Crime,2019-05-21T21:48:37Z,"This episode includes: Wheat Fields, Hit and Run, Update: Sharon's Search and Novel Disappearance.","Unsolved Mysteries with Robert Stack,FilmRise,Robert Stack,Unsolved Mysteries,Classic TV,Full Episodes,Television,Unscripted",24,153545,1506,170,PT48M10S,sd,public
"Unsolved Mysteries with Robert Stack - Season 4, Episode 10 - Full Episode",8M-ls_qP98M,FilmRise True Crime,2019-05-22T21:56:25Z,"This episode includes: Belgian UFO, (Pts. 1 & 2), UD: I.D. Swap, Brenda's Fire and Philip Breen & UD.","Unsolved Mysteries with Robert Stack,FilmRise,Robert Stack,Unsolved Mysteries,Television,Classic TV,Full Episodes,Full Episode",24,139125,1646,311,PT46M9S,sd,public
"Unsolved Mysteries with Dennis Farina - Season 7, Episode 22 - Updated Full Episode",7zvcsG17zPs,FilmRise True Crime,2021-07-26T22:05:42Z,"This episode includes: Christmas Party Murder, Myrtles Plantation, California Killing, Asteroids & Meteors, Brief Encounter and Pick Axe Savior.

Hosted by Dennis Farina, this series uses re-enactments and interviews to retell the circumstances of, well, mysteries that are unsolved. Covering crimes, tales of lost love, unexplained history and paranormal events, viewers are encouraged to call in with information that might solve the mystery.","True Crime,Unsolved Mysteries,Dennis Farina,Update",1,132009,1290,98,PT42M53S,hd,public
"Unsolved Mysteries with Robert Stack - Season 4, Episode 1 - Full Episode",KSA4lhjYupY,FilmRise True Crime,2019-05-22T21:56:49Z,"This episode includes: Bentwaters UFO (Pts. 1 & 2), Dungeons & Dragons and I.D. Swap & UD.","Unsolved Mysteries with Robert Stack,FilmRise,Robert Stack,Unsolved Mysteries,Television,Classic TV,Full Episodes,Full Episode",24,129165,1334,187,PT48M35S,sd,public
"Unsolved Mysteries with Robert Stack - Season 4, Episode 21 - Full Episode",IiaqGGAgn1Y,FilmRise True Crime,2019-05-22T21:55:58Z,"This episode includes: Slain Swedes, UD: Amelia Earhart 2, Black Market Babies, Bones Knows, UD: Prison Mom and Med Scam & UD.","Unsolved Mysteries with Robert Stack,FilmRise,Robert Stack,Unsolved Mysteries,Television,Classic TV,Full Episodes,Full Episode",24,126087,1348,147,PT46M59S,sd,public
"Unsolved Mysteries with Robert Stack - Season 6, Episode 18 - Full Episode",07kTqXIHeRU,FilmRise True Crime,2019-05-23T22:02:10Z,"This episode includes: Mother's Instinct, Temple President Murder, Swoops & Squats & UD, Grady's Bible and Rapist MD.","Unsolved Mysteries with Robert Stack,FilmRise,Unsolved Mysteries,Robert Stack,Unscripted,Full Episodes,Full Episode,Official,Free,Classic Television,TV,Television",24,118544,1338,114,PT43M26S,sd,public
"Unsolved Mysteries with Robert Stack - Season 5, Episode 10 - Full Episode",krVQQCinuPM,FilmRise True Crime,2019-05-23T22:07:04Z,"This episode includes: George Anderson (Pts. 1 & 2), UD: Brother X and Strangulation Saga (Pts. 1 & 2).","Unsolved Mysteries with Robert Stack,FilmRise,Unsolved Mysteries,Robert Stack,Unscripted,Full Episodes,Full Episode,Official,Free,Classic Television,TV,Television",24,108341,1224,173,PT45M16S,sd,public
